"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","2,363.20","2,464.70","2,349.00","2,390.40","2,462.25","2,452.30","2,418.86","3,021.10","2,046.00",2651324,"6,413,169,806.40",115526
"31-Mar-2022","EQ","2,381.50","2,428.20","2,380.20","2,385.45","2,384.90","2,390.40","2,401.07","3,021.10","2,046.00",4167353,"10,006,088,215.75",148009
"30-Mar-2022","EQ","2,369.40","2,388.00","2,347.65","2,337.35","2,385.00","2,385.45","2,375.78","3,021.10","2,046.00",3176850,"7,547,510,605.10",123275
"29-Mar-2022","EQ","2,285.90","2,344.90","2,284.00","2,268.25","2,343.00","2,337.35","2,318.03","3,021.10","2,046.00",3202852,"7,424,302,459.60",135992
"28-Mar-2022","EQ","2,310.00","2,313.90","2,234.10","2,303.00","2,269.00","2,268.25","2,260.81","3,021.10","2,046.00",4734110,"10,702,910,946.85",206984
"25-Mar-2022","EQ","2,333.00","2,339.05","2,286.75","2,310.50","2,306.00","2,303.00","2,300.80","3,021.10","2,046.00",3418282,"7,864,769,162.45",154576
"24-Mar-2022","EQ","2,318.00","2,356.95","2,303.55","2,346.30","2,307.35","2,310.50","2,326.46","3,021.10","2,046.00",3994199,"9,292,327,535.45",156339
"23-Mar-2022","EQ","2,408.75","2,422.60","2,341.20","2,402.75","2,344.70","2,346.30","2,375.40","3,021.10","2,046.00",3173223,"7,537,678,414.20",132693
"22-Mar-2022","EQ","2,398.00","2,420.00","2,355.55","2,391.90","2,406.95","2,402.75","2,381.46","3,021.10","2,046.00",6357856,"15,140,962,530.75",131396
"21-Mar-2022","EQ","2,459.00","2,459.00","2,383.50","2,415.25","2,389.00","2,391.90","2,407.80","3,021.10","2,046.00",3702411,"8,914,654,807.70",167002
"17-Mar-2022","EQ","2,346.00","2,423.80","2,346.00","2,292.10","2,415.00","2,415.25","2,397.65","3,021.10","2,046.00",6664277,"15,978,619,943.55",231016
"16-Mar-2022","EQ","2,280.00","2,320.00","2,272.65","2,240.85","2,302.30","2,292.10","2,295.62","3,021.10","2,046.00",3558601,"8,169,205,463.75",204690
"15-Mar-2022","EQ","2,291.70","2,308.05","2,230.45","2,275.70","2,244.85","2,240.85","2,273.32","3,021.10","2,046.00",4557236,"10,360,064,698.60",218370
"14-Mar-2022","EQ","2,235.00","2,285.60","2,218.00","2,230.00","2,285.30","2,275.70","2,254.42","3,021.10","2,046.00",2153393,"4,854,654,794.65",119697
"11-Mar-2022","EQ","2,216.00","2,259.85","2,189.90","2,237.95","2,232.00","2,230.00","2,233.07","3,021.10","2,046.00",2532517,"5,655,277,658.85",112353
"10-Mar-2022","EQ","2,287.00","2,287.00","2,206.65","2,194.40","2,232.55","2,237.95","2,249.72","3,021.10","2,046.00",4183914,"9,412,625,442.95",190372
"09-Mar-2022","EQ","2,151.70","2,216.00","2,120.35","2,151.70","2,199.40","2,194.40","2,180.00","3,021.10","2,046.00",6114047,"13,328,627,890.75",248506
