"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","2,185.00","2,246.00","2,150.00","2,294.15","2,246.00","2,240.15","2,209.74","3,090.00","2,146.85",3541517,"7,825,830,658.35",191174
"31-Mar-2022","EQ","2,280.00","2,316.90","2,280.00","2,271.65","2,292.00","2,294.15","2,298.57","3,090.00","2,146.85",1338490,"3,076,606,886.50",73520
"30-Mar-2022","EQ","2,250.00","2,281.00","2,226.40","2,210.65","2,269.75","2,271.65","2,262.29","3,090.00","2,146.85",3115035,"7,047,110,771.30",135776
"29-Mar-2022","EQ","2,385.00","2,401.00","2,154.05","2,377.95","2,219.00","2,210.65","2,259.17","3,090.00","2,146.85",2475877,"5,593,415,427.90",123453
"28-Mar-2022","EQ","2,370.00","2,397.85","2,349.00","2,378.40","2,375.95","2,377.95","2,373.46","3,090.00","2,146.85",493636,"1,171,626,644.65",32045
"25-Mar-2022","EQ","2,420.00","2,438.00","2,366.75","2,412.15","2,379.80","2,378.40","2,395.34","3,143.95","2,146.85",467568,"1,119,984,848.35",30153
"24-Mar-2022","EQ","2,361.00","2,427.25","2,333.00","2,394.65","2,414.95","2,412.15","2,402.01","3,143.95","2,146.85",692836,"1,664,196,828.65",40938
"23-Mar-2022","EQ","2,423.00","2,439.80","2,327.20","2,423.65","2,394.00","2,394.65","2,381.81","3,143.95","2,146.85",1137046,"2,708,232,994.00",79152
"22-Mar-2022","EQ","2,405.00","2,435.00","2,345.05","2,391.55","2,422.35","2,423.65","2,391.53","3,143.95","2,146.85",470208,"1,124,517,224.65",31986
"21-Mar-2022","EQ","2,434.75","2,447.95","2,380.00","2,419.90","2,382.50","2,391.55","2,414.82","3,143.95","2,146.85",516893,"1,248,202,680.95",39693
"17-Mar-2022","EQ","2,383.00","2,429.25","2,375.00","2,369.50","2,422.00","2,419.90","2,408.91","3,369.40","2,146.85",781757,"1,883,183,530.05",40213
"16-Mar-2022","EQ","2,350.20","2,376.50","2,335.00","2,318.40","2,368.00","2,369.50","2,354.49","3,369.40","2,146.85",493507,"1,161,958,384.60",34834
"15-Mar-2022","EQ","2,345.00","2,380.00","2,300.00","2,341.90","2,314.05","2,318.40","2,342.80","3,369.40","2,146.85",612285,"1,434,464,341.20",45336
"14-Mar-2022","EQ","2,330.00","2,351.00","2,282.30","2,331.20","2,338.00","2,341.90","2,322.05","3,369.40","2,146.85",382149,"887,369,386.45",32625
"11-Mar-2022","EQ","2,318.00","2,345.00","2,287.10","2,320.75","2,330.00","2,331.20","2,328.00","3,490.00","2,146.85",467988,"1,089,476,517.95",38828
"10-Mar-2022","EQ","2,350.00","2,410.45","2,312.05","2,290.50","2,318.00","2,320.75","2,338.60","3,490.00","2,146.85",716132,"1,674,746,744.65",58739
"09-Mar-2022","EQ","2,266.00","2,310.60","2,235.15","2,251.65","2,295.00","2,290.50","2,267.47","3,490.00","2,146.85",670764,"1,520,939,142.85",51048
"08-Mar-2022","EQ","2,181.00","2,259.25","2,146.85","2,198.70","2,249.00","2,251.65","2,189.77","3,490.00","2,146.85",1081826,"2,368,947,547.80",94769
"07-Mar-2022","EQ","2,289.80","2,289.80","2,170.10","2,311.30","2,197.45","2,198.70","2,202.79","3,490.00","2,170.10",1284637,"2,829,786,799.90",124733
"04-Mar-2022","EQ","2,400.00","2,403.60","2,301.10","2,417.40","2,313.00","2,311.30","2,328.15","3,510.90","2,301.10",1266961,"2,949,673,081.40",101147
"03-Mar-2022","EQ","2,441.00","2,468.00","2,405.00","2,426.30","2,430.20","2,417.40","2,431.25","3,510.90","2,310.00",831912,"2,022,589,111.55",67002
"02-Mar-2022","EQ","2,498.00","2,498.50","2,421.00","2,535.45","2,432.00","2,426.30","2,450.70","3,510.90","2,310.00",855090,"2,095,564,812.90",75127
