"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","569.90","577.00","561.45","569.50","571.00","570.50","568.47","636.00","320.90",15300787,"8,697,998,981.70",186186
"31-Mar-2022","EQ","600.00","600.30","568.15","599.80","571.30","569.50","576.51","636.00","320.90",23497993,"13,546,922,738.40",292064
"30-Mar-2022","EQ","622.00","622.00","598.85","631.30","600.45","599.80","605.56","636.00","320.90",11195965,"6,779,826,369.30",183145
"29-Mar-2022","EQ","630.00","636.00","624.50","630.20","629.25","631.30","629.23","636.00","320.90",5245788,"3,300,788,680.65",82726
"28-Mar-2022","EQ","621.50","634.80","617.00","622.70","629.45","630.20","628.11","634.80","320.90",7075442,"4,444,184,613.60",126087
"25-Mar-2022","EQ","621.05","630.95","616.65","621.95","622.75","622.70","623.55","630.95","305.40",11087146,"6,913,363,799.05",191886
"24-Mar-2022","EQ","610.20","626.20","610.00","608.45","618.90","621.95","621.74","626.20","305.40",12139664,"7,547,691,350.75",233833
"23-Mar-2022","EQ","601.00","611.80","597.50","593.45","608.30","608.45","604.86","623.00","305.40",13581577,"8,214,918,776.60",148556
"22-Mar-2022","EQ","599.80","602.85","587.20","589.95","593.25","593.45","594.65","623.00","305.40",7490300,"4,454,127,397.15",146536
"21-Mar-2022","EQ","584.00","600.95","582.55","576.80","589.20","589.95","594.14","623.00","305.40",14159371,"8,412,670,351.95",198833
"17-Mar-2022","EQ","575.05","584.40","573.85","572.70","576.00","576.80","578.66","623.00","305.40",11581454,"6,701,684,761.70",127860
"16-Mar-2022","EQ","568.70","575.40","563.30","559.75","574.40","572.70","569.64","623.00","305.40",10485661,"5,973,000,231.50",151009
"15-Mar-2022","EQ","580.00","581.90","555.95","590.80","560.00","559.75","565.04","623.00","305.40",13005715,"7,348,770,248.10",260431
"14-Mar-2022","EQ","585.90","593.55","578.25","589.10","590.70","590.80","585.83","623.00","305.40",7904911,"4,630,935,055.35",129159
"11-Mar-2022","EQ","595.00","603.00","585.75","593.80","588.40","589.10","594.00","623.00","305.40",7635725,"4,535,618,181.75",110403
"10-Mar-2022","EQ","573.50","596.50","569.80","588.05","592.50","593.80","582.80","623.00","305.40",14824703,"8,639,878,573.65",219805
"09-Mar-2022","EQ","591.30","598.95","585.10","589.95","587.45","588.05","589.95","623.00","305.40",15686460,"9,254,229,223.80",265660
"08-Mar-2022","EQ","618.00","618.00","587.35","619.75","591.30","589.95","598.74","623.00","305.40",19477245,"11,661,830,538.70",374199
