"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","2,054.90","2,085.85","2,038.40","2,048.65","2,082.60","2,078.15","2,064.16","2,859.30","1,901.55",1714996,"3,540,022,856.25",74857
"31-Mar-2022","EQ","2,019.40","2,054.00","2,018.00","2,015.90","2,046.00","2,048.65","2,038.92","2,859.30","1,901.55",2540524,"5,179,915,734.30",117473
"30-Mar-2022","EQ","2,000.00","2,019.00","1,995.05","1,987.05","2,014.55","2,015.90","2,009.75","2,859.30","1,901.55",1476829,"2,968,056,526.10",73625
"29-Mar-2022","EQ","1,980.00","1,994.85","1,974.05","1,975.10","1,986.90","1,987.05","1,984.93","2,859.30","1,901.55",1249125,"2,479,425,572.10",89457
"28-Mar-2022","EQ","1,959.95","1,980.80","1,931.30","1,953.00","1,979.25","1,975.10","1,955.11","2,859.30","1,901.55",1794533,"3,508,506,720.00",113528
"25-Mar-2022","EQ","1,974.90","1,977.00","1,945.00","1,965.90","1,958.50","1,953.00","1,955.28","2,859.30","1,901.55",2233647,"4,367,394,505.35",114262
"24-Mar-2022","EQ","1,970.00","1,991.35","1,951.35","1,978.55","1,959.85","1,965.90","1,972.86","2,859.30","1,901.55",3054664,"6,026,421,693.25",123187
"23-Mar-2022","EQ","2,012.00","2,016.55","1,975.25","1,993.50","1,978.15","1,978.55","1,989.27","2,859.30","1,901.55",3212162,"6,389,850,749.80",161145
"22-Mar-2022","EQ","2,053.75","2,053.75","1,969.00","2,051.20","1,992.80","1,993.50","1,989.54","2,859.30","1,901.55",5356303,"10,656,553,487.65",276247
"21-Mar-2022","EQ","2,106.50","2,110.90","2,046.00","2,102.05","2,050.00","2,051.20","2,066.15","2,859.30","1,901.55",1674982,"3,460,762,834.05",105442
"17-Mar-2022","EQ","2,098.10","2,116.70","2,082.35","2,072.15","2,098.00","2,102.05","2,098.61","2,859.30","1,901.55",2995889,"6,287,209,428.70",115937
"16-Mar-2022","EQ","2,060.00","2,080.00","2,032.05","2,038.20","2,078.00","2,072.15","2,047.26","2,859.30","1,901.55",2808685,"5,750,098,766.25",116229
"15-Mar-2022","EQ","2,045.00","2,080.80","2,025.00","2,059.30","2,035.00","2,038.20","2,052.12","2,859.30","1,901.55",2391023,"4,906,671,947.20",131696
"14-Mar-2022","EQ","2,095.00","2,095.00","2,046.10","2,094.40","2,059.75","2,059.30","2,060.41","2,859.30","1,901.55",1730325,"3,565,175,907.05",115660
"11-Mar-2022","EQ","2,100.00","2,110.20","2,070.00","2,101.95","2,096.00","2,094.40","2,090.45","2,859.30","1,901.55",2481643,"5,187,756,875.00",116346
"10-Mar-2022","EQ","2,051.90","2,114.00","2,049.00","1,997.90","2,101.05","2,101.95","2,090.55","2,859.30","1,901.55",4879791,"10,201,442,406.40",175521
"09-Mar-2022","EQ","1,964.00","2,007.05","1,951.00","1,949.00","2,003.75","1,997.90","1,987.37","2,859.30","1,901.55",2879079,"5,721,784,436.30",154719
"08-Mar-2022","EQ","1,924.55","1,958.00","1,901.55","1,943.95","1,955.00","1,949.00","1,926.80","2,859.30","1,901.55",3211938,"6,188,755,155.30",183475
"07-Mar-2022","EQ","1,979.50","1,980.15","1,927.00","2,019.50","1,944.00","1,943.95","1,951.43","2,859.30","1,927.00",2976453,"5,808,345,804.15",218577
"04-Mar-2022","EQ","2,075.00","2,077.95","1,975.25","2,091.00","2,020.00","2,019.50","2,009.04","2,859.30","1,975.25",6320118,"12,697,376,795.85",332674
"03-Mar-2022","EQ","2,157.90","2,167.95","2,086.60","2,149.10","2,090.00","2,091.00","2,112.31","2,859.30","2,086.60",2372998,"5,012,518,158.35",167145
"02-Mar-2022","EQ","2,128.95","2,154.80","2,123.05","2,172.10","2,150.00","2,149.10","2,137.12","2,859.30","2,120.00",2034688,"4,348,381,833.90",155603
"28-Feb-2022","EQ","2,164.00","2,179.90","2,120.00","2,170.70","2,175.55","2,172.10","2,155.30","2,859.30","2,120.00",2334036,"5,030,548,403.05",110572
"25-Feb-2022","EQ","2,195.00","2,196.00","2,162.15","2,171.40","2,171.25","2,170.70","2,173.75","2,859.30","2,120.00",2193728,"4,768,623,680.40",121350
"24-Feb-2022","EQ","2,200.00","2,242.00","2,160.30","2,260.40","2,167.05","2,171.40","2,198.67","2,859.30","2,120.00",2997629,"6,590,808,324.60",167767
