"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","929.45","970.95","929.15","935.40","968.00","968.60","956.56","1,242.00","811.00",5222165,"4,995,332,795.55",89422
"31-Mar-2022","EQ","930.00","938.45","924.00","926.30","935.90","935.40","932.62","1,242.00","811.00",2311242,"2,155,510,665.95",57921
"30-Mar-2022","EQ","939.35","945.00","922.95","929.15","926.35","926.30","931.78","1,242.00","811.00",4849869,"4,519,019,971.20",69348
"29-Mar-2022","EQ","939.95","944.50","921.40","935.15","930.35","929.15","929.93","1,242.00","811.00",3351562,"3,116,731,299.95",62329
"28-Mar-2022","EQ","923.05","942.90","920.25","926.25","938.00","935.15","932.47","1,242.00","811.00",2654339,"2,475,101,127.80",59540
"25-Mar-2022","EQ","930.00","933.30","916.05","924.80","927.50","926.25","925.18","1,242.00","811.00",1984601,"1,836,111,264.25",41556
"24-Mar-2022","EQ","922.00","937.95","915.20","931.35","923.80","924.80","927.98","1,242.00","811.00",2923793,"2,713,214,664.55",52151
"23-Mar-2022","EQ","933.00","944.45","928.10","927.70","930.00","931.35","934.37","1,242.00","811.00",2433056,"2,273,373,281.10",52516
"22-Mar-2022","EQ","916.00","932.00","903.60","913.40","931.00","927.70","916.58","1,242.00","811.00",2764481,"2,533,854,381.10",61449
"21-Mar-2022","EQ","938.00","938.00","911.00","932.45","915.50","913.40","918.96","1,242.00","811.00",2363059,"2,171,567,995.15",60864
"17-Mar-2022","EQ","943.95","949.50","929.55","928.65","931.65","932.45","941.35","1,242.00","811.00",4492246,"4,228,774,191.45",89208
"16-Mar-2022","EQ","912.00","936.00","911.55","896.65","926.00","928.65","926.54","1,242.00","811.00",5705364,"5,286,220,581.90",96516
"15-Mar-2022","EQ","916.90","922.00","887.25","907.60","894.90","896.65","906.94","1,242.00","811.00",4390735,"3,982,131,259.35",85039
"14-Mar-2022","EQ","899.00","914.00","892.30","901.75","907.45","907.60","902.55","1,242.00","811.00",3718477,"3,356,108,174.20",66446
"11-Mar-2022","EQ","900.00","915.50","892.95","904.30","900.10","901.75","904.01","1,242.00","811.00",3451877,"3,120,540,217.00",73515
"10-Mar-2022","EQ","909.80","928.00","890.70","875.35","903.00","904.30","911.03","1,242.00","811.00",6312569,"5,750,908,398.10",113187
"09-Mar-2022","EQ","863.00","880.00","838.25","840.70","879.30","875.35","857.55","1,242.00","811.00",6967640,"5,975,073,698.30",149339
"08-Mar-2022","EQ","831.10","847.80","816.00","834.40","845.00","840.70","830.38","1,242.00","811.00",6163433,"5,118,015,830.75",134466
