"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","735.00","749.95","728.50","732.65","732.45","732.20","737.47","776.50","452.20",5079937,"3,746,315,504.25",73351
"31-Mar-2022","EQ","724.00","737.50","720.55","717.55","733.60","732.65","730.66","776.50","452.20",5946576,"4,344,920,674.90",75018
"30-Mar-2022","EQ","750.00","750.70","714.95","753.90","719.05","717.55","728.13","776.50","452.20",5994838,"4,365,026,011.20",91104
"29-Mar-2022","EQ","731.50","764.75","726.65","730.10","751.20","753.90","744.65","776.50","452.20",7285191,"5,424,944,491.60",90562
"28-Mar-2022","EQ","722.00","731.45","718.15","721.35","730.00","730.10","726.41","776.50","452.20",8935680,"6,490,958,226.90",105381
"25-Mar-2022","EQ","718.00","726.50","710.25","715.10","719.00","721.35","719.64","776.50","428.50",16121868,"11,601,873,729.05",135899
"24-Mar-2022","EQ","704.50","719.50","704.20","704.40","715.00","715.10","714.18","776.50","428.50",6069039,"4,334,361,782.35",82159
"23-Mar-2022","EQ","702.90","710.00","692.25","696.50","702.00","704.40","702.86","776.50","428.50",8964532,"6,300,855,658.40",112125
"22-Mar-2022","EQ","678.85","699.90","677.45","681.30","695.00","696.50","689.93","776.50","428.50",4811589,"3,319,677,088.80",70059
"21-Mar-2022","EQ","689.70","699.00","679.00","685.10","679.30","681.30","689.69","776.50","428.50",4609771,"3,179,324,191.50",66683
"17-Mar-2022","EQ","662.00","692.95","660.35","655.25","684.00","685.10","682.58","776.50","410.00",9991824,"6,820,253,106.75",117560
"16-Mar-2022","EQ","648.65","662.75","647.50","641.15","655.70","655.25","654.78","776.50","410.00",3150421,"2,062,847,379.75",46170
"15-Mar-2022","EQ","659.00","660.80","635.00","664.85","640.80","641.15","645.57","776.50","410.00",4754984,"3,069,680,627.70",87451
"14-Mar-2022","EQ","667.00","673.00","658.60","669.75","664.00","664.85","664.86","776.50","410.00",2529995,"1,682,084,352.15",47843
