"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","811.00","829.50","807.70","806.55","825.20","826.55","818.92","979.00","671.15",3406177,"2,789,386,175.95",75412
"31-Mar-2022","EQ","798.00","813.00","798.00","793.35","810.00","806.55","807.51","979.00","671.15",7059986,"5,700,984,453.50",187755
"30-Mar-2022","EQ","779.30","795.00","775.90","773.35","794.00","793.35","789.62","979.00","671.15",4407033,"3,479,871,119.15",86102
"29-Mar-2022","EQ","771.00","783.00","770.70","769.25","774.00","773.35","774.53","979.00","671.15",3519610,"2,726,054,161.95",61153
"28-Mar-2022","EQ","764.90","772.70","751.30","764.75","769.30","769.25","761.65","979.00","671.15",4719388,"3,594,512,278.85",86659
"25-Mar-2022","EQ","773.00","773.00","758.20","765.65","764.00","764.75","764.48","979.00","671.15",3148869,"2,407,246,823.70",77572
"24-Mar-2022","EQ","773.70","780.00","762.65","774.10","764.00","765.65","770.18","979.00","671.15",2248114,"1,731,453,819.00",90868
"23-Mar-2022","EQ","790.00","794.20","772.10","785.60","775.00","774.10","779.12","979.00","671.15",3277274,"2,553,376,721.30",104192
"22-Mar-2022","EQ","783.00","789.05","769.00","783.50","785.00","785.60","775.74","979.00","671.15",5436875,"4,217,600,703.70",76458
"21-Mar-2022","EQ","789.60","791.10","780.10","794.40","783.00","783.50","784.56","979.00","671.15",3008019,"2,359,982,461.15",96872
"17-Mar-2022","EQ","785.00","799.90","777.00","773.65","792.40","794.40","790.00","979.00","671.15",3787641,"2,992,236,909.70",90584
"16-Mar-2022","EQ","768.85","776.00","765.00","761.20","771.45","773.65","772.02","979.00","671.15",2277631,"1,758,379,693.45",51898
"15-Mar-2022","EQ","745.00","769.20","745.00","743.20","760.90","761.20","760.62","979.00","671.15",4811450,"3,659,702,229.50",171353
"14-Mar-2022","EQ","734.80","746.00","725.45","734.80","744.90","743.20","734.96","979.00","671.15",3563695,"2,619,156,064.60",81292
"11-Mar-2022","EQ","734.00","741.80","728.70","738.85","734.25","734.80","733.94","979.00","671.15",2364792,"1,735,619,589.60",71772
"10-Mar-2022","EQ","761.95","762.50","735.00","734.85","738.00","738.85","748.51","979.00","671.15",4064470,"3,042,297,377.05",114430
"09-Mar-2022","EQ","705.00","739.90","700.00","700.65","731.00","734.85","724.03","979.00","671.15",5490287,"3,975,118,892.25",124663
"08-Mar-2022","EQ","690.55","703.05","671.15","690.55","700.65","700.65","689.71","979.00","671.15",4000294,"2,759,055,192.40",123017
"07-Mar-2022","EQ","719.85","719.85","681.75","732.30","693.60","690.55","693.23","979.00","681.75",7008637,"4,858,565,938.95",195680
"04-Mar-2022","EQ","750.00","756.00","730.00","762.05","732.60","732.30","740.02","979.00","724.65",4829850,"3,574,197,825.20",177129
"03-Mar-2022","EQ","792.00","793.15","760.05","778.35","762.50","762.05","773.41","979.00","724.65",2763929,"2,137,642,927.70",79859
"02-Mar-2022","EQ","785.50","810.75","769.00","790.85","784.10","778.35","786.46","979.00","724.65",5779175,"4,545,106,499.90",129730
"28-Feb-2022","EQ","807.00","807.00","786.75","807.60","791.10","790.85","793.13","979.00","724.65",5026913,"3,986,983,105.45",140193
"25-Feb-2022","EQ","812.70","825.00","802.00","795.80","808.00","807.60","812.21","979.00","724.65",3470318,"2,818,633,056.90",114280
"24-Feb-2022","EQ","818.10","831.90","790.50","850.30","796.60","795.80","809.60","979.00","724.65",5677898,"4,596,804,093.05",162423
"23-Feb-2022","EQ","856.00","869.70","845.70","853.25","849.80","850.30","856.08","979.00","724.65",2265060,"1,939,063,568.45",104276
"22-Feb-2022","EQ","827.00","856.00","823.35","841.10","855.60","853.25","839.70","979.00","724.65",2768989,"2,325,132,782.35",93787
"21-Feb-2022","EQ","845.20","850.50","832.00","852.00","842.00","841.10","842.11","979.00","724.65",2255753,"1,899,599,383.10",101530
"18-Feb-2022","EQ","857.20","869.75","847.15","862.25","850.00","852.00","858.64","979.00","724.65",1616856,"1,388,301,549.95",41067
"17-Feb-2022","EQ","872.00","877.30","859.00","864.25","860.00","862.25","867.68","979.00","724.65",2041741,"1,771,579,396.15",46429
"16-Feb-2022","EQ","854.60","878.50","854.60","854.60","861.50","864.25","871.27","979.00","724.65",4401342,"3,834,738,351.00",130828
"15-Feb-2022","EQ","828.00","858.00","820.40","825.05","854.05","854.60","841.67","979.00","724.65",2728328,"2,296,344,691.65",89880
"14-Feb-2022","EQ","841.75","845.40","780.70","853.65","821.45","825.05","826.10","979.00","724.65",4202165,"3,471,396,004.90",106397
"11-Feb-2022","EQ","853.00","861.95","835.60","853.05","850.00","853.65","849.49","979.00","724.65",5146850,"4,372,184,566.75",109476
"10-Feb-2022","EQ","844.00","857.75","830.15","840.20","853.00","853.05","846.50","979.00","724.65",6949276,"5,882,550,375.55",164837
"09-Feb-2022","EQ","838.00","845.95","833.15","832.05","841.05","840.20","839.73","979.00","724.65",2165223,"1,818,207,048.65",70123
"08-Feb-2022","EQ","830.00","837.70","817.15","829.50","830.45","832.05","826.79","979.00","724.65",2729631,"2,256,818,476.15",74665
"07-Feb-2022","EQ","841.00","844.70","822.20","841.70","829.00","829.50","830.31","979.00","724.65",1801701,"1,495,970,640.30",72130
"04-Feb-2022","EQ","861.40","861.40","836.15","856.20","839.75","841.70","845.91","979.00","724.65",2080640,"1,760,025,069.00",89041
"03-Feb-2022","EQ","868.00","882.40","852.15","869.35","854.10","856.20","867.46","979.00","724.65",2630289,"2,281,673,843.95",65866
"02-Feb-2022","EQ","875.70","880.30","865.15","869.70","870.40","869.35","870.72","979.00","724.65",1341479,"1,168,058,068.60",54049
"01-Feb-2022","EQ","892.00","894.70","864.20","885.80","873.80","869.70","881.89","979.00","724.65",2921070,"2,576,050,315.60",80888
"31-Jan-2022","EQ","878.90","888.85","872.10","869.65","884.00","885.80","882.71","979.00","724.65",2335040,"2,061,160,127.25",71194
"28-Jan-2022","EQ","864.40","896.00","860.40","858.05","871.00","869.65","881.51","979.00","724.65",4208702,"3,710,021,034.30",111928
"27-Jan-2022","EQ","845.60","862.85","841.20","854.50","857.35","858.05","853.36","979.00","724.65",2927566,"2,498,266,055.10",85813
"25-Jan-2022","EQ","846.10","858.25","845.25","854.70","851.50","854.50","852.29","979.00","724.65",4742388,"4,041,899,665.10",121727
"24-Jan-2022","EQ","871.20","878.35","848.05","875.20","855.40","854.70","859.95","979.00","724.65",3386669,"2,912,368,867.40",92127
