"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","17,380.55","17,607.70","17,250.00","17,380.55","17,553.00","17,557.20","17,439.36","20,609.15","16,255.00",31159,"543,393,040.50",9431
"31-Mar-2022","EQ","17,250.00","17,433.80","17,202.90","17,298.00","17,344.00","17,380.55","17,354.35","20,609.15","16,255.00",62281,"1,080,846,537.45",17502
"30-Mar-2022","EQ","17,108.00","17,347.55","17,022.60","16,921.90","17,250.00","17,298.00","17,192.76","20,609.15","16,255.00",74970,"1,288,941,152.75",20435
"29-Mar-2022","EQ","16,900.00","16,999.95","16,820.00","16,860.05","16,970.00","16,921.90","16,907.98","20,609.15","16,255.00",83759,"1,416,195,158.35",24036
"28-Mar-2022","EQ","17,250.00","17,348.95","16,790.00","17,161.20","16,860.00","16,860.05","16,878.80","20,609.15","16,255.00",80111,"1,352,177,159.00",27627
"25-Mar-2022","EQ","17,478.00","17,478.00","17,075.00","17,408.10","17,188.00","17,161.20","17,184.98","20,609.15","16,116.00",53217,"914,533,081.65",20378
"24-Mar-2022","EQ","17,328.00","17,500.00","17,260.00","17,344.20","17,345.00","17,408.10","17,389.03","20,609.15","16,116.00",43181,"750,875,690.30",14335
"23-Mar-2022","EQ","17,535.00","17,550.00","17,261.00","17,429.25","17,375.00","17,344.20","17,432.19","20,609.15","16,116.00",59279,"1,033,362,908.60",22676
"22-Mar-2022","EQ","17,727.00","17,869.95","17,253.65","17,876.45","17,402.00","17,429.25","17,382.57","20,609.15","16,116.00",140224,"2,437,452,817.35",39048
"21-Mar-2022","EQ","18,350.00","18,370.00","17,813.50","18,284.20","17,851.35","17,876.45","18,019.30","20,609.15","16,116.00",40335,"726,808,406.15",13623
"17-Mar-2022","EQ","17,785.95","18,374.85","17,785.95","17,823.40","18,300.00","18,284.20","18,109.96","20,609.15","16,070.00",100890,"1,827,113,798.75",21152
"16-Mar-2022","EQ","17,610.00","17,885.50","17,471.00","17,461.60","17,760.00","17,823.40","17,689.22","20,609.15","16,070.00",48390,"855,981,163.55",14376
"15-Mar-2022","EQ","17,420.00","17,560.00","17,245.05","17,367.20","17,482.40","17,461.60","17,416.20","20,609.15","16,070.00",62211,"1,083,479,211.80",20277
"14-Mar-2022","EQ","17,477.45","17,477.45","17,158.00","17,327.45","17,420.15","17,367.20","17,292.34","20,609.15","16,070.00",38665,"668,608,328.95",13474
