"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","138.00","143.45","136.80","135.00","142.80","142.95","140.85","152.10","97.05",32589741,"4,590,368,147.85",144949
"31-Mar-2022","EQ","134.30","135.60","134.30","135.30","135.00","135.00","135.06","152.10","97.05",11615450,"1,568,780,973.65",54568
"30-Mar-2022","EQ","135.00","135.95","133.45","134.35","134.30","135.30","134.99","152.10","97.05",24047012,"3,246,091,524.30",49862
"29-Mar-2022","EQ","135.00","135.30","133.90","134.80","134.35","134.35","134.45","152.10","97.05",5116935,"687,975,589.20",41759
"28-Mar-2022","EQ","135.50","135.50","133.80","134.75","134.75","134.80","134.63","152.10","97.05",7778682,"1,047,245,189.00",51838
"25-Mar-2022","EQ","136.00","136.15","134.20","135.40","134.95","134.75","134.90","152.10","97.05",7266868,"980,268,396.40",49326
"24-Mar-2022","EQ","133.50","135.70","133.35","133.45","135.20","135.40","134.93","152.10","97.05",11276181,"1,521,544,874.75",99489
"23-Mar-2022","EQ","132.90","133.75","132.20","132.85","133.50","133.45","133.10","152.10","97.05",11892811,"1,582,986,830.75",55929
"22-Mar-2022","EQ","133.30","134.15","131.75","132.90","132.80","132.85","132.78","152.10","97.05",10343712,"1,373,405,479.50",52684
"21-Mar-2022","EQ","132.90","133.40","131.70","132.90","133.00","132.90","132.46","152.10","97.05",9172207,"1,214,994,025.25",55112
"17-Mar-2022","EQ","133.50","134.30","131.90","132.75","133.00","132.90","132.94","152.10","97.05",13995384,"1,860,599,885.10",54518
"16-Mar-2022","EQ","132.40","133.00","131.55","131.05","132.40","132.75","132.28","152.10","97.05",5561866,"735,744,261.85",38727
"15-Mar-2022","EQ","131.30","132.95","130.65","132.15","130.90","131.05","131.56","152.10","97.05",6895190,"907,139,815.95",64607
"14-Mar-2022","EQ","131.95","132.90","130.75","131.95","132.05","132.15","131.54","152.10","97.05",5670284,"745,859,578.80",47177
"11-Mar-2022","EQ","132.90","133.40","131.50","132.95","131.90","131.95","132.12","152.10","97.05",8669803,"1,145,495,563.20",43325
"10-Mar-2022","EQ","132.90","135.00","131.95","131.50","132.60","132.95","133.40","152.10","97.05",13101323,"1,747,682,166.00",77022
"09-Mar-2022","EQ","133.95","133.95","131.10","133.75","131.90","131.50","131.79","152.10","97.05",14286413,"1,882,798,928.05",78938
"08-Mar-2022","EQ","130.50","135.80","130.50","130.05","133.25","133.75","133.39","152.10","97.05",28572640,"3,811,367,873.10",238901
"07-Mar-2022","EQ","129.00","130.50","126.90","130.20","130.40","130.05","128.89","152.10","97.05",14985637,"1,931,473,464.10",84460
"04-Mar-2022","EQ","132.00","133.35","129.75","132.10","130.30","130.20","131.21","152.10","97.05",15883138,"2,083,949,108.95",102183
"03-Mar-2022","EQ","132.10","133.45","130.25","130.95","132.95","132.10","131.73","152.10","97.05",15628119,"2,058,704,816.25",72468
"02-Mar-2022","EQ","132.80","135.00","130.45","133.50","130.95","130.95","132.03","152.10","97.05",12587947,"1,662,005,167.45",87533
"28-Feb-2022","EQ","128.95","133.95","128.80","130.35","133.55","133.50","132.58","152.10","97.05",13262687,"1,758,350,645.35",71096
