"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","914.00","919.00","904.10","914.75","911.80","908.70","909.67","931.00","587.25",1184766,"1,077,742,466.60",39391
"31-Mar-2022","EQ","920.60","927.00","910.80","920.60","914.00","914.75","917.19","931.00","587.25",1901705,"1,744,225,253.95",52264
"30-Mar-2022","EQ","922.00","922.00","908.40","919.35","920.00","920.60","917.08","931.00","587.25",2084073,"1,911,258,642.70",55012
"29-Mar-2022","EQ","908.05","922.00","901.10","905.90","915.00","919.35","913.69","931.00","587.25",3177777,"2,903,490,147.40",63133
"28-Mar-2022","EQ","908.90","910.90","899.30","902.35","904.95","905.90","904.47","931.00","587.25",1545077,"1,397,479,534.80",38853
"25-Mar-2022","EQ","911.85","914.95","896.30","908.85","905.00","902.35","903.05","931.00","571.50",1571676,"1,419,307,489.80",47724
"24-Mar-2022","EQ","886.00","914.70","885.50","900.80","907.05","908.85","904.61","931.00","571.50",3141478,"2,841,809,659.45",68606
"23-Mar-2022","EQ","918.00","926.00","895.80","914.10","897.90","900.80","914.23","931.00","571.50",2578669,"2,357,484,078.25",66985
"22-Mar-2022","EQ","913.80","922.00","902.50","913.80","913.00","914.10","913.36","931.00","571.50",2174495,"1,986,102,588.55",60939
"21-Mar-2022","EQ","912.50","931.00","911.30","911.60","913.10","913.80","922.76","931.00","571.50",3878744,"3,579,156,077.35",82347
"17-Mar-2022","EQ","892.20","915.00","892.20","889.20","914.95","911.60","904.89","915.00","562.10",5484100,"4,962,529,018.35",108357
"16-Mar-2022","EQ","900.00","900.00","880.45","891.65","887.70","889.20","887.33","911.80","562.10",3134307,"2,781,160,703.15",71887
"15-Mar-2022","EQ","893.70","908.00","881.35","892.25","892.00","891.65","892.19","911.80","562.10",4039746,"3,604,218,342.10",84414
"14-Mar-2022","EQ","901.95","911.80","889.95","902.00","891.50","892.25","899.98","911.80","562.10",3861194,"3,474,978,737.20",81941
"11-Mar-2022","EQ","872.00","907.00","869.05","869.55","901.45","902.00","894.57","907.00","562.10",7194497,"6,435,974,003.65",128229
"10-Mar-2022","EQ","869.90","881.90","866.60","868.25","868.00","869.55","871.81","902.85","562.10",2899758,"2,528,040,816.45",81684
"09-Mar-2022","EQ","863.40","885.80","860.00","855.00","866.00","868.25","874.55","902.85","562.10",7276355,"6,363,532,086.85",160903
"08-Mar-2022","EQ","826.20","861.70","826.20","822.65","855.90","855.00","842.10","902.85","562.10",4864275,"4,096,209,695.05",115665
"07-Mar-2022","EQ","818.00","829.00","809.10","829.65","822.75","822.65","820.45","902.85","562.10",3065234,"2,514,859,563.40",83912
"04-Mar-2022","EQ","816.30","839.60","809.35","820.90","827.20","829.65","828.01","902.85","562.10",4082674,"3,380,481,624.85",98184
"03-Mar-2022","EQ","832.80","832.80","817.00","820.90","819.50","820.90","824.46","902.85","562.10",2657776,"2,191,236,396.30",61090
"02-Mar-2022","EQ","844.35","844.95","815.70","843.90","820.10","820.90","826.04","902.85","562.10",3807036,"3,144,751,642.60",116362
"28-Feb-2022","EQ","821.00","847.00","821.00","831.55","844.20","843.90","835.35","902.85","562.10",4123139,"3,444,259,619.85",95812
"25-Feb-2022","EQ","820.50","835.00","817.05","818.25","830.00","831.55","828.49","902.85","562.10",2098988,"1,738,986,449.25",54873
"24-Feb-2022","EQ","830.60","836.95","815.00","840.25","817.00","818.25","823.67","902.85","562.10",3679222,"3,030,478,957.10",110697
"23-Feb-2022","EQ","849.85","853.00","838.05","845.80","838.40","840.25","844.44","902.85","562.10",1979574,"1,671,633,329.40",62251
"22-Feb-2022","EQ","836.00","849.00","824.60","843.85","847.20","845.80","834.13","902.85","562.10",3171552,"2,645,496,832.55",79862
"21-Feb-2022","EQ","855.50","864.00","839.50","862.90","845.00","843.85","850.64","902.85","562.10",2305713,"1,961,328,889.80",60304
"18-Feb-2022","EQ","862.55","867.90","856.40","862.55","864.60","862.90","863.88","902.85","562.10",1797851,"1,553,120,751.65",51122
"17-Feb-2022","EQ","872.35","872.35","861.30","868.85","862.30","862.55","865.70","902.85","562.10",2275289,"1,969,714,996.90",55845
"16-Feb-2022","EQ","876.00","881.15","867.10","876.80","868.05","868.85","872.87","902.85","562.10",2136415,"1,864,816,490.75",61002
"15-Feb-2022","EQ","862.50","880.00","859.05","864.85","878.00","876.80","869.28","902.85","562.10",3219287,"2,798,469,522.30",94901
"14-Feb-2022","EQ","870.00","886.65","862.20","880.10","862.30","864.85","875.34","902.85","562.10",5163415,"4,519,728,943.15",105630
"11-Feb-2022","EQ","894.60","895.80","874.65","894.30","878.00","880.10","881.28","902.85","562.10",2682532,"2,364,059,239.40",61070
"10-Feb-2022","EQ","891.40","896.25","880.00","886.45","891.85","894.30","888.13","902.85","562.10",3159839,"2,806,341,385.05",83472
"09-Feb-2022","EQ","893.90","894.55","885.35","894.10","886.20","886.45","889.11","902.85","562.10",2874380,"2,555,641,854.65",78665
"08-Feb-2022","EQ","886.00","895.95","882.00","887.05","895.00","894.10","889.90","902.85","562.10",4766558,"4,241,746,894.80",111675
"07-Feb-2022","EQ","901.45","901.45","879.70","893.95","886.10","887.05","888.64","902.85","562.10",3494623,"3,105,465,655.55",75880
"04-Feb-2022","EQ","882.90","902.85","881.35","883.55","893.45","893.95","892.88","902.85","562.10",4222492,"3,770,170,780.25",112529
"03-Feb-2022","EQ","889.35","891.20","880.45","890.65","883.00","883.55","885.96","898.45","562.10",2292825,"2,031,343,059.60",115997
"02-Feb-2022","EQ","890.00","898.45","882.00","891.75","890.00","890.65","888.89","898.45","562.10",4404741,"3,915,351,395.70",102986
"01-Feb-2022","EQ","847.40","895.00","839.85","834.50","891.90","891.75","876.90","895.00","562.10",12337459,"10,818,749,713.00",237350
"31-Jan-2022","EQ","830.10","849.75","820.05","827.35","834.00","834.50","836.27","871.00","562.10",8041517,"6,724,913,331.00",158475
"28-Jan-2022","EQ","816.00","842.90","812.10","812.10","829.45","827.35","832.10","871.00","550.40",5073701,"4,221,803,889.15",100008
"27-Jan-2022","EQ","802.00","817.40","791.30","808.05","810.20","812.10","806.32","871.00","550.40",3593525,"2,897,516,980.10",83443
