"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","434.00","442.25","430.85","433.75","440.90","441.15","437.60","536.70","268.45",19380324,"8,480,861,087.20",211329
"31-Mar-2022","EQ","436.00","438.30","432.60","435.65","434.00","433.75","435.36","536.70","268.45",14248045,"6,203,012,891.10",139107
"30-Mar-2022","EQ","438.45","442.50","434.25","433.70","434.80","435.65","439.04","536.70","268.45",18149488,"7,968,354,742.20",181329
"29-Mar-2022","EQ","436.00","439.35","431.40","432.70","433.70","433.70","435.02","536.70","268.45",18710736,"8,139,614,044.15",166038
"28-Mar-2022","EQ","432.00","434.95","426.50","432.10","432.60","432.70","431.20","536.70","268.45",16757901,"7,226,072,136.90",152355
"25-Mar-2022","EQ","437.00","437.00","427.65","433.20","432.40","432.10","432.99","536.70","268.45",15104414,"6,540,056,866.80",151118
"24-Mar-2022","EQ","430.00","435.40","427.55","435.80","433.15","433.20","432.40","536.70","268.45",17109723,"7,398,321,010.90",185506
"23-Mar-2022","EQ","443.50","447.00","434.60","440.35","435.30","435.80","439.74","536.70","268.45",25466395,"11,198,691,330.75",221031
"22-Mar-2022","EQ","428.10","441.45","421.20","427.95","440.85","440.35","432.31","536.70","268.45",30441493,"13,160,088,510.65",272265
"21-Mar-2022","EQ","435.50","436.30","427.10","433.80","427.70","427.95","430.44","536.70","268.45",18270995,"7,864,657,857.30",185123
"17-Mar-2022","EQ","432.00","435.70","429.55","424.90","434.30","433.80","433.11","536.70","268.45",26704541,"11,566,099,532.35",241821
"16-Mar-2022","EQ","427.05","428.55","420.70","413.65","424.00","424.90","424.01","536.70","268.45",27191170,"11,529,232,372.80",243908
"15-Mar-2022","EQ","409.85","424.20","408.00","411.70","412.00","413.65","416.50","536.70","268.45",47706136,"19,869,444,601.00",379808
"14-Mar-2022","EQ","418.75","419.00","404.00","418.15","412.50","411.70","409.95","536.70","268.45",40721277,"16,693,522,069.20",381984
"11-Mar-2022","EQ","413.60","421.15","407.40","419.60","418.05","418.15","413.88","536.70","268.45",51510243,"21,319,031,617.75",470662
"10-Mar-2022","EQ","427.00","434.95","414.00","405.90","418.55","419.60","426.40","536.70","268.45",59776817,"25,488,638,259.30",537943
"09-Mar-2022","EQ","394.95","409.25","389.50","391.75","407.00","405.90","399.37","536.70","268.45",48376222,"19,319,881,236.40",462329
"08-Mar-2022","EQ","390.50","395.45","376.35","394.00","391.30","391.75","387.74","536.70","268.45",55543383,"21,536,399,963.85",516658
"07-Mar-2022","EQ","401.75","401.75","387.50","417.25","395.75","394.00","394.41","536.70","268.45",44836205,"17,684,025,650.05",645399
"04-Mar-2022","EQ","431.85","431.85","414.75","437.10","418.40","417.25","423.93","536.70","268.45",38765185,"16,433,838,263.50",616081
"03-Mar-2022","EQ","458.50","458.50","435.00","447.60","437.90","437.10","443.17","536.70","268.45",29599672,"13,117,748,918.25",391753
"02-Mar-2022","EQ","452.95","454.25","444.55","454.05","448.80","447.60","449.27","536.70","268.45",25791134,"11,587,137,992.70",335482
"28-Feb-2022","EQ","445.00","457.35","440.45","459.75","453.95","454.05","452.40","536.70","268.45",34475468,"15,596,569,802.85",355388
"25-Feb-2022","EQ","444.85","465.70","441.60","427.95","460.85","459.75","459.06","536.70","268.45",48876182,"22,436,877,368.65",536058
"24-Feb-2022","EQ","455.95","461.55","405.45","477.00","425.90","427.95","443.91","536.70","268.45",57265685,"25,420,800,452.15",775585
"23-Feb-2022","EQ","481.75","485.40","475.30","478.25","477.00","477.00","480.31","536.70","268.45",17703998,"8,503,350,999.45",205394
"22-Feb-2022","EQ","480.55","486.30","471.45","494.45","478.50","478.25","479.41","536.70","268.45",27957544,"13,403,106,998.80",310898
"21-Feb-2022","EQ","490.15","500.40","486.10","493.15","493.80","494.45","494.28","536.70","268.45",22592161,"11,166,907,442.25",218559
"18-Feb-2022","EQ","498.00","502.65","491.50","499.95","493.45","493.15","497.39","536.70","268.45",15476803,"7,698,020,965.80",150287
"17-Feb-2022","EQ","505.90","511.50","498.30","498.45","498.70","499.95","505.01","536.70","268.45",27943077,"14,111,498,329.35",262768
"16-Feb-2022","EQ","504.00","507.90","496.60","504.00","497.45","498.45","502.42","536.70","268.45",20176993,"10,137,291,914.20",220758
"15-Feb-2022","EQ","476.15","505.50","467.30","471.45","503.00","504.00","486.19","536.70","268.45",30623088,"14,888,773,774.50",320563
"14-Feb-2022","EQ","487.00","488.50","468.80","498.85","471.00","471.45","479.11","536.70","268.45",22157389,"10,615,896,091.85",350322
"11-Feb-2022","EQ","503.25","507.00","497.00","507.45","497.55","498.85","501.22","536.70","268.45",13534899,"6,783,991,221.95",144160
"10-Feb-2022","EQ","506.70","510.50","504.20","501.25","507.25","507.45","507.83","536.70","268.45",14537945,"7,382,807,621.45",203341
"09-Feb-2022","EQ","496.50","503.70","494.70","492.75","501.20","501.25","500.34","536.70","268.45",12430730,"6,219,589,247.55",146963
"08-Feb-2022","EQ","498.00","498.50","479.15","494.60","492.00","492.75","489.24","536.70","268.45",23378623,"11,437,653,896.50",339842
"07-Feb-2022","EQ","502.90","504.35","492.50","500.60","493.80","494.60","496.88","536.70","268.45",13392910,"6,654,720,138.55",183916
"04-Feb-2022","EQ","503.80","507.80","499.00","504.50","500.50","500.60","503.21","536.70","255.35",12663199,"6,372,204,907.50",159322
"03-Feb-2022","EQ","509.10","514.30","502.85","506.40","503.80","504.50","509.30","536.70","255.35",15249245,"7,766,388,390.90",169805
"02-Feb-2022","EQ","508.60","514.45","505.15","504.30","506.40","506.40","509.34","536.70","255.35",14311040,"7,289,241,825.65",183498
"01-Feb-2022","EQ","508.00","514.75","493.00","517.75","504.50","504.30","505.96","536.70","255.35",48030231,"24,301,593,195.35",492723
"31-Jan-2022","EQ","505.00","520.00","498.20","497.30","517.50","517.75","509.80","536.70","255.35",27306578,"13,920,786,046.25",296929
"28-Jan-2022","EQ","500.50","509.35","495.30","494.40","497.30","497.30","502.87","536.70","255.35",21784640,"10,954,813,561.10",245257
"27-Jan-2022","EQ","480.75","502.70","476.60","490.55","496.00","494.40","488.98","536.70","255.35",26676094,"13,044,048,334.40",331831
"25-Jan-2022","EQ","473.80","492.50","467.65","478.45","489.40","490.55","483.39","536.70","255.35",22565698,"10,908,117,337.60",263475
"24-Jan-2022","EQ","499.70","504.30","473.35","501.85","477.65","478.45","484.18","536.70","255.35",25228959,"12,215,445,228.35",322276
"21-Jan-2022","EQ","510.40","513.85","494.25","515.70","504.85","501.85","506.81","536.70","241.15",17946821,"9,095,581,366.65",202791
"20-Jan-2022","EQ","519.95","523.20","512.00","520.85","516.40","515.70","518.10","536.70","241.15",18364451,"9,514,604,777.80",203055
"19-Jan-2022","EQ","510.00","522.20","504.80","510.80","520.60","520.85","514.80","536.70","241.15",21799071,"11,222,213,801.60",241471
"18-Jan-2022","EQ","527.90","528.50","507.15","525.00","510.95","510.80","520.01","536.70","241.15",19353195,"10,063,784,033.65",203110
"17-Jan-2022","EQ","514.80","526.90","512.00","509.90","524.80","525.00","523.11","536.70","241.15",27942414,"14,617,003,186.80",306012
"14-Jan-2022","EQ","509.00","515.40","505.65","511.95","509.40","509.90","510.80","536.70","199.65",12655602,"6,464,423,090.35",137895
"13-Jan-2022","EQ","504.00","513.80","494.80","507.25","512.55","511.95","505.24","536.70","199.65",27572553,"13,930,671,599.40",299384
"12-Jan-2022","EQ","505.85","511.85","503.50","501.30","506.30","507.25","507.75","536.70","199.65",16255334,"8,253,684,395.30",195823
"11-Jan-2022","EQ","503.00","507.90","498.15","503.70","500.80","501.30","503.80","536.70","199.65",16269193,"8,196,476,346.65",194868
"10-Jan-2022","EQ","493.10","504.90","491.30","490.60","503.60","503.70","500.63","536.70","199.65",25193771,"12,612,749,425.55",275718
"07-Jan-2022","EQ","490.05","495.50","483.75","488.85","489.85","490.60","489.39","536.70","185.05",15532165,"7,601,279,847.45",161046
"06-Jan-2022","EQ","481.50","492.95","477.10","489.75","488.40","488.85","486.55","536.70","185.05",16563230,"8,058,757,759.45",177074
"05-Jan-2022","EQ","486.95","492.75","483.55","489.60","487.85","489.75","488.50","536.70","185.05",15420105,"7,532,700,850.60",166910
"04-Jan-2022","EQ","496.80","499.00","484.05","497.60","489.35","489.60","490.08","536.70","185.05",24100985,"11,811,451,746.05",257447
"03-Jan-2022","EQ","493.50","500.85","492.00","482.40","496.80","497.60","496.63","536.70","185.05",32748423,"16,263,766,656.15",353792
"31-Dec-2021","EQ","472.70","483.60","471.85","470.40","482.80","482.40","479.23","536.70","179.00",15541446,"7,447,984,399.90",161519
"30-Dec-2021","EQ","472.55","476.40","468.60","476.00","472.10","470.40","471.40","536.70","179.00",11923961,"5,620,985,674.80",130618
"29-Dec-2021","EQ","478.75","481.60","474.25","480.20","474.75","476.00","477.93","536.70","179.00",10263884,"4,905,410,563.35",121625
"28-Dec-2021","EQ","475.20","482.80","472.65","471.15","480.35","480.20","478.62","536.70","179.00",22860916,"10,941,670,530.25",151052
"27-Dec-2021","EQ","465.70","472.45","460.10","467.60","472.45","471.15","467.81","536.70","179.00",12557565,"5,874,555,564.10",130412
"24-Dec-2021","EQ","474.90","474.90","460.00","472.35","468.30","467.60","465.86","536.70","156.70",15487368,"7,214,911,387.35",156279
"23-Dec-2021","EQ","476.00","478.00","470.95","470.50","472.25","472.35","473.59","536.70","156.70",12116814,"5,738,409,519.10",127167
"22-Dec-2021","EQ","458.15","472.15","458.15","453.60","470.50","470.50","467.28","536.70","156.70",22730750,"10,621,673,762.95",245905
"21-Dec-2021","EQ","452.10","460.90","449.85","447.05","453.50","453.60","455.58","536.70","156.70",18838054,"8,582,211,859.00",207165
"20-Dec-2021","EQ","459.90","460.00","440.00","470.20","445.55","447.05","449.56","536.70","156.70",33007516,"14,838,879,284.00",465264
"17-Dec-2021","EQ","488.00","488.85","468.20","491.95","470.20","470.20","473.46","536.70","156.70",27341178,"12,944,958,908.50",305614
"16-Dec-2021","EQ","495.00","496.50","487.40","491.65","492.05","491.95","491.60","536.70","156.70",13581352,"6,676,637,487.50",136149
"15-Dec-2021","EQ","487.80","497.70","487.25","489.40","489.80","491.65","491.70","536.70","156.70",16263723,"7,996,947,883.10",155444
"14-Dec-2021","EQ","491.95","491.95","483.30","495.35","489.40","489.40","487.95","536.70","156.70",17722547,"8,647,712,141.60",186706
"13-Dec-2021","EQ","499.45","506.40","494.20","494.45","496.00","495.35","500.82","536.70","156.70",21921272,"10,978,668,796.10",229452
