"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","3,110.00","3,121.00","3,087.65","3,079.95","3,112.20","3,114.15","3,103.16","3,590.00","2,484.50",637392,"1,977,929,341.20",56569
"31-Mar-2022","EQ","3,115.00","3,129.25","3,066.10","3,081.55","3,080.00","3,079.95","3,098.04","3,590.00","2,484.50",1464862,"4,538,199,345.85",80327
"30-Mar-2022","EQ","3,078.00","3,094.35","3,055.90","3,042.60","3,084.35","3,081.55","3,077.90","3,590.00","2,484.50",849545,"2,614,814,910.25",59816
"29-Mar-2022","EQ","3,069.00","3,087.70","3,012.70","3,027.45","3,040.00","3,042.60","3,052.13","3,590.00","2,484.50",1120936,"3,421,241,769.65",82039
"28-Mar-2022","EQ","3,046.95","3,058.60","2,995.65","3,046.95","3,024.25","3,027.45","3,023.02","3,590.00","2,484.50",680332,"2,056,655,069.85",54048
"25-Mar-2022","EQ","3,025.35","3,064.55","2,991.00","3,025.35","3,047.00","3,046.95","3,018.28","3,590.00","2,390.00",1083275,"3,269,624,533.15",81137
"24-Mar-2022","EQ","2,969.50","3,038.95","2,950.55","3,016.80","3,020.00","3,025.35","3,008.92","3,590.00","2,390.00",1243917,"3,742,841,261.40",93360
"23-Mar-2022","EQ","3,060.00","3,079.90","3,005.00","3,051.15","3,013.70","3,016.80","3,026.53","3,590.00","2,390.00",948403,"2,870,372,395.00",70875
"22-Mar-2022","EQ","3,024.00","3,062.70","2,975.00","3,045.75","3,049.45","3,051.15","3,017.34","3,590.00","2,390.00",1515772,"4,573,600,058.20",118777
"21-Mar-2022","EQ","3,117.30","3,117.30","3,030.10","3,136.60","3,049.90","3,045.75","3,073.28","3,590.00","2,390.00",1259015,"3,869,306,020.90",111085
"17-Mar-2022","EQ","3,113.50","3,163.30","3,076.50","3,042.00","3,131.10","3,136.60","3,136.49","3,590.00","2,343.05",2867519,"8,993,939,231.00",164756
"16-Mar-2022","EQ","3,043.00","3,050.00","3,010.75","2,987.15","3,040.00","3,042.00","3,032.39","3,590.00","2,343.05",1287234,"3,903,390,408.80",151047
"15-Mar-2022","EQ","2,998.00","3,032.00","2,966.00","2,962.80","2,975.05","2,987.15","2,992.99","3,590.00","2,343.05",1857685,"5,560,038,745.00",138614
"14-Mar-2022","EQ","2,950.00","2,972.35","2,917.30","2,932.00","2,960.00","2,962.80","2,954.17","3,590.00","2,343.05",1214217,"3,587,004,074.30",89553
"11-Mar-2022","EQ","2,917.00","2,939.95","2,882.35","2,912.80","2,935.00","2,932.00","2,919.67","3,590.00","2,343.05",1265493,"3,694,819,746.85",87207
"10-Mar-2022","EQ","3,000.00","3,040.00","2,891.20","2,874.95","2,898.95","2,912.80","2,949.92","3,590.00","2,343.05",3971987,"11,717,024,241.60",258798
"09-Mar-2022","EQ","2,750.00","2,890.00","2,665.05","2,723.40","2,890.00","2,874.95","2,775.70","3,590.00","2,343.05",4076068,"11,313,931,703.05",250624
"08-Mar-2022","EQ","2,690.00","2,736.95","2,638.00","2,708.45","2,727.00","2,723.40","2,675.67","3,590.00","2,343.05",2611102,"6,986,435,011.60",248903
