"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Apr-2022","EQ","7,328.30","7,425.00","7,260.00","7,290.20","7,372.00","7,366.60","7,325.81","8,050.00","4,362.00",881973,"6,461,163,297.30",73934
"07-Apr-2022","EQ","7,310.00","7,356.00","7,270.00","7,346.95","7,291.95","7,290.20","7,306.68","8,050.00","4,362.00",718266,"5,248,138,184.55",77867
"06-Apr-2022","EQ","7,350.00","7,425.00","7,300.00","7,388.45","7,342.00","7,346.95","7,353.00","8,050.00","4,362.00",767031,"5,639,978,020.15",67643
"05-Apr-2022","EQ","7,435.00","7,479.95","7,330.00","7,490.65","7,378.00","7,388.45","7,396.47","8,050.00","4,362.00",1072082,"7,929,620,960.60",98646
"04-Apr-2022","EQ","7,449.00","7,590.90","7,430.00","7,408.10","7,475.60","7,490.65","7,503.64","8,050.00","4,362.00",1049759,"7,877,009,641.80",88004
"01-Apr-2022","EQ","7,229.95","7,449.00","7,220.30","7,259.95","7,429.00","7,408.10","7,345.26","8,050.00","4,362.00",871513,"6,401,488,601.00",79258
"31-Mar-2022","EQ","7,287.95","7,445.00","7,240.65","7,251.85","7,258.70","7,259.95","7,319.35","8,050.00","4,362.00",1633011,"11,952,574,532.40",129941
"30-Mar-2022","EQ","7,100.00","7,274.45","7,099.00","7,039.35","7,234.90","7,251.85","7,221.88","8,050.00","4,362.00",1272254,"9,188,064,285.75",114350
"29-Mar-2022","EQ","7,040.00","7,060.00","6,984.50","7,001.40","7,050.00","7,039.35","7,023.87","8,050.00","4,362.00",715950,"5,028,743,142.30",58294
"28-Mar-2022","EQ","6,990.00","7,035.00","6,870.00","6,973.50","6,995.00","7,001.40","6,958.49","8,050.00","4,362.00",936973,"6,519,916,836.85",75942
"25-Mar-2022","EQ","7,059.00","7,067.45","6,940.00","6,997.55","6,982.00","6,973.50","6,991.83","8,050.00","4,362.00",702373,"4,910,873,396.00",58670
"24-Mar-2022","EQ","6,969.00","7,035.55","6,881.25","7,004.80","6,986.00","6,997.55","6,985.54","8,050.00","4,362.00",783716,"5,474,680,592.15",68202
"23-Mar-2022","EQ","7,050.00","7,104.00","6,970.00","6,985.80","6,985.00","7,004.80","7,032.44","8,050.00","4,362.00",1176750,"8,275,427,484.20",87121
"22-Mar-2022","EQ","6,870.00","7,010.00","6,767.00","6,870.40","6,998.00","6,985.80","6,893.67","8,050.00","4,362.00",1273796,"8,781,131,987.00",105600
"21-Mar-2022","EQ","7,000.00","7,018.75","6,850.00","6,994.40","6,883.00","6,870.40","6,920.21","8,050.00","4,362.00",962019,"6,657,369,147.55",72204
"17-Mar-2022","EQ","6,947.70","7,056.90","6,930.10","6,840.60","6,992.00","6,994.40","6,999.08","8,050.00","4,362.00",1670678,"11,693,206,096.20",134599
"16-Mar-2022","EQ","6,780.00","6,899.40","6,743.35","6,666.55","6,824.75","6,840.60","6,829.54","8,050.00","4,362.00",1633596,"11,156,706,302.85",135401
"15-Mar-2022","EQ","6,677.20","6,750.00","6,605.00","6,665.45","6,652.00","6,666.55","6,677.97","8,050.00","4,362.00",1479270,"9,878,519,513.90",166813
"14-Mar-2022","EQ","6,601.00","6,689.00","6,500.00","6,628.00","6,657.90","6,665.45","6,582.43","8,050.00","4,362.00",1266846,"8,338,931,270.40",134273
"11-Mar-2022","EQ","6,550.00","6,685.00","6,490.05","6,584.90","6,615.00","6,628.00","6,614.52","8,050.00","4,362.00",1264771,"8,365,848,791.30",104323
"10-Mar-2022","EQ","6,794.00","6,794.00","6,501.00","6,472.50","6,568.00","6,584.90","6,657.93","8,050.00","4,362.00",2091561,"13,925,476,697.95",175955
