"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","3,210.00","3,237.90","3,191.65","3,206.40","3,227.00","3,230.65","3,219.65","4,153.00","3,050.00",260712,"839,400,445.40",29720
"31-Mar-2022","EQ","3,149.30","3,218.50","3,147.30","3,148.40","3,209.00","3,206.40","3,191.38","4,153.00","3,050.00",413897,"1,320,901,075.70",31604
"30-Mar-2022","EQ","3,123.65","3,160.00","3,114.65","3,103.80","3,147.00","3,148.40","3,143.08","4,153.00","3,050.00",450273,"1,415,244,202.85",31645
"29-Mar-2022","EQ","3,112.00","3,134.00","3,090.20","3,094.80","3,102.00","3,103.80","3,107.72","4,153.00","3,050.00",359318,"1,116,660,654.20",25844
"28-Mar-2022","EQ","3,094.50","3,118.95","3,060.05","3,094.50","3,088.45","3,094.80","3,084.89","4,153.00","3,050.00",310240,"957,055,418.30",30496
"25-Mar-2022","EQ","3,110.00","3,122.75","3,074.10","3,103.85","3,092.10","3,094.50","3,091.16","4,153.00","3,050.00",339040,"1,048,025,761.20",32896
"24-Mar-2022","EQ","3,087.00","3,130.00","3,080.55","3,102.25","3,098.05","3,103.85","3,111.33","4,153.00","3,050.00",459226,"1,428,803,905.75",33540
"23-Mar-2022","EQ","3,167.40","3,173.85","3,092.00","3,158.40","3,093.00","3,102.25","3,114.97","4,153.00","3,050.00",1044283,"3,252,910,465.30",69579
"22-Mar-2022","EQ","3,230.00","3,250.00","3,132.25","3,237.55","3,165.30","3,158.40","3,161.71","4,153.00","3,050.00",583821,"1,845,870,570.70",56823
"21-Mar-2022","EQ","3,350.00","3,350.00","3,230.00","3,355.95","3,240.00","3,237.55","3,275.05","4,153.00","3,050.00",354460,"1,160,872,584.10",35128
"17-Mar-2022","EQ","3,322.00","3,362.00","3,300.55","3,313.65","3,354.80","3,355.95","3,334.03","4,153.00","3,050.00",436218,"1,454,365,901.75",36707
"16-Mar-2022","EQ","3,244.00","3,318.35","3,232.25","3,222.85","3,307.00","3,313.65","3,277.00","4,153.00","3,050.00",239522,"784,912,943.05",21638
"15-Mar-2022","EQ","3,186.00","3,249.00","3,181.65","3,185.85","3,220.00","3,222.85","3,221.85","4,153.00","3,050.00",258636,"833,286,415.20",31146
"14-Mar-2022","EQ","3,199.90","3,215.00","3,145.10","3,199.90","3,195.00","3,185.85","3,176.35","4,153.00","3,050.00",335292,"1,065,005,265.25",25522
"11-Mar-2022","EQ","3,250.00","3,256.60","3,192.80","3,222.95","3,200.00","3,199.90","3,214.54","4,153.00","3,050.00",362091,"1,163,954,257.00",27573
"10-Mar-2022","EQ","3,225.00","3,248.00","3,144.80","3,123.85","3,200.00","3,222.95","3,190.03","4,153.00","3,050.00",490457,"1,564,574,953.05",40450
"09-Mar-2022","EQ","3,144.00","3,170.00","3,093.70","3,113.75","3,139.00","3,123.85","3,124.69","4,153.00","3,050.00",483468,"1,510,687,248.00",53980
"08-Mar-2022","EQ","3,115.00","3,180.00","3,050.00","3,153.45","3,114.95","3,113.75","3,096.69","4,153.00","3,050.00",541966,"1,678,299,262.50",63950
"07-Mar-2022","EQ","3,300.00","3,300.55","3,138.55","3,371.35","3,159.00","3,153.45","3,203.41","4,153.00","3,138.55",711477,"2,279,152,212.20",64898
"04-Mar-2022","EQ","3,350.00","3,394.85","3,275.00","3,366.40","3,377.95","3,371.35","3,333.19","4,153.00","3,275.00",331936,"1,106,405,935.45",36119
"03-Mar-2022","EQ","3,405.00","3,439.55","3,350.00","3,391.75","3,366.00","3,366.40","3,393.51","4,153.00","3,327.35",429892,"1,458,843,219.80",44244
"02-Mar-2022","EQ","3,420.95","3,420.95","3,371.75","3,427.45","3,385.00","3,391.75","3,388.93","4,153.00","3,327.35",416582,"1,411,768,586.75",30285
"28-Feb-2022","EQ","3,405.00","3,440.00","3,327.35","3,422.75","3,418.00","3,427.45","3,389.23","4,153.00","3,327.35",426929,"1,446,961,815.20",37000
"25-Feb-2022","EQ","3,435.00","3,444.00","3,350.40","3,446.00","3,427.00","3,422.75","3,405.23","4,153.00","3,317.30",722637,"2,460,744,052.45",68859
"24-Feb-2022","EQ","3,439.50","3,504.00","3,414.00","3,511.15","3,435.00","3,446.00","3,461.63","4,153.00","3,317.30",529995,"1,834,645,419.85",47360
"23-Feb-2022","EQ","3,497.75","3,530.00","3,470.00","3,489.75","3,503.00","3,511.15","3,507.33","4,153.00","3,317.30",326853,"1,146,382,137.05",30657
"22-Feb-2022","EQ","3,405.00","3,498.00","3,405.00","3,475.25","3,476.30","3,489.75","3,469.31","4,153.00","3,317.30",246372,"854,740,026.45",27100
"21-Feb-2022","EQ","3,431.10","3,500.00","3,430.00","3,481.65","3,456.05","3,475.25","3,468.86","4,153.00","3,317.30",138287,"479,697,786.30",16836
"18-Feb-2022","EQ","3,450.00","3,495.00","3,444.15","3,464.10","3,475.20","3,481.65","3,475.77","4,153.00","3,317.30",121161,"421,127,184.65",11442
"17-Feb-2022","EQ","3,482.60","3,483.00","3,430.00","3,462.00","3,455.00","3,464.10","3,456.55","4,153.00","3,317.30",173362,"599,233,591.50",15203
"16-Feb-2022","EQ","3,480.00","3,498.80","3,435.00","3,477.90","3,462.00","3,462.00","3,464.88","4,153.00","3,317.30",190567,"660,292,371.75",17108
"15-Feb-2022","EQ","3,425.00","3,490.00","3,400.00","3,398.00","3,468.00","3,477.90","3,448.94","4,153.00","3,317.30",209065,"721,053,100.50",27429
"14-Feb-2022","EQ","3,428.00","3,455.00","3,388.05","3,480.55","3,397.00","3,398.00","3,412.14","4,153.00","3,317.30",209831,"715,973,465.60",30721
"11-Feb-2022","EQ","3,499.00","3,509.35","3,429.00","3,534.55","3,475.00","3,480.55","3,456.88","4,153.00","3,317.30",340217,"1,176,088,929.15",40974
"10-Feb-2022","EQ","3,522.00","3,543.85","3,485.00","3,517.35","3,528.05","3,534.55","3,521.55","4,153.00","3,317.30",172088,"606,017,215.95",32016
"09-Feb-2022","EQ","3,509.00","3,540.70","3,473.45","3,473.45","3,515.00","3,517.35","3,519.40","4,153.00","3,317.30",172750,"607,975,982.85",18025
"08-Feb-2022","EQ","3,441.00","3,490.00","3,418.40","3,448.60","3,467.00","3,473.45","3,460.83","4,153.00","3,317.30",363856,"1,259,244,655.10",38498
"07-Feb-2022","EQ","3,561.95","3,579.80","3,440.00","3,562.00","3,442.00","3,448.60","3,475.32","4,153.00","3,317.30",279194,"970,288,686.95",40037
"04-Feb-2022","EQ","3,583.45","3,593.70","3,540.00","3,562.40","3,559.00","3,562.00","3,560.42","4,153.00","3,317.30",162672,"579,179,910.20",27870
"03-Feb-2022","EQ","3,622.00","3,652.00","3,555.00","3,621.05","3,563.00","3,562.40","3,593.31","4,153.00","3,317.30",203975,"732,945,731.55",24095
"02-Feb-2022","EQ","3,670.00","3,670.00","3,604.80","3,656.60","3,625.00","3,621.05","3,627.96","4,153.00","3,317.30",209928,"761,609,522.75",24456
"01-Feb-2022","EQ","3,560.00","3,710.00","3,545.05","3,535.30","3,660.00","3,656.60","3,659.34","4,153.00","3,317.30",631482,"2,310,807,596.45",58969
"31-Jan-2022","EQ","3,510.00","3,636.00","3,510.00","3,509.65","3,544.20","3,535.30","3,568.22","4,153.00","3,317.30",462842,"1,651,524,087.90",42676
"28-Jan-2022","EQ","3,494.15","3,595.00","3,494.15","3,494.15","3,530.00","3,509.65","3,538.89","4,153.00","3,317.30",249034,"881,303,431.60",26484
"27-Jan-2022","EQ","3,535.00","3,535.00","3,435.65","3,539.30","3,481.85","3,494.15","3,480.71","4,153.00","3,317.30",353612,"1,230,821,610.45",36861
"25-Jan-2022","EQ","3,502.00","3,565.45","3,430.25","3,523.85","3,555.15","3,539.30","3,509.78","4,153.00","3,317.30",306411,"1,075,435,283.05",31803
"24-Jan-2022","EQ","3,610.00","3,626.55","3,505.00","3,618.30","3,505.00","3,523.85","3,558.50","4,153.00","3,317.30",240598,"856,168,087.75",31876
"21-Jan-2022","EQ","3,606.00","3,629.00","3,575.70","3,605.15","3,616.00","3,618.30","3,611.97","4,153.00","3,317.30",162594,"587,284,730.30",19089
"20-Jan-2022","EQ","3,590.00","3,624.00","3,576.50","3,575.65","3,605.65","3,605.15","3,600.24","4,153.00","3,317.30",173547,"624,810,645.50",21259
"19-Jan-2022","EQ","3,620.00","3,627.55","3,565.00","3,621.90","3,583.45","3,575.65","3,596.28","4,153.00","3,317.30",129227,"464,736,147.50",18094
"18-Jan-2022","EQ","3,668.00","3,694.70","3,611.10","3,665.15","3,629.30","3,621.90","3,643.75","4,153.00","3,317.30",168104,"612,529,194.20",22429
"17-Jan-2022","EQ","3,697.00","3,712.80","3,642.35","3,712.05","3,667.90","3,665.15","3,670.20","4,153.00","3,317.30",170221,"624,745,419.45",17441
"14-Jan-2022","EQ","3,749.05","3,754.90","3,695.30","3,749.05","3,700.00","3,712.05","3,725.66","4,153.00","3,317.30",97013,"361,437,497.60",10269
"13-Jan-2022","EQ","3,700.20","3,759.95","3,691.30","3,700.20","3,756.00","3,749.05","3,725.69","4,153.00","3,317.30",129143,"481,147,293.65",19207
"12-Jan-2022","EQ","3,750.00","3,759.75","3,691.00","3,743.35","3,704.00","3,700.20","3,717.11","4,153.00","3,317.30",311095,"1,156,375,391.85",33322
"11-Jan-2022","EQ","3,768.30","3,800.95","3,738.10","3,768.30","3,746.10","3,743.35","3,767.11","4,153.00","3,317.30",206008,"776,054,224.80",35398
"10-Jan-2022","EQ","3,737.35","3,778.00","3,727.90","3,737.35","3,776.00","3,768.30","3,752.36","4,153.00","3,317.30",351447,"1,318,756,079.25",24224
"07-Jan-2022","EQ","3,685.00","3,742.00","3,682.85","3,675.10","3,729.85","3,737.35","3,720.87","4,153.00","3,317.30",241905,"900,097,783.85",23359
"06-Jan-2022","EQ","3,659.70","3,686.95","3,625.80","3,659.70","3,673.00","3,675.10","3,656.21","4,153.00","3,317.30",340345,"1,244,373,184.60",31627
"05-Jan-2022","EQ","3,638.00","3,689.00","3,633.05","3,638.45","3,656.00","3,659.70","3,658.72","4,153.00","3,317.30",245395,"897,830,567.40",24387
"04-Jan-2022","EQ","3,623.00","3,643.85","3,610.00","3,617.55","3,641.00","3,638.45","3,627.98","4,153.00","3,317.30",317247,"1,150,965,836.25",24579
"03-Jan-2022","EQ","3,610.00","3,626.00","3,582.20","3,606.00","3,622.00","3,617.55","3,610.56","4,153.00","3,317.30",149689,"540,461,785.60",14710
"31-Dec-2021","EQ","3,586.00","3,623.20","3,569.05","3,573.90","3,614.00","3,606.00","3,601.30","4,153.00","3,317.30",244207,"879,461,666.50",18725
"30-Dec-2021","EQ","3,570.00","3,586.00","3,526.05","3,559.60","3,586.00","3,573.90","3,560.00","4,153.00","3,317.30",167005,"594,538,532.30",17199
"29-Dec-2021","EQ","3,550.65","3,569.80","3,525.20","3,550.65","3,565.00","3,559.60","3,548.09","4,153.00","3,317.30",163737,"580,952,948.30",12542
"28-Dec-2021","EQ","3,531.00","3,562.00","3,511.10","3,513.20","3,549.90","3,550.65","3,543.49","4,153.00","3,317.30",99497,"352,566,419.85",10080
"27-Dec-2021","EQ","3,540.00","3,544.55","3,506.70","3,541.30","3,509.00","3,513.20","3,524.61","4,153.00","3,317.30",94111,"331,704,194.65",14523
"24-Dec-2021","EQ","3,560.00","3,565.00","3,519.00","3,554.60","3,540.05","3,541.30","3,540.58","4,153.00","3,317.30",136780,"484,280,542.90",10105
"23-Dec-2021","EQ","3,503.10","3,560.00","3,502.00","3,497.00","3,552.85","3,554.60","3,535.85","4,153.00","3,317.30",163291,"577,372,431.95",14340
"22-Dec-2021","EQ","3,522.00","3,538.60","3,484.60","3,505.75","3,505.35","3,497.00","3,505.03","4,153.00","3,317.30",257611,"902,934,883.35",19364
"21-Dec-2021","EQ","3,473.90","3,541.35","3,461.05","3,471.90","3,519.00","3,505.75","3,506.16","4,153.00","3,317.30",222991,"781,842,723.50",16910
"20-Dec-2021","EQ","3,522.00","3,530.00","3,430.10","3,536.15","3,473.90","3,471.90","3,458.37","4,153.00","3,317.30",382144,"1,321,593,643.80",29075
"17-Dec-2021","EQ","3,546.00","3,556.00","3,500.00","3,560.60","3,533.90","3,536.15","3,525.82","4,153.00","3,317.30",307396,"1,083,823,267.90",19552
"16-Dec-2021","EQ","3,550.00","3,571.65","3,536.65","3,541.60","3,560.00","3,560.60","3,556.39","4,153.00","3,317.30",121782,"433,104,546.70",16091
"15-Dec-2021","EQ","3,571.00","3,579.60","3,521.50","3,579.65","3,537.05","3,541.60","3,540.74","4,153.00","3,317.30",152079,"538,472,034.55",17018
"14-Dec-2021","EQ","3,580.00","3,597.45","3,543.05","3,588.75","3,592.00","3,579.65","3,560.76","4,153.00","3,317.30",297867,"1,060,633,402.00",25727
"13-Dec-2021","EQ","3,641.00","3,658.35","3,576.95","3,632.45","3,583.00","3,588.75","3,616.34","4,153.00","3,317.30",311904,"1,127,951,747.20",24371
"10-Dec-2021","EQ","3,623.90","3,642.00","3,604.40","3,623.90","3,623.75","3,632.45","3,629.99","4,153.00","3,317.30",190379,"691,074,222.85",12823
"09-Dec-2021","EQ","3,565.00","3,634.45","3,564.00","3,575.75","3,630.25","3,623.90","3,599.45","4,153.00","3,317.30",284117,"1,022,665,891.05",21340
"08-Dec-2021","EQ","3,489.95","3,582.45","3,483.00","3,474.20","3,570.00","3,575.75","3,537.36","4,153.00","3,317.30",326189,"1,153,849,472.05",31039
"07-Dec-2021","EQ","3,502.05","3,529.00","3,467.00","3,496.20","3,476.00","3,474.20","3,489.91","4,153.00","3,317.30",254445,"887,990,547.05",26542
