"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,023.00","1,025.90","1,006.00","1,018.05","1,018.65","1,014.85","1,013.93","1,083.00","790.25",1285646,"1,303,550,557.95",37132
"31-Mar-2022","EQ","1,030.00","1,035.00","1,013.60","1,028.95","1,019.65","1,018.05","1,018.46","1,083.00","790.25",1976418,"2,012,893,683.05",63104
"30-Mar-2022","EQ","1,043.00","1,054.80","1,025.20","1,038.85","1,028.00","1,028.95","1,037.63","1,083.00","790.25",3083750,"3,199,804,897.50",90269
"29-Mar-2022","EQ","1,020.20","1,041.00","1,020.20","1,017.10","1,039.90","1,038.85","1,033.24","1,083.00","790.25",3194089,"3,300,248,645.50",81352
"28-Mar-2022","EQ","1,022.00","1,044.25","1,008.90","1,013.50","1,018.95","1,017.10","1,021.72","1,083.00","790.25",3847112,"3,930,685,238.00",101038
"25-Mar-2022","EQ","1,033.30","1,033.30","1,006.00","1,029.00","1,017.00","1,013.50","1,013.59","1,083.00","758.70",1680031,"1,702,866,368.35",53697
"24-Mar-2022","EQ","1,014.00","1,040.10","1,001.75","1,014.45","1,028.00","1,029.00","1,023.11","1,083.00","758.70",3344649,"3,421,946,129.75",102752
"23-Mar-2022","EQ","1,044.90","1,044.90","1,011.25","1,032.60","1,015.05","1,014.45","1,026.04","1,083.00","758.70",2781735,"2,854,177,182.25",84352
"22-Mar-2022","EQ","1,045.00","1,049.25","1,024.00","1,050.30","1,034.00","1,032.60","1,033.05","1,083.00","758.70",2269544,"2,344,557,834.85",52551
"21-Mar-2022","EQ","1,067.80","1,071.00","1,049.10","1,048.50","1,051.20","1,050.30","1,057.97","1,083.00","758.70",2039889,"2,158,131,933.75",59243
"17-Mar-2022","EQ","1,056.00","1,066.40","1,045.70","1,055.80","1,046.70","1,048.50","1,051.92","1,083.00","738.10",3712730,"3,905,491,242.05",98533
"16-Mar-2022","EQ","1,077.00","1,078.00","1,049.15","1,068.05","1,053.70","1,055.80","1,056.28","1,083.00","738.10",3379138,"3,569,307,835.50",87930
"15-Mar-2022","EQ","1,045.00","1,083.00","1,045.00","1,048.65","1,070.00","1,068.05","1,068.56","1,083.00","738.10",7945333,"8,490,093,362.20",186096
"14-Mar-2022","EQ","1,045.00","1,058.00","1,036.75","1,043.95","1,047.60","1,048.65","1,046.67","1,058.00","738.10",5590771,"5,851,719,161.00",138196
"11-Mar-2022","EQ","984.25","1,053.75","981.35","987.05","1,045.00","1,043.95","1,023.44","1,053.75","738.10",11106725,"11,367,099,739.15",211764
"10-Mar-2022","EQ","982.05","992.90","975.00","981.55","985.00","987.05","985.08","1,005.00","738.10",4146797,"4,084,946,701.00",95573
"09-Mar-2022","EQ","969.55","987.55","960.05","969.55","981.50","981.55","979.44","1,005.00","738.10",3501351,"3,429,356,796.05",95960
"08-Mar-2022","EQ","938.00","977.00","935.40","941.15","974.25","969.55","961.55","1,005.00","738.10",5826939,"5,602,905,969.55",111379
"07-Mar-2022","EQ","921.90","946.00","917.05","931.20","940.05","941.15","934.28","1,005.00","738.10",2604231,"2,433,071,165.15",88703
"04-Mar-2022","EQ","929.00","941.00","920.25","934.90","932.05","931.20","933.84","1,005.00","738.10",2453781,"2,291,440,069.00",104407
"03-Mar-2022","EQ","925.00","945.00","919.55","923.10","934.30","934.90","936.40","1,005.00","738.10",2622469,"2,455,686,571.95",79014
"02-Mar-2022","EQ","911.10","931.30","911.10","925.05","923.20","923.10","922.05","1,005.00","738.10",3276260,"3,020,863,620.75",72965
"28-Feb-2022","EQ","920.05","929.95","911.00","923.65","926.70","925.05","923.83","1,005.00","738.10",1534018,"1,417,174,052.25",63283
"25-Feb-2022","EQ","903.00","926.70","890.95","895.80","926.00","923.65","911.02","1,005.00","738.10",2825642,"2,574,219,777.65",73260
"24-Feb-2022","EQ","899.80","908.75","888.15","914.90","895.00","895.80","897.05","1,005.00","738.10",2003438,"1,797,191,538.30",71323
"23-Feb-2022","EQ","915.25","921.30","910.25","913.40","915.25","914.90","916.18","1,005.00","738.10",1399309,"1,282,023,551.10",47176
"22-Feb-2022","EQ","893.20","918.00","890.75","907.25","912.45","913.40","904.87","1,005.00","738.10",1884736,"1,705,441,412.75",76092
"21-Feb-2022","EQ","903.10","913.70","896.00","909.10","905.00","907.25","907.01","1,005.00","738.10",1860041,"1,687,081,089.70",54653
"18-Feb-2022","EQ","927.50","929.85","903.05","928.20","909.05","909.10","909.41","1,005.00","738.10",3643338,"3,313,277,878.30",107668
"17-Feb-2022","EQ","934.80","955.50","925.70","933.10","927.90","928.20","940.87","1,005.00","738.10",2843010,"2,674,911,817.35",65672
"16-Feb-2022","EQ","938.00","940.25","920.10","921.85","932.00","933.10","928.05","1,005.00","738.10",2480569,"2,302,097,695.40",62192
"15-Feb-2022","EQ","916.55","938.80","912.30","954.90","920.90","921.85","923.21","1,005.00","738.10",8304774,"7,667,021,468.50",125550
"14-Feb-2022","EQ","947.00","962.90","938.85","958.50","955.00","954.90","955.02","1,005.00","738.10",2346622,"2,241,063,962.20",73322
"11-Feb-2022","EQ","956.50","976.05","953.00","975.05","956.50","958.50","958.86","1,005.00","738.10",1292417,"1,239,248,396.30",53838
"10-Feb-2022","EQ","969.00","977.35","963.00","968.25","973.45","975.05","973.06","1,005.00","738.10",2044733,"1,989,647,801.00",93541
"09-Feb-2022","EQ","954.80","972.50","950.25","948.05","967.00","968.25","965.24","1,005.00","738.10",2513281,"2,425,926,231.65",85538
"08-Feb-2022","EQ","933.30","951.00","931.10","933.30","950.20","948.05","943.56","1,005.00","738.10",1812035,"1,709,761,919.50",73666
"07-Feb-2022","EQ","946.20","947.00","927.05","946.10","933.70","933.30","934.38","1,005.00","738.10",949273,"886,985,612.55",48087
"04-Feb-2022","EQ","951.25","957.75","940.00","952.75","946.45","946.10","946.44","1,005.00","738.10",1428601,"1,352,092,015.30",49334
"03-Feb-2022","EQ","953.00","957.00","944.55","951.80","950.20","952.75","952.03","1,005.00","738.10",1116446,"1,062,895,506.50",76183
"02-Feb-2022","EQ","945.50","958.50","944.75","946.40","950.10","951.80","951.29","1,005.00","738.10",1735750,"1,651,207,781.80",64293
"01-Feb-2022","EQ","948.00","959.00","938.80","945.00","943.00","946.40","950.51","1,005.00","738.10",2033319,"1,932,680,586.20",84016
"31-Jan-2022","EQ","939.00","950.00","930.65","932.25","945.00","945.00","945.40","1,005.00","738.10",2008278,"1,898,635,867.45",65456
"28-Jan-2022","EQ","926.55","942.00","917.45","927.60","930.60","932.25","935.94","1,005.00","738.10",2428175,"2,272,625,991.90",77761
"27-Jan-2022","EQ","901.00","931.50","887.00","905.65","926.55","927.60","917.56","1,005.00","738.10",7859401,"7,211,461,430.65",239337
"25-Jan-2022","EQ","891.40","909.00","881.10","892.10","902.00","905.65","897.20","1,005.00","738.10",2322693,"2,083,922,857.50",139393
"24-Jan-2022","EQ","871.50","895.00","867.45","867.45","892.30","892.10","886.38","1,005.00","738.10",4992078,"4,424,880,210.15",152825
"21-Jan-2022","EQ","880.00","880.00","860.00","882.35","867.30","867.45","868.29","1,005.00","738.10",1669132,"1,449,284,375.30",69443
"20-Jan-2022","EQ","895.00","899.90","880.05","895.65","883.50","882.35","885.85","1,005.00","738.10",1614683,"1,430,371,986.70",66573
"19-Jan-2022","EQ","900.05","901.60","885.10","902.15","897.00","895.65","894.17","1,005.00","738.10",1413292,"1,263,729,868.40",48371
"18-Jan-2022","EQ","910.20","914.60","898.45","910.20","901.60","902.15","902.69","1,005.00","738.10",1830577,"1,652,450,551.90",60161
"17-Jan-2022","EQ","915.60","920.20","909.00","921.50","909.65","910.20","912.70","1,005.00","738.10",1058857,"966,414,277.20",40853
"14-Jan-2022","EQ","926.05","933.00","916.30","924.05","920.60","921.50","924.63","1,005.00","738.10",2321761,"2,146,773,130.25",81806
"13-Jan-2022","EQ","912.00","929.15","908.70","906.20","924.95","924.05","921.59","1,005.00","738.10",2739659,"2,524,848,815.65",79029
"12-Jan-2022","EQ","918.40","918.40","901.20","915.95","907.20","906.20","907.00","1,005.00","738.10",2090537,"1,896,107,883.85",116676
"11-Jan-2022","EQ","917.50","921.75","913.00","916.20","914.00","915.95","917.59","1,005.00","738.10",1578147,"1,448,092,556.25",61608
"10-Jan-2022","EQ","914.75","917.85","908.65","914.75","916.00","916.20","915.05","1,005.00","738.10",1637506,"1,498,403,051.05",54103
"07-Jan-2022","EQ","926.40","926.65","913.35","922.00","914.60","914.75","917.19","1,005.00","738.10",1546099,"1,418,070,080.50",45098
"06-Jan-2022","EQ","928.55","935.95","919.30","928.55","921.40","922.00","925.27","1,005.00","738.10",1384402,"1,280,948,303.75",37937
"05-Jan-2022","EQ","926.50","931.80","919.00","924.25","929.25","928.55","926.72","1,005.00","738.10",1407995,"1,304,814,825.15",45984
"04-Jan-2022","EQ","937.45","937.45","920.25","930.50","925.00","924.25","925.42","1,005.00","738.10",1238138,"1,145,801,164.25",39174
"03-Jan-2022","EQ","947.05","947.90","925.80","944.10","931.75","930.50","931.91","1,005.00","738.10",2013140,"1,876,074,732.60",55241
"31-Dec-2021","EQ","955.00","957.25","942.00","952.75","944.05","944.10","947.38","1,005.00","738.10",2039044,"1,931,756,153.70",53558
"30-Dec-2021","EQ","937.00","955.00","936.10","935.55","952.80","952.75","947.11","1,005.00","738.10",1729705,"1,638,223,753.35",54348
"29-Dec-2021","EQ","938.00","947.60","933.25","933.30","934.20","935.55","941.11","1,005.00","738.10",2687014,"2,528,777,392.10",64584
"28-Dec-2021","EQ","932.00","936.30","923.05","930.25","932.50","933.30","931.65","1,005.00","738.10",1907169,"1,776,806,717.35",48122
"27-Dec-2021","EQ","912.90","933.15","910.15","908.30","928.80","930.25","923.93","1,005.00","738.10",4596248,"4,246,607,947.10",110357
"24-Dec-2021","EQ","910.20","912.90","901.80","909.75","910.00","908.30","907.40","1,005.00","738.10",1114033,"1,010,878,373.90",32672
"23-Dec-2021","EQ","892.00","912.50","891.25","889.70","908.20","909.75","904.56","1,005.00","738.10",1970110,"1,782,086,387.00",58842
"22-Dec-2021","EQ","889.00","893.85","880.95","886.75","888.50","889.70","886.96","1,005.00","738.10",1271710,"1,127,957,146.55",41209
"21-Dec-2021","EQ","893.80","897.40","882.05","893.80","889.00","886.75","888.83","1,005.00","738.10",2301316,"2,045,474,240.70",68692
"20-Dec-2021","EQ","864.00","898.45","861.10","860.20","892.15","893.80","883.02","1,005.00","738.10",8501360,"7,506,896,610.65",184812
"17-Dec-2021","EQ","882.00","884.50","850.00","881.00","856.00","860.20","862.28","1,005.00","738.10",2824703,"2,435,677,637.90",102543
"16-Dec-2021","EQ","903.50","903.50","878.25","895.70","882.00","881.00","886.95","1,005.00","738.10",2280037,"2,022,270,499.80",62470
"15-Dec-2021","EQ","896.20","901.85","891.70","895.60","895.00","895.70","897.23","1,005.00","738.10",1192775,"1,070,193,390.60",37273
"14-Dec-2021","EQ","893.50","907.85","891.00","891.30","896.20","895.60","898.36","1,005.00","738.10",2651452,"2,381,955,856.55",83116
"13-Dec-2021","EQ","895.20","903.00","886.55","893.90","890.80","891.30","893.81","1,005.00","738.10",1785608,"1,595,992,312.00",52619
"10-Dec-2021","EQ","895.00","901.00","891.00","894.50","893.30","893.90","896.03","1,005.00","738.10",947538,"849,020,851.80",35780
"09-Dec-2021","EQ","900.00","902.00","890.05","897.95","894.50","894.50","893.69","1,005.00","738.10",1645541,"1,470,610,235.00",42387
"08-Dec-2021","EQ","895.00","902.00","890.30","889.25","898.90","897.95","895.64","1,005.00","738.10",1663728,"1,490,102,933.00",46672
"07-Dec-2021","EQ","898.30","898.30","884.00","894.95","889.90","889.25","889.32","1,005.00","738.10",2471419,"2,197,892,033.65",84615
"06-Dec-2021","EQ","915.10","915.80","892.50","912.05","894.30","894.95","900.40","1,005.00","738.10",1573419,"1,416,702,774.95",50311
"03-Dec-2021","EQ","930.00","930.00","908.30","921.25","912.75","912.05","913.54","1,005.00","738.10",2388529,"2,182,018,533.85",99312
"02-Dec-2021","EQ","937.95","937.95","917.50","928.15","920.80","921.25","925.04","1,005.00","738.10",2749084,"2,543,008,979.75",79596
"01-Dec-2021","EQ","980.75","986.70","921.85","971.30","928.35","928.15","951.77","1,005.00","738.10",3879683,"3,692,550,554.70",112023
"30-Nov-2021","EQ","965.00","984.00","958.60","965.00","973.00","971.30","971.57","1,005.00","738.10",4771579,"4,635,931,811.00",130292
"29-Nov-2021","EQ","974.00","998.00","956.00","966.70","962.00","965.00","973.39","1,005.00","738.10",8303735,"8,082,801,188.10",224407
"26-Nov-2021","EQ","892.00","976.05","890.65","899.95","965.00","966.70","955.06","1,005.00","726.50",14458893,"13,809,087,476.60",359988
"25-Nov-2021","EQ","894.00","902.45","884.00","893.45","902.40","899.95","894.75","1,005.00","726.50",1325422,"1,185,921,377.15",45825
"24-Nov-2021","EQ","911.00","915.40","891.35","910.60","893.50","893.45","900.68","1,005.00","726.50",1392190,"1,253,913,818.65",57700
"23-Nov-2021","EQ","891.70","918.55","890.00","895.40","907.00","910.60","906.33","1,005.00","726.50",1820473,"1,649,941,955.25",52515
"22-Nov-2021","EQ","893.00","909.00","883.00","892.30","894.45","895.40","895.63","1,005.00","726.50",1443344,"1,292,701,285.25",62174
"18-Nov-2021","EQ","905.30","907.00","891.00","905.35","892.40","892.30","895.94","1,005.00","726.50",1009418,"904,373,626.95",48371
"17-Nov-2021","EQ","921.75","921.75","901.00","921.75","902.50","905.35","908.26","1,005.00","726.50",1996857,"1,813,660,169.60",81879
"16-Nov-2021","EQ","943.15","943.90","919.00","938.15","923.00","921.75","930.49","1,005.00","726.50",1925000,"1,791,187,946.50",69034
"15-Nov-2021","EQ","915.00","939.85","910.10","915.95","936.50","938.15","931.55","1,005.00","726.50",2615304,"2,436,276,134.80",69759
"12-Nov-2021","EQ","910.80","917.00","905.00","904.90","915.80","915.95","911.42","1,005.00","706.50",936613,"853,643,730.00",40827
"11-Nov-2021","EQ","912.45","912.45","896.00","912.45","906.00","904.90","902.43","1,005.00","706.50",1180372,"1,065,206,173.60",54560
"10-Nov-2021","EQ","910.00","924.50","910.00","914.15","913.00","912.45","917.69","1,005.00","706.50",1597922,"1,466,401,702.80",65612
"09-Nov-2021","EQ","913.00","925.00","909.65","913.70","914.00","914.15","916.70","1,005.00","706.50",843911,"773,611,654.55",31484
"08-Nov-2021","EQ","917.95","917.95","898.70","910.70","913.95","913.70","908.27","1,005.00","706.50",860650,"781,699,081.30",30471
"04-Nov-2021","EQ","912.65","914.25","908.85","912.65","911.00","910.70","911.28","1,005.00","706.50",96347,"87,799,488.15",5698
"03-Nov-2021","EQ","909.55","914.70","903.70","903.40","912.10","912.65","909.16","1,005.00","706.50",1275433,"1,159,566,456.95",34912
"02-Nov-2021","EQ","910.00","912.85","900.50","909.25","902.50","903.40","904.73","1,005.00","706.50",1038025,"939,131,910.50",40840
"01-Nov-2021","EQ","917.00","918.55","902.20","905.05","908.90","909.25","909.47","1,005.00","706.50",986133,"896,863,172.40",55715
"29-Oct-2021","EQ","893.00","917.00","885.25","891.75","910.00","905.05","903.48","1,005.00","706.50",2783659,"2,514,980,496.15",87913
"28-Oct-2021","EQ","922.40","928.55","886.30","922.50","889.95","891.75","905.94","1,005.00","706.50",2224983,"2,015,703,147.70",65478
"27-Oct-2021","EQ","916.95","926.90","902.45","907.50","921.20","922.50","918.78","1,005.00","706.50",5111161,"4,696,031,271.25",155300
"26-Oct-2021","EQ","908.90","914.15","900.00","901.85","909.00","907.50","906.40","1,005.00","706.50",1405411,"1,273,859,319.80",40614
"25-Oct-2021","EQ","895.90","913.00","890.00","896.35","902.45","901.85","904.11","1,005.00","706.50",1901039,"1,718,745,301.55",61990
"22-Oct-2021","EQ","911.55","915.00","889.35","911.55","895.80","896.35","899.47","1,005.00","706.50",1360319,"1,223,567,884.70",38652
"21-Oct-2021","EQ","914.45","917.90","901.60","905.90","912.80","911.55","909.76","1,005.00","706.50",2723509,"2,477,743,225.75",67328
"20-Oct-2021","EQ","905.00","912.70","900.00","906.20","905.25","905.90","906.41","1,005.00","706.50",1941581,"1,759,872,317.65",57613
"19-Oct-2021","EQ","906.00","917.30","903.25","903.75","906.00","906.20","909.27","1,005.00","706.50",1360282,"1,236,860,557.80",37455
"18-Oct-2021","EQ","911.35","915.90","899.50","911.35","903.00","903.75","904.36","1,005.00","706.50",1913667,"1,730,634,688.00",73995
"14-Oct-2021","EQ","917.45","920.50","909.90","913.50","912.35","911.35","914.92","1,005.00","706.50",913675,"835,944,053.65",34911
"13-Oct-2021","EQ","921.65","924.45","912.05","915.95","913.15","913.50","915.67","1,005.00","706.50",1821818,"1,668,179,262.65",41361
"12-Oct-2021","EQ","913.50","924.70","907.85","913.75","916.45","915.95","915.54","1,005.00","706.50",1164581,"1,066,214,759.65",39026
"11-Oct-2021","EQ","922.80","923.15","910.00","917.10","914.30","913.75","915.68","1,005.00","706.50",1449593,"1,327,358,962.05",34242
"08-Oct-2021","EQ","923.00","929.45","911.65","916.05","916.95","917.10","920.21","1,005.00","706.50",2075219,"1,909,632,314.35",61887
"07-Oct-2021","EQ","920.00","922.25","898.00","913.45","915.90","916.05","907.05","1,005.00","706.50",7008049,"6,356,671,815.45",121544
"06-Oct-2021","EQ","935.55","938.55","911.15","934.55","913.80","913.45","925.56","1,005.00","706.50",2615582,"2,420,866,484.50",87658
"05-Oct-2021","EQ","961.80","961.90","928.45","957.50","934.50","934.55","936.67","1,005.00","706.50",4986700,"4,670,891,194.80",130470
"04-Oct-2021","EQ","986.00","996.95","954.90","986.20","956.90","957.50","972.96","1,005.00","706.50",4097873,"3,987,056,479.15",82342
"01-Oct-2021","EQ","980.00","991.90","973.10","983.55","984.05","986.20","984.34","1,005.00","706.50",1948517,"1,918,008,766.30",43634
"30-Sep-2021","EQ","988.00","999.75","976.35","987.60","981.50","983.55","985.35","1,005.00","706.50",2312926,"2,279,038,375.30",61797
"29-Sep-2021","EQ","970.50","1,005.00","965.15","971.00","991.00","987.60","988.01","1,005.00","706.50",4052980,"4,004,381,540.70",91334
"28-Sep-2021","EQ","960.50","977.00","950.80","962.70","977.00","971.00","960.36","997.00","706.50",1542732,"1,481,583,366.75",42111
"27-Sep-2021","EQ","965.00","970.05","952.30","967.65","961.10","962.70","959.92","997.00","706.50",1217035,"1,168,256,092.90",40883
"24-Sep-2021","EQ","969.60","983.40","960.45","968.10","971.00","967.65","970.60","997.00","706.50",1803409,"1,750,397,695.95",58527
"23-Sep-2021","EQ","965.45","970.00","959.50","963.50","969.00","968.10","965.08","997.00","706.50",1297533,"1,252,228,657.10",47319
"22-Sep-2021","EQ","952.25","974.25","951.65","956.10","964.65","963.50","965.49","997.00","706.50",2267730,"2,189,476,475.55",56697
"21-Sep-2021","EQ","935.00","959.00","933.00","938.10","955.00","956.10","950.20","997.00","706.50",2438464,"2,317,023,044.05",45331
"20-Sep-2021","EQ","953.00","953.00","929.80","954.05","934.00","938.10","939.69","997.00","706.50",2308294,"2,169,091,174.80",53917
"17-Sep-2021","EQ","960.00","962.50","948.05","954.00","953.80","954.05","955.31","997.00","706.50",2006356,"1,916,692,509.15",43860
"16-Sep-2021","EQ","954.50","964.80","950.20","952.95","954.00","954.00","958.17","997.00","706.50",3574908,"3,425,360,026.40",59496
"15-Sep-2021","EQ","955.00","956.60","948.30","953.15","953.10","952.95","951.09","997.00","706.50",2509424,"2,386,687,783.25",42123
"14-Sep-2021","EQ","954.80","958.35","949.60","950.45","952.15","953.15","953.17","997.00","706.50",1373821,"1,309,479,676.75",33657
"13-Sep-2021","EQ","946.00","953.90","942.55","949.30","950.90","950.45","949.92","997.00","706.50",865538,"822,196,003.30",31580
"09-Sep-2021","EQ","951.15","952.10","926.00","951.80","950.75","949.30","936.36","997.00","704.40",3769007,"3,529,139,942.00",36179
"08-Sep-2021","EQ","948.00","953.15","940.00","950.50","953.15","951.80","947.83","997.00","704.40",1600457,"1,516,963,511.40",40859
"07-Sep-2021","EQ","950.20","957.30","944.05","950.20","950.50","950.50","950.84","997.00","704.40",1113880,"1,059,125,472.30",31317
"06-Sep-2021","EQ","945.85","958.00","942.65","941.10","950.55","950.20","951.68","997.00","704.40",1699875,"1,617,733,239.25",44895
"03-Sep-2021","EQ","956.10","963.00","930.65","955.25","941.00","941.10","944.81","997.00","704.40",3110583,"2,938,925,307.30",81949
"02-Sep-2021","EQ","927.00","960.00","923.40","922.85","955.00","955.25","945.65","997.00","704.40",3688123,"3,487,661,936.25",91378
"01-Sep-2021","EQ","949.00","954.90","920.00","947.80","921.90","922.85","934.16","997.00","704.40",4434153,"4,142,225,530.45",94586
"31-Aug-2021","EQ","935.00","949.70","930.30","934.70","949.00","947.80","942.10","997.00","704.40",2463088,"2,320,466,387.05",52259
"30-Aug-2021","EQ","924.00","936.50","920.45","923.90","931.80","934.70","931.84","997.00","704.40",2016968,"1,879,481,949.90",49040
"27-Aug-2021","EQ","913.80","925.45","907.50","911.30","922.00","923.90","920.73","997.00","704.40",1878603,"1,729,694,244.55",41103
"26-Aug-2021","EQ","912.60","916.75","906.30","912.60","910.00","911.30","911.28","997.00","704.40",1522032,"1,386,995,709.80",32596
"25-Aug-2021","EQ","917.00","923.60","905.95","917.65","910.05","912.60","913.25","997.00","704.40",1697757,"1,550,469,404.05",41175
"24-Aug-2021","EQ","903.00","919.55","897.65","898.35","916.95","917.65","909.89","997.00","704.40",2588128,"2,354,917,449.50",55407
"23-Aug-2021","EQ","898.00","908.00","888.65","890.85","897.00","898.35","899.09","997.00","704.40",2081206,"1,871,195,116.85",51752
"20-Aug-2021","EQ","908.90","909.05","887.00","908.85","889.95","890.85","896.11","997.00","704.40",2354874,"2,110,237,775.05",68841
"18-Aug-2021","EQ","900.20","910.70","900.00","904.65","908.90","908.85","905.12","997.00","704.40",2323095,"2,102,671,111.00",55693
"17-Aug-2021","EQ","891.00","906.30","889.90","888.25","903.00","904.65","899.22","997.00","704.40",3767678,"3,387,967,832.90",82677
"16-Aug-2021","EQ","896.00","901.10","886.05","894.40","888.10","888.25","891.12","997.00","704.40",1954152,"1,741,377,508.25",52484
