"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","183.80","187.25","183.30","183.05","186.00","186.15","185.97","203.80","123.40",13505929,"2,511,746,170.70",80444
"31-Mar-2022","EQ","184.15","184.90","181.65","182.90","183.05","183.05","183.15","203.80","123.40",9435203,"1,728,087,443.50",53416
"30-Mar-2022","EQ","187.95","187.95","182.00","186.00","182.35","182.90","184.80","203.80","123.40",10298319,"1,903,172,043.55",77511
"29-Mar-2022","EQ","192.00","192.20","185.50","191.25","186.15","186.00","186.90","203.80","123.40",10622472,"1,985,361,168.35",79843
"28-Mar-2022","EQ","186.10","193.70","185.50","186.10","191.15","191.25","190.96","203.80","123.40",19132062,"3,653,423,920.45",120622
"25-Mar-2022","EQ","187.40","188.90","184.60","187.40","186.75","186.10","186.75","203.80","123.40",10044811,"1,875,835,887.05",72742
"24-Mar-2022","EQ","183.70","188.50","183.30","183.05","187.05","187.40","187.06","203.80","123.40",16323203,"3,053,481,061.85",107452
"23-Mar-2022","EQ","182.60","184.25","179.30","183.35","183.50","183.05","181.46","203.80","123.40",13731315,"2,491,682,215.60",73127
"22-Mar-2022","EQ","183.65","185.80","180.50","182.30","182.80","183.35","183.34","203.80","123.40",12372751,"2,268,401,418.65",76044
"21-Mar-2022","EQ","177.85","186.35","177.50","176.55","182.35","182.30","182.49","203.80","123.40",20271556,"3,699,424,463.45",115017
"17-Mar-2022","EQ","179.00","180.00","175.50","176.90","177.15","176.55","177.22","203.80","123.40",20052773,"3,553,685,083.85",89168
"16-Mar-2022","EQ","173.00","177.80","172.90","172.90","176.30","176.90","175.60","203.80","123.40",11846738,"2,080,277,184.60",67148
"15-Mar-2022","EQ","179.90","180.00","171.50","180.35","172.75","172.90","175.19","203.80","123.40",14074860,"2,465,710,715.45",105756
"14-Mar-2022","EQ","181.00","182.15","177.85","181.75","179.80","180.35","179.91","203.80","123.40",8306420,"1,494,448,320.40",62771
"11-Mar-2022","EQ","181.00","182.50","179.25","178.95","181.90","181.75","181.22","203.80","123.40",14663558,"2,657,318,023.40",106459
"10-Mar-2022","EQ","184.00","184.00","177.05","186.65","179.65","178.95","179.14","203.80","123.40",30890343,"5,533,599,293.25",161095
"09-Mar-2022","EQ","190.00","190.60","185.60","189.15","186.80","186.65","188.26","203.80","123.40",13870658,"2,611,353,709.35",90595
"08-Mar-2022","EQ","189.00","191.70","186.60","188.70","188.55","189.15","189.21","203.80","123.40",22940456,"4,340,480,605.30",150061
"07-Mar-2022","EQ","185.95","192.00","181.70","181.00","188.60","188.70","186.51","203.80","123.40",41642776,"7,766,757,130.80",243021
"04-Mar-2022","EQ","188.95","191.00","180.50","188.95","181.70","181.00","184.96","203.80","123.40",36095156,"6,676,142,409.90",197277
"03-Mar-2022","EQ","189.60","197.75","186.85","184.80","188.85","188.95","191.31","203.80","123.40",74050073,"14,166,196,196.40",359441
"02-Mar-2022","EQ","171.00","185.65","171.00","169.55","184.00","184.80","180.80","203.80","123.40",72648396,"13,135,025,732.15",381469
"28-Feb-2022","EQ","162.45","169.95","160.55","163.45","169.20","169.55","166.72","203.80","123.40",20872239,"3,479,748,217.80",129815
"25-Feb-2022","EQ","152.25","164.90","152.25","150.00","163.30","163.45","159.74","203.80","123.40",17079977,"2,728,358,323.95",111614
"24-Feb-2022","EQ","154.00","156.80","149.00","158.50","151.00","150.00","153.07","203.80","123.40",12115340,"1,854,467,890.35",101439
"23-Feb-2022","EQ","160.35","162.30","158.20","159.90","159.00","158.50","160.11","203.80","123.40",7627472,"1,221,230,103.35",58835
"22-Feb-2022","EQ","159.50","160.65","155.50","161.20","160.00","159.90","157.85","203.80","123.40",11654816,"1,839,767,014.90",91942
"21-Feb-2022","EQ","163.15","163.50","159.85","167.30","161.10","161.20","161.12","203.80","123.40",14870901,"2,395,948,145.20",91754
"18-Feb-2022","EQ","163.00","168.25","162.60","163.05","167.30","167.30","166.77","203.80","123.40",23740696,"3,959,219,067.25",114929
"17-Feb-2022","EQ","164.70","165.50","162.70","163.85","162.90","163.05","163.96","203.80","123.40",6906440,"1,132,405,409.75",46655
"16-Feb-2022","EQ","165.25","166.00","162.80","163.65","163.85","163.85","164.09","203.80","123.40",10653203,"1,748,110,322.90",53275
"15-Feb-2022","EQ","162.75","164.85","159.85","161.65","164.15","163.65","162.53","203.80","123.40",16850616,"2,738,772,100.80",98140
"14-Feb-2022","EQ","166.10","166.25","161.15","166.50","161.70","161.65","163.44","203.80","123.40",9478670,"1,549,210,355.50",82039
