"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","4,295.00","4,334.65","4,263.00","4,295.45","4,278.00","4,279.45","4,296.94","5,614.60","3,654.00",313871,"1,348,685,611.30",29226
"31-Mar-2022","EQ","4,353.00","4,387.50","4,280.10","4,354.40","4,293.00","4,295.45","4,335.85","5,614.60","3,654.00",611719,"2,652,323,743.05",69987
"30-Mar-2022","EQ","4,352.80","4,366.50","4,284.10","4,323.55","4,353.00","4,354.40","4,336.41","5,614.60","3,654.00",616826,"2,674,810,903.15",47375
"29-Mar-2022","EQ","4,294.00","4,355.55","4,247.05","4,285.45","4,328.00","4,323.55","4,316.46","5,614.60","3,654.00",421084,"1,817,592,819.80",49253
"28-Mar-2022","EQ","4,359.80","4,362.95","4,239.15","4,361.45","4,309.05","4,285.45","4,278.19","5,614.60","3,654.00",496907,"2,125,861,392.95",49664
"25-Mar-2022","EQ","4,327.00","4,375.00","4,290.00","4,328.50","4,350.00","4,361.45","4,334.52","5,614.60","3,654.00",864397,"3,746,749,918.00",67057
"24-Mar-2022","EQ","4,113.00","4,348.55","4,101.45","4,127.30","4,322.05","4,328.50","4,283.58","5,614.60","3,654.00",1738147,"7,445,487,811.25",142757
"23-Mar-2022","EQ","4,040.00","4,188.95","4,040.00","4,030.35","4,110.00","4,127.30","4,147.67","5,614.60","3,654.00",1044114,"4,330,639,564.70",66562
"22-Mar-2022","EQ","4,021.00","4,056.95","3,970.00","4,004.95","4,028.90","4,030.35","3,991.12","5,614.60","3,654.00",1290222,"5,149,427,755.20",35850
"21-Mar-2022","EQ","4,074.00","4,082.95","3,996.75","4,042.15","4,003.00","4,004.95","4,036.80","5,614.60","3,654.00",401639,"1,621,337,747.95",34131
"17-Mar-2022","EQ","3,965.10","4,050.00","3,946.20","3,943.80","4,037.70","4,042.15","4,017.10","5,614.60","3,654.00",772587,"3,103,562,645.60",57304
"16-Mar-2022","EQ","3,974.00","3,974.00","3,890.00","3,899.85","3,927.45","3,943.80","3,924.46","5,614.60","3,654.00",358776,"1,408,000,309.45",31280
"15-Mar-2022","EQ","3,958.00","3,999.00","3,880.00","3,957.30","3,891.00","3,899.85","3,930.50","5,614.60","3,654.00",471294,"1,852,418,854.65",50876
"14-Mar-2022","EQ","3,961.00","3,994.65","3,925.00","3,975.60","3,955.00","3,957.30","3,960.49","5,614.60","3,654.00",570058,"2,257,710,866.75",50486
"11-Mar-2022","EQ","3,893.00","3,996.00","3,873.00","3,892.50","3,974.95","3,975.60","3,956.77","5,614.60","3,654.00",1113263,"4,404,927,822.85",78077
"10-Mar-2022","EQ","3,975.00","3,986.50","3,875.55","3,930.45","3,882.00","3,892.50","3,916.32","5,614.60","3,654.00",712099,"2,788,811,036.05",67193
"09-Mar-2022","EQ","3,901.50","3,981.30","3,882.20","3,868.55","3,930.00","3,930.45","3,949.86","5,614.60","3,654.00",809369,"3,196,891,609.00",65248
"08-Mar-2022","EQ","3,750.00","3,886.95","3,737.85","3,769.40","3,875.30","3,868.55","3,818.26","5,614.60","3,654.00",784169,"2,994,162,457.50",70586
"07-Mar-2022","EQ","3,749.00","3,791.95","3,668.00","3,828.65","3,766.80","3,769.40","3,750.85","5,614.60","3,654.00",603086,"2,262,082,471.05",66659
"04-Mar-2022","EQ","3,710.00","3,873.95","3,654.00","3,718.85","3,826.00","3,828.65","3,775.00","5,614.60","3,654.00",1208050,"4,560,390,489.80",108769
"03-Mar-2022","EQ","3,879.00","3,894.25","3,700.00","3,853.15","3,734.65","3,718.85","3,771.57","5,614.60","3,700.00",1334725,"5,034,005,670.85",121731
"02-Mar-2022","EQ","4,061.35","4,063.40","3,825.00","4,063.40","3,854.20","3,853.15","3,911.81","5,614.60","3,825.00",1540635,"6,026,677,923.05",141663
"28-Feb-2022","EQ","4,150.00","4,150.00","4,052.50","4,176.60","4,064.95","4,063.40","4,072.50","5,614.60","4,049.95",982850,"4,002,653,315.05",100648
"25-Feb-2022","EQ","4,114.00","4,201.00","4,102.10","4,092.50","4,180.00","4,176.60","4,150.39","5,614.60","4,049.95",305433,"1,267,667,173.15",37985
"24-Feb-2022","EQ","4,050.00","4,149.00","4,049.95","4,200.95","4,083.00","4,092.50","4,088.26","5,614.60","4,049.95",697127,"2,850,034,937.00",82004
"23-Feb-2022","EQ","4,260.00","4,260.65","4,190.85","4,218.50","4,204.00","4,200.95","4,213.33","5,614.60","4,135.00",371484,"1,565,184,645.50",48503
"22-Feb-2022","EQ","4,189.95","4,235.60","4,155.70","4,298.25","4,209.00","4,218.50","4,201.08","5,614.60","4,135.00",480840,"2,020,045,121.10",46522
"21-Feb-2022","EQ","4,376.00","4,416.65","4,282.60","4,321.15","4,299.00","4,298.25","4,339.73","5,614.60","4,135.00",587951,"2,551,551,352.75",53900
