"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","2,457.15","2,494.75","2,422.00","2,457.15","2,486.85","2,481.20","2,465.98","2,994.00","2,159.55",745769,"1,839,049,468.80",37186
"31-Mar-2022","EQ","2,483.85","2,495.00","2,436.35","2,486.55","2,455.00","2,457.15","2,462.65","2,994.00","2,159.55",840572,"2,070,032,620.15",45020
"30-Mar-2022","EQ","2,488.10","2,518.20","2,444.45","2,480.50","2,485.00","2,486.55","2,483.11","2,994.00","2,159.55",1198770,"2,976,679,126.45",59693
"29-Mar-2022","EQ","2,378.50","2,492.95","2,360.05","2,380.00","2,487.00","2,480.50","2,428.07","2,994.00","2,159.55",1317033,"3,197,845,009.90",62131
"28-Mar-2022","EQ","2,350.00","2,386.65","2,315.20","2,336.85","2,375.05","2,380.00","2,354.68","2,994.00","2,159.55",690955,"1,626,978,687.15",46680
"25-Mar-2022","EQ","2,385.00","2,389.85","2,325.05","2,369.65","2,337.00","2,336.85","2,348.28","2,994.00","2,159.55",446420,"1,048,320,240.00",33970
"24-Mar-2022","EQ","2,385.00","2,388.20","2,350.00","2,394.10","2,367.90","2,369.65","2,370.39","2,994.00","2,159.55",568611,"1,347,829,636.90",36327
"23-Mar-2022","EQ","2,393.00","2,413.70","2,363.00","2,380.40","2,385.90","2,394.10","2,393.02","2,994.00","2,159.55",439287,"1,051,220,456.90",28322
"22-Mar-2022","EQ","2,378.75","2,404.80","2,329.00","2,378.75","2,375.00","2,380.40","2,368.10","2,994.00","2,159.55",661123,"1,565,608,123.40",44454
"21-Mar-2022","EQ","2,448.95","2,448.95","2,372.00","2,436.95","2,375.00","2,378.75","2,397.51","2,994.00","2,159.55",480116,"1,151,084,641.90",45851
"17-Mar-2022","EQ","2,378.90","2,463.00","2,375.30","2,357.90","2,436.00","2,436.95","2,433.37","2,994.00","2,159.55",1229513,"2,991,860,699.85",62133
