"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,661.20","1,680.85","1,658.00","1,664.00","1,665.20","1,669.95","1,667.04","1,929.80","1,262.00",841336,"1,402,539,848.20",25428
"31-Mar-2022","EQ","1,670.00","1,678.60","1,650.30","1,667.70","1,669.40","1,664.00","1,662.97","1,929.80","1,262.00",778296,"1,294,286,434.60",39233
"30-Mar-2022","EQ","1,638.00","1,677.95","1,632.55","1,623.70","1,666.10","1,667.70","1,661.44","1,929.80","1,262.00",1504728,"2,500,011,014.60",47311
"29-Mar-2022","EQ","1,619.00","1,638.60","1,606.95","1,610.95","1,625.10","1,623.70","1,619.29","1,929.80","1,262.00",1737040,"2,812,764,546.80",57769
"28-Mar-2022","EQ","1,594.80","1,616.95","1,575.20","1,591.05","1,608.50","1,610.95","1,593.01","1,929.80","1,262.00",1278068,"2,035,975,392.30",37323
"25-Mar-2022","EQ","1,601.50","1,612.00","1,574.20","1,599.40","1,592.00","1,591.05","1,593.33","1,929.80","1,262.00",660227,"1,051,962,704.25",30533
"24-Mar-2022","EQ","1,577.00","1,603.90","1,569.10","1,582.10","1,598.00","1,599.40","1,592.66","1,929.80","1,262.00",1076441,"1,714,402,025.00",54454
"23-Mar-2022","EQ","1,594.50","1,595.00","1,564.30","1,582.50","1,578.00","1,582.10","1,580.39","1,929.80","1,262.00",841284,"1,329,558,528.25",44914
"22-Mar-2022","EQ","1,569.45","1,590.95","1,525.10","1,569.45","1,584.70","1,582.50","1,560.01","1,929.80","1,262.00",1013736,"1,581,440,364.35",43303
"21-Mar-2022","EQ","1,607.00","1,614.45","1,556.45","1,619.85","1,569.00","1,569.45","1,581.21","1,929.80","1,262.00",1286325,"2,033,953,013.25",52237
"17-Mar-2022","EQ","1,620.00","1,656.75","1,612.00","1,604.05","1,623.25","1,619.85","1,630.22","1,929.80","1,262.00",2728198,"4,447,575,681.60",62978
"16-Mar-2022","EQ","1,579.55","1,615.85","1,576.20","1,564.25","1,603.70","1,604.05","1,600.25","1,929.80","1,262.00",1401061,"2,242,042,954.30",66900
"15-Mar-2022","EQ","1,573.00","1,598.70","1,557.60","1,577.50","1,563.90","1,564.25","1,578.10","1,929.80","1,262.00",913262,"1,441,216,442.45",43962
"14-Mar-2022","EQ","1,556.20","1,583.95","1,545.90","1,566.25","1,579.15","1,577.50","1,569.21","1,929.80","1,262.00",548042,"859,995,459.20",28328
"11-Mar-2022","EQ","1,553.75","1,575.90","1,541.00","1,554.90","1,567.20","1,566.25","1,562.96","1,929.80","1,262.00",1202172,"1,878,940,764.55",36450
"10-Mar-2022","EQ","1,550.00","1,575.00","1,531.10","1,493.35","1,555.00","1,554.90","1,558.32","1,929.80","1,262.00",1486312,"2,316,154,119.20",68354
"09-Mar-2022","EQ","1,465.70","1,508.70","1,443.50","1,458.20","1,492.10","1,493.35","1,490.55","1,929.80","1,262.00",1691246,"2,520,894,458.30",69434
"08-Mar-2022","EQ","1,440.00","1,465.70","1,407.20","1,446.55","1,452.40","1,458.20","1,438.93","1,929.80","1,262.00",816447,"1,174,813,267.75",44989
"07-Mar-2022","EQ","1,445.00","1,475.70","1,409.70","1,477.60","1,449.90","1,446.55","1,448.19","1,929.80","1,262.00",923769,"1,337,797,440.60",49604
"04-Mar-2022","EQ","1,485.00","1,514.90","1,447.00","1,503.60","1,474.40","1,477.60","1,477.13","1,929.80","1,202.20",1627383,"2,403,856,686.10",74496
"03-Mar-2022","EQ","1,558.00","1,577.60","1,496.20","1,548.50","1,504.00","1,503.60","1,530.82","1,929.80","1,202.20",1145813,"1,754,035,454.00",65452
"02-Mar-2022","EQ","1,572.00","1,582.75","1,538.50","1,598.50","1,557.85","1,548.50","1,554.13","1,929.80","1,202.20",1146391,"1,781,640,463.05",59388
"28-Feb-2022","EQ","1,552.50","1,604.40","1,538.45","1,567.85","1,600.00","1,598.50","1,581.27","1,929.80","1,202.20",1212286,"1,916,954,434.70",55772
"25-Feb-2022","EQ","1,580.00","1,598.80","1,560.15","1,544.35","1,576.45","1,567.85","1,578.67","1,929.80","1,190.85",1121363,"1,770,264,340.50",71802
"24-Feb-2022","EQ","1,625.00","1,652.95","1,535.00","1,669.80","1,539.00","1,544.35","1,582.95","1,929.80","1,190.85",1255601,"1,987,558,060.50",61620
"23-Feb-2022","EQ","1,690.10","1,704.00","1,663.15","1,684.15","1,665.50","1,669.80","1,679.84","1,929.80","1,190.85",673096,"1,130,696,666.05",42577
"22-Feb-2022","EQ","1,637.15","1,689.70","1,637.15","1,692.45","1,684.45","1,684.15","1,673.06","1,929.80","1,190.85",880972,"1,473,918,799.65",37740
"21-Feb-2022","EQ","1,704.00","1,736.75","1,687.35","1,722.75","1,687.35","1,692.45","1,712.51","1,929.80","1,190.85",1031646,"1,766,702,497.85",38194
"18-Feb-2022","EQ","1,702.00","1,739.90","1,698.00","1,711.25","1,716.95","1,722.75","1,720.70","1,929.80","1,190.85",1200407,"2,065,542,770.55",36544
"17-Feb-2022","EQ","1,737.95","1,751.80","1,700.00","1,721.30","1,701.80","1,711.25","1,722.15","1,929.80","1,190.85",1067390,"1,838,208,573.30",43973
"16-Feb-2022","EQ","1,714.80","1,749.95","1,712.55","1,712.10","1,716.00","1,721.30","1,734.80","1,929.80","1,190.85",1204064,"2,088,811,723.75",38948
"15-Feb-2022","EQ","1,659.30","1,715.80","1,618.05","1,642.95","1,707.90","1,712.10","1,663.07","1,929.80","1,190.85",1194854,"1,987,125,356.75",72774
"14-Feb-2022","EQ","1,696.60","1,696.60","1,635.65","1,710.15","1,638.00","1,642.95","1,656.34","1,929.80","1,190.85",824741,"1,366,054,372.25",48974
"11-Feb-2022","EQ","1,750.00","1,760.00","1,702.00","1,768.55","1,708.60","1,710.15","1,717.28","1,929.80","1,185.00",983623,"1,689,157,776.05",64620
"10-Feb-2022","EQ","1,726.60","1,771.30","1,726.60","1,739.70","1,768.00","1,768.55","1,760.04","1,929.80","1,185.00",622393,"1,095,433,625.40",80064
"09-Feb-2022","EQ","1,718.10","1,746.00","1,713.00","1,717.80","1,742.30","1,739.70","1,733.93","1,929.80","1,185.00",454006,"787,214,125.80",36510
"08-Feb-2022","EQ","1,721.35","1,728.00","1,685.40","1,712.35","1,708.00","1,717.80","1,708.36","1,929.80","1,185.00",421620,"720,278,298.40",34137
"07-Feb-2022","EQ","1,725.05","1,749.65","1,700.00","1,735.30","1,715.70","1,712.35","1,718.11","1,929.80","1,185.00",481298,"826,921,537.75",26684
"04-Feb-2022","EQ","1,732.70","1,765.00","1,727.20","1,732.70","1,739.00","1,735.30","1,746.67","1,929.80","1,047.35",569416,"994,580,433.55",41252
"03-Feb-2022","EQ","1,779.05","1,786.00","1,722.00","1,778.10","1,727.00","1,732.70","1,757.87","1,929.80","1,047.35",480434,"844,539,491.80",31666
"02-Feb-2022","EQ","1,780.00","1,790.00","1,763.00","1,771.35","1,774.90","1,778.10","1,779.07","1,929.80","1,047.35",688940,"1,225,671,200.15",31612
"01-Feb-2022","EQ","1,736.60","1,776.95","1,717.10","1,727.50","1,772.00","1,771.35","1,746.73","1,929.80","1,047.35",1140710,"1,992,513,009.85",49725
"31-Jan-2022","EQ","1,705.90","1,737.00","1,702.00","1,697.00","1,726.80","1,727.50","1,725.04","1,929.80","1,047.35",511167,"881,781,387.20",45758
"28-Jan-2022","EQ","1,700.00","1,736.35","1,691.05","1,687.05","1,700.00","1,697.00","1,709.69","1,929.80","1,017.00",1137085,"1,944,067,507.85",45846
"27-Jan-2022","EQ","1,697.10","1,700.00","1,660.10","1,721.30","1,691.40","1,687.05","1,682.22","1,929.80","1,017.00",814635,"1,370,394,266.15",70614
"25-Jan-2022","EQ","1,668.60","1,726.20","1,658.05","1,690.70","1,724.50","1,721.30","1,703.50","1,929.80","1,017.00",834681,"1,421,875,015.70",43824
"24-Jan-2022","EQ","1,791.80","1,791.80","1,684.00","1,792.10","1,688.00","1,690.70","1,728.58","1,929.80","1,017.00",1018776,"1,761,038,468.30",49295
"21-Jan-2022","EQ","1,829.00","1,829.00","1,779.00","1,831.00","1,794.40","1,792.10","1,796.63","1,929.80","990.85",524966,"943,169,340.65",30681
"20-Jan-2022","EQ","1,817.00","1,836.75","1,813.60","1,806.50","1,836.50","1,831.00","1,827.61","1,929.80","990.85",713340,"1,303,706,232.85",43596
"19-Jan-2022","EQ","1,845.00","1,863.90","1,796.30","1,852.25","1,808.45","1,806.50","1,820.51","1,929.80","990.85",806090,"1,467,493,745.90",35066
"18-Jan-2022","EQ","1,927.95","1,929.80","1,842.70","1,918.70","1,849.30","1,852.25","1,884.79","1,929.80","990.85",941752,"1,775,003,239.20",47441
"17-Jan-2022","EQ","1,857.30","1,929.00","1,846.00","1,857.30","1,922.00","1,918.70","1,894.35","1,929.00","990.85",1251260,"2,370,329,418.65",52782
"14-Jan-2022","EQ","1,859.90","1,867.75","1,832.35","1,856.85","1,855.00","1,857.30","1,851.39","1,893.00","990.85",1234583,"2,285,696,262.85",65544
"13-Jan-2022","EQ","1,880.00","1,883.00","1,850.00","1,874.00","1,852.35","1,856.85","1,863.23","1,893.00","990.85",841198,"1,567,345,514.40",50908
"12-Jan-2022","EQ","1,857.95","1,877.45","1,845.00","1,846.90","1,871.90","1,874.00","1,864.69","1,893.00","990.85",698473,"1,302,438,262.15",34685
"11-Jan-2022","EQ","1,834.15","1,871.00","1,821.00","1,838.85","1,850.20","1,846.90","1,849.49","1,893.00","990.85",1410909,"2,609,459,561.30",66732
"10-Jan-2022","EQ","1,810.00","1,845.00","1,793.60","1,797.65","1,834.15","1,838.85","1,823.18","1,893.00","990.85",1462664,"2,666,701,986.40",47721
"07-Jan-2022","EQ","1,722.00","1,807.00","1,722.00","1,720.55","1,799.95","1,797.65","1,783.58","1,893.00","937.15",2894295,"5,162,215,224.05",89878
"06-Jan-2022","EQ","1,746.10","1,746.10","1,710.60","1,747.05","1,720.00","1,720.55","1,724.84","1,893.00","937.15",1154118,"1,990,666,838.15",35448
"05-Jan-2022","EQ","1,685.00","1,753.10","1,684.00","1,692.00","1,743.80","1,747.05","1,725.84","1,893.00","937.15",1764235,"3,044,793,214.40",44197
"04-Jan-2022","EQ","1,671.00","1,696.50","1,658.00","1,661.60","1,692.00","1,692.00","1,678.54","1,893.00","937.15",891638,"1,496,650,439.60",31882
"03-Jan-2022","EQ","1,629.75","1,666.85","1,617.00","1,622.25","1,666.00","1,661.60","1,642.42","1,893.00","937.15",626473,"1,028,930,702.35",26503
"31-Dec-2021","EQ","1,603.10","1,644.00","1,600.55","1,593.65","1,627.00","1,622.25","1,627.06","1,893.00","897.10",1656520,"2,695,255,988.70",50815
"30-Dec-2021","EQ","1,605.00","1,620.30","1,587.55","1,604.65","1,593.50","1,593.65","1,599.94","1,893.00","897.10",1160926,"1,857,416,595.10",40046
