"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,161.00","1,174.00","1,152.05","1,163.75","1,173.20","1,169.65","1,163.84","1,377.75","891.00",2479745,"2,886,036,219.55",90890
"31-Mar-2022","EQ","1,174.80","1,174.80","1,161.00","1,165.20","1,163.00","1,163.75","1,165.74","1,377.75","891.00",3006639,"3,504,946,171.20",78084
"30-Mar-2022","EQ","1,177.35","1,181.95","1,162.10","1,167.70","1,164.25","1,165.20","1,172.10","1,377.75","891.00",3073672,"3,602,643,919.85",87726
"29-Mar-2022","EQ","1,167.00","1,175.00","1,163.65","1,163.95","1,169.10","1,167.70","1,168.94","1,377.75","891.00",2443230,"2,855,991,651.10",81545
"28-Mar-2022","EQ","1,184.90","1,187.60","1,158.20","1,179.35","1,163.00","1,163.95","1,165.10","1,377.75","891.00",3406258,"3,968,629,732.85",114018
"25-Mar-2022","EQ","1,199.00","1,199.00","1,175.40","1,192.10","1,184.00","1,179.35","1,185.74","1,377.75","891.00",2489854,"2,952,317,174.90",80994
"24-Mar-2022","EQ","1,169.00","1,194.00","1,169.00","1,180.70","1,191.90","1,192.10","1,185.76","1,377.75","891.00",2351703,"2,788,547,931.75",72402
"23-Mar-2022","EQ","1,190.00","1,190.85","1,170.00","1,176.40","1,179.50","1,180.70","1,181.77","1,377.75","891.00",2338886,"2,764,030,874.60",90625
"22-Mar-2022","EQ","1,170.00","1,181.75","1,162.30","1,168.05","1,180.00","1,176.40","1,173.35","1,377.75","891.00",4516870,"5,299,875,376.10",97208
"21-Mar-2022","EQ","1,199.90","1,209.90","1,165.10","1,196.90","1,167.00","1,168.05","1,184.45","1,377.75","891.00",4046440,"4,792,824,708.90",117759
"17-Mar-2022","EQ","1,215.00","1,215.00","1,190.80","1,199.50","1,194.50","1,196.90","1,197.56","1,377.75","891.00",6987787,"8,368,324,122.30",154666
"16-Mar-2022","EQ","1,190.15","1,202.95","1,185.00","1,176.85","1,197.00","1,199.50","1,192.73","1,377.75","891.00",1894018,"2,259,058,308.80",86173
"15-Mar-2022","EQ","1,207.00","1,214.30","1,168.10","1,202.85","1,179.40","1,176.85","1,188.64","1,377.75","891.00",3003066,"3,569,570,380.85",135033
"14-Mar-2022","EQ","1,193.45","1,214.80","1,177.65","1,193.45","1,207.50","1,202.85","1,200.58","1,377.75","891.00",5740660,"6,892,121,741.60",180125
"11-Mar-2022","EQ","1,180.00","1,207.15","1,176.30","1,192.15","1,193.95","1,193.45","1,194.47","1,377.75","891.00",2770879,"3,309,730,336.05",106304
"10-Mar-2022","EQ","1,198.20","1,198.20","1,175.00","1,182.70","1,190.90","1,192.15","1,186.24","1,377.75","891.00",3834327,"4,548,441,978.00",174344
"09-Mar-2022","EQ","1,180.00","1,195.00","1,161.10","1,175.30","1,179.95","1,182.70","1,187.04","1,377.75","891.00",3781326,"4,488,577,495.40",150570
"08-Mar-2022","EQ","1,156.00","1,179.60","1,155.00","1,154.20","1,172.95","1,175.30","1,170.63","1,377.75","891.00",3805165,"4,454,423,680.60",186833
"07-Mar-2022","EQ","1,111.00","1,161.40","1,110.50","1,138.45","1,153.75","1,154.20","1,143.22","1,377.75","891.00",5249845,"6,001,732,268.25",207700
"04-Mar-2022","EQ","1,128.00","1,154.85","1,122.65","1,139.70","1,139.95","1,138.45","1,141.58","1,377.75","891.00",3522375,"4,021,074,439.90",152935
"03-Mar-2022","EQ","1,125.00","1,152.00","1,120.50","1,115.55","1,137.15","1,139.70","1,141.11","1,377.75","891.00",3969380,"4,529,517,582.00",114308
"02-Mar-2022","EQ","1,124.65","1,124.65","1,109.00","1,126.95","1,114.00","1,115.55","1,114.89","1,377.75","891.00",3867328,"4,311,635,432.35",147696
"28-Feb-2022","EQ","1,119.60","1,133.30","1,107.00","1,129.70","1,126.00","1,126.95","1,124.15","1,377.75","891.00",4571884,"5,139,505,921.60",132686
"25-Feb-2022","EQ","1,115.60","1,141.00","1,115.00","1,098.55","1,131.35","1,129.70","1,132.07","1,377.75","891.00",3213276,"3,637,643,643.70",121008
"24-Feb-2022","EQ","1,106.00","1,134.95","1,092.00","1,153.00","1,099.00","1,098.55","1,106.09","1,377.75","891.00",5469084,"6,049,293,188.90",176157
"23-Feb-2022","EQ","1,156.00","1,159.00","1,148.05","1,149.55","1,151.00","1,153.00","1,153.42","1,377.75","891.00",1937649,"2,234,926,126.25",59302
"22-Feb-2022","EQ","1,132.00","1,154.15","1,132.00","1,164.75","1,152.90","1,149.55","1,146.92","1,377.75","891.00",3254855,"3,733,068,563.10",117879
"21-Feb-2022","EQ","1,153.10","1,169.50","1,150.20","1,165.00","1,164.00","1,164.75","1,160.94","1,377.75","891.00",1706058,"1,980,633,912.15",48258
"18-Feb-2022","EQ","1,152.85","1,170.10","1,150.10","1,163.05","1,165.60","1,165.00","1,160.52","1,377.75","891.00",2166690,"2,514,478,357.90",58646
"17-Feb-2022","EQ","1,174.00","1,174.00","1,160.00","1,167.80","1,161.90","1,163.05","1,166.30","1,377.75","891.00",1644055,"1,917,455,288.80",52253
"16-Feb-2022","EQ","1,178.00","1,182.65","1,160.00","1,168.55","1,164.80","1,167.80","1,170.98","1,377.75","891.00",1885868,"2,208,319,006.40",80567
"15-Feb-2022","EQ","1,153.50","1,174.00","1,148.10","1,146.45","1,173.00","1,168.55","1,163.24","1,377.75","891.00",3000492,"3,490,295,462.80",124581
"14-Feb-2022","EQ","1,135.35","1,164.35","1,133.60","1,163.70","1,141.05","1,146.45","1,151.96","1,377.75","891.00",3243813,"3,736,752,790.50",86827
"11-Feb-2022","EQ","1,179.00","1,179.00","1,158.05","1,190.35","1,161.95","1,163.70","1,165.77","1,377.75","891.00",3912397,"4,560,951,120.00",108734
"10-Feb-2022","EQ","1,184.95","1,191.90","1,174.10","1,180.90","1,190.15","1,190.35","1,184.45","1,377.75","891.00",2053245,"2,431,972,917.35",106669
"09-Feb-2022","EQ","1,172.00","1,189.00","1,166.00","1,161.95","1,179.00","1,180.90","1,183.92","1,377.75","891.00",3772972,"4,466,882,845.35",111046
"08-Feb-2022","EQ","1,158.95","1,169.85","1,148.55","1,157.35","1,161.90","1,161.95","1,159.92","1,377.75","891.00",3267641,"3,790,188,536.05",98059
"07-Feb-2022","EQ","1,157.00","1,171.35","1,146.00","1,163.80","1,158.95","1,157.35","1,158.49","1,377.75","891.00",3824483,"4,430,629,495.05",102739
"04-Feb-2022","EQ","1,160.00","1,167.10","1,137.35","1,156.75","1,163.50","1,163.80","1,159.13","1,377.75","891.00",3625482,"4,202,410,186.95",108136
"03-Feb-2022","EQ","1,162.00","1,170.85","1,151.00","1,170.95","1,158.05","1,156.75","1,163.30","1,377.75","891.00",4169794,"4,850,738,858.35",94552
"02-Feb-2022","EQ","1,142.90","1,173.85","1,133.30","1,132.80","1,172.50","1,170.95","1,161.55","1,377.75","891.00",6982539,"8,110,564,261.65",148087
"01-Feb-2022","EQ","1,116.70","1,136.50","1,101.25","1,099.40","1,134.80","1,132.80","1,119.90","1,377.75","891.00",6783774,"7,597,149,269.15",146913
"31-Jan-2022","EQ","1,100.65","1,113.95","1,092.85","1,080.45","1,099.70","1,099.40","1,101.30","1,377.75","891.00",7572995,"8,340,115,747.60",166985
"28-Jan-2022","EQ","1,079.00","1,102.20","1,077.25","1,077.75","1,080.90","1,080.45","1,090.26","1,377.75","891.00",7654724,"8,345,674,347.05",333051
"27-Jan-2022","EQ","1,115.00","1,115.95","1,070.20","1,123.70","1,079.55","1,077.75","1,083.76","1,377.75","891.00",8304735,"9,000,375,381.85",311621
"25-Jan-2022","EQ","1,115.00","1,139.65","1,088.40","1,124.90","1,124.00","1,123.70","1,122.20","1,377.75","891.00",4725254,"5,302,697,120.40",211750
"24-Jan-2022","EQ","1,162.50","1,164.50","1,111.00","1,167.95","1,122.80","1,124.90","1,134.94","1,377.75","891.00",5878438,"6,671,700,359.95",247857
"21-Jan-2022","EQ","1,175.35","1,179.85","1,155.00","1,175.35","1,169.00","1,167.95","1,167.54","1,377.75","891.00",5514748,"6,438,705,407.80",193527
"20-Jan-2022","EQ","1,200.00","1,201.40","1,170.00","1,199.20","1,175.00","1,175.35","1,179.30","1,377.75","891.00",6172404,"7,279,122,049.80",254903
"19-Jan-2022","EQ","1,220.00","1,220.50","1,191.00","1,219.75","1,201.75","1,199.20","1,200.23","1,377.75","891.00",8464215,"10,158,971,743.65",282454
"18-Jan-2022","EQ","1,269.95","1,269.95","1,217.00","1,258.75","1,220.10","1,219.75","1,238.78","1,377.75","891.00",7799487,"9,661,874,151.85",312619
"17-Jan-2022","EQ","1,273.00","1,273.00","1,243.40","1,337.20","1,260.55","1,258.75","1,260.40","1,377.75","891.00",11973283,"15,091,116,271.70",454426
"14-Jan-2022","EQ","1,320.00","1,342.95","1,293.00","1,334.25","1,330.00","1,337.20","1,317.46","1,377.75","891.00",5636243,"7,425,547,840.10",175711
"13-Jan-2022","EQ","1,340.00","1,359.40","1,321.15","1,352.15","1,327.00","1,334.25","1,341.95","1,377.75","891.00",4598005,"6,170,288,792.45",190827
"12-Jan-2022","EQ","1,354.00","1,357.10","1,331.40","1,343.65","1,348.45","1,352.15","1,347.69","1,377.75","891.00",3162044,"4,261,441,300.45",133426
"11-Jan-2022","EQ","1,288.65","1,348.00","1,280.00","1,288.10","1,346.00","1,343.65","1,330.01","1,377.75","891.00",6772189,"9,007,051,760.90",223289
"10-Jan-2022","EQ","1,304.85","1,304.85","1,280.00","1,290.55","1,290.00","1,288.10","1,289.91","1,377.75","891.00",2529949,"3,263,415,640.10",87323
"07-Jan-2022","EQ","1,297.55","1,298.50","1,282.20","1,284.90","1,289.00","1,290.55","1,290.34","1,377.75","891.00",3898684,"5,030,614,404.50",110043
"06-Jan-2022","EQ","1,290.00","1,297.80","1,277.00","1,310.75","1,286.90","1,284.90","1,284.53","1,377.75","891.00",4409632,"5,664,290,563.50",126001
"05-Jan-2022","EQ","1,329.00","1,330.00","1,302.00","1,333.45","1,311.35","1,310.75","1,310.08","1,377.75","891.00",3510253,"4,598,710,306.10",150826
"04-Jan-2022","EQ","1,329.50","1,336.70","1,307.25","1,326.15","1,335.50","1,333.45","1,324.18","1,377.75","891.00",3367100,"4,458,636,097.10",115098
"03-Jan-2022","EQ","1,316.35","1,339.90","1,314.10","1,319.10","1,324.00","1,326.15","1,328.98","1,377.75","891.00",2661272,"3,536,784,044.25",108928
"31-Dec-2021","EQ","1,320.00","1,329.45","1,308.95","1,317.05","1,319.45","1,319.10","1,319.49","1,377.75","891.00",2231508,"2,944,453,254.50",79174
"30-Dec-2021","EQ","1,291.90","1,326.45","1,282.70","1,291.90","1,317.00","1,317.05","1,313.44","1,377.75","891.00",4518139,"5,934,307,349.70",132717
"29-Dec-2021","EQ","1,283.00","1,299.00","1,277.10","1,283.90","1,291.50","1,291.90","1,291.30","1,377.75","891.00",2254162,"2,910,804,070.60",67484
"28-Dec-2021","EQ","1,270.00","1,289.00","1,270.00","1,267.20","1,280.00","1,283.90","1,283.42","1,377.75","891.00",3446067,"4,422,737,066.90",132069
"27-Dec-2021","EQ","1,268.00","1,277.00","1,254.05","1,265.20","1,267.50","1,267.20","1,265.86","1,377.75","891.00",3372907,"4,269,618,338.30",107525
