"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,476.40","1,510.00","1,470.30","1,470.35","1,507.50","1,506.00","1,494.73","1,725.00","1,292.00",7284278,"10,888,017,388.80",225554
"31-Mar-2022","EQ","1,471.00","1,484.70","1,465.90","1,476.95","1,470.00","1,470.35","1,473.98","1,725.00","1,292.00",7147857,"10,535,800,362.90",175701
"30-Mar-2022","EQ","1,472.00","1,482.75","1,454.05","1,451.80","1,476.00","1,476.95","1,468.52","1,725.00","1,292.00",10054871,"14,765,780,325.45",225951
"29-Mar-2022","EQ","1,441.00","1,460.25","1,430.00","1,432.80","1,458.00","1,451.80","1,442.08","1,725.00","1,292.00",6188724,"8,924,654,172.95",203589
"28-Mar-2022","EQ","1,430.90","1,438.00","1,401.60","1,430.90","1,436.00","1,432.80","1,417.35","1,725.00","1,292.00",7877443,"11,165,074,398.95",263045
"25-Mar-2022","EQ","1,451.00","1,452.00","1,419.00","1,442.65","1,436.80","1,430.90","1,430.95","1,725.00","1,292.00",8183231,"11,709,762,372.25",223085
"24-Mar-2022","EQ","1,466.00","1,469.65","1,434.55","1,479.25","1,442.90","1,442.65","1,449.15","1,725.00","1,292.00",10080022,"14,607,432,713.30",247575
"23-Mar-2022","EQ","1,507.00","1,518.80","1,473.60","1,494.15","1,479.15","1,479.25","1,481.70","1,725.00","1,292.00",15594128,"23,105,806,046.35",201491
"22-Mar-2022","EQ","1,481.30","1,498.00","1,457.20","1,486.50","1,496.80","1,494.15","1,478.67","1,725.00","1,292.00",5230907,"7,734,791,215.15",217951
"21-Mar-2022","EQ","1,487.00","1,493.65","1,472.80","1,480.05","1,487.40","1,486.50","1,484.44","1,725.00","1,292.00",6128938,"9,098,011,072.35",204348
"17-Mar-2022","EQ","1,472.00","1,489.80","1,470.55","1,448.15","1,477.95","1,480.05","1,482.21","1,725.00","1,292.00",7411977,"10,986,072,825.80",237930
"16-Mar-2022","EQ","1,447.00","1,455.00","1,436.20","1,424.00","1,445.95","1,448.15","1,446.50","1,725.00","1,292.00",6682054,"9,665,623,348.95",223791
"15-Mar-2022","EQ","1,443.50","1,449.50","1,411.75","1,442.55","1,422.00","1,424.00","1,435.02","1,725.00","1,292.00",9433964,"13,537,948,637.95",277249
"14-Mar-2022","EQ","1,415.00","1,450.00","1,415.00","1,396.80","1,442.25","1,442.55","1,433.68","1,725.00","1,292.00",12509063,"17,933,940,554.75",344549
"11-Mar-2022","EQ","1,388.00","1,408.95","1,372.70","1,392.70","1,396.00","1,396.80","1,396.47","1,725.00","1,292.00",7575390,"10,578,797,843.20",204283
"10-Mar-2022","EQ","1,427.00","1,427.00","1,380.25","1,371.15","1,388.90","1,392.70","1,404.82","1,725.00","1,292.00",11136603,"15,644,870,615.70",277256
"09-Mar-2022","EQ","1,330.00","1,374.70","1,318.85","1,327.80","1,371.05","1,371.15","1,347.62","1,725.00","1,292.00",11567347,"15,588,358,448.15",330592
"08-Mar-2022","EQ","1,302.20","1,334.00","1,292.00","1,324.80","1,333.00","1,327.80","1,305.18","1,725.00","1,292.00",19606246,"25,589,677,980.15",527016
"07-Mar-2022","EQ","1,318.50","1,332.35","1,297.05","1,366.50","1,326.00","1,324.80","1,314.70","1,725.00","1,297.05",13527229,"17,784,238,071.95",426139
"04-Mar-2022","EQ","1,360.00","1,386.00","1,336.90","1,371.00","1,364.95","1,366.50","1,359.66","1,725.00","1,336.90",10609682,"14,425,584,670.80",351310
"03-Mar-2022","EQ","1,381.00","1,392.00","1,362.90","1,374.25","1,373.35","1,371.00","1,377.34","1,725.00","1,353.00",8763961,"12,070,939,839.35",355777
"02-Mar-2022","EQ","1,386.50","1,398.40","1,354.40","1,426.25","1,378.55","1,374.25","1,372.96","1,725.00","1,353.00",19252780,"26,433,316,653.60",590118
"28-Feb-2022","EQ","1,426.00","1,438.55","1,414.05","1,456.10","1,428.80","1,426.25","1,424.95","1,725.00","1,353.00",12440416,"17,726,991,025.25",337515
"25-Feb-2022","EQ","1,439.95","1,465.90","1,432.85","1,419.40","1,456.30","1,456.10","1,454.62","1,725.00","1,353.00",9159327,"13,323,309,790.05",204609
"24-Feb-2022","EQ","1,449.90","1,474.95","1,407.15","1,500.90","1,410.20","1,419.40","1,448.27","1,725.00","1,353.00",11815383,"17,111,812,498.00",364952
"23-Feb-2022","EQ","1,525.10","1,525.70","1,495.65","1,510.70","1,500.00","1,500.90","1,511.14","1,725.00","1,353.00",4514781,"6,822,487,865.95",182373
"22-Feb-2022","EQ","1,489.80","1,522.10","1,487.95","1,522.10","1,508.00","1,510.70","1,508.83","1,725.00","1,353.00",4768098,"7,194,245,650.20",238977
"21-Feb-2022","EQ","1,504.00","1,530.70","1,495.55","1,512.35","1,523.45","1,522.10","1,518.53","1,725.00","1,353.00",3734033,"5,670,227,018.00",148113
"18-Feb-2022","EQ","1,498.30","1,517.00","1,490.45","1,506.50","1,511.00","1,512.35","1,505.99","1,725.00","1,353.00",3898064,"5,870,462,943.20",135186
"17-Feb-2022","EQ","1,513.10","1,522.00","1,502.00","1,515.75","1,504.45","1,506.50","1,511.79","1,725.00","1,353.00",3675604,"5,556,743,520.45",124317
"16-Feb-2022","EQ","1,534.35","1,534.75","1,507.00","1,517.80","1,512.50","1,515.75","1,521.07","1,725.00","1,353.00",5016132,"7,629,865,425.35",142489
"15-Feb-2022","EQ","1,476.00","1,524.90","1,473.05","1,473.70","1,519.45","1,517.80","1,499.93","1,725.00","1,353.00",6567533,"9,850,825,873.15",213639
"14-Feb-2022","EQ","1,490.00","1,499.45","1,469.30","1,518.85","1,472.00","1,473.70","1,479.38","1,725.00","1,353.00",7328310,"10,841,372,315.75",228169
"11-Feb-2022","EQ","1,500.25","1,525.00","1,499.50","1,525.10","1,516.00","1,518.85","1,514.35","1,725.00","1,353.00",5355552,"8,110,162,062.90",143617
"10-Feb-2022","EQ","1,514.00","1,535.50","1,501.65","1,497.60","1,523.60","1,525.10","1,523.34","1,725.00","1,353.00",7157265,"10,902,940,455.85",213562
"09-Feb-2022","EQ","1,474.00","1,499.70","1,467.00","1,461.85","1,498.40","1,497.60","1,487.26","1,725.00","1,353.00",5654171,"8,409,211,754.95",152404
"08-Feb-2022","EQ","1,476.40","1,478.45","1,444.55","1,468.15","1,458.00","1,461.85","1,459.69","1,725.00","1,353.00",6990565,"10,204,065,680.95",217552
"07-Feb-2022","EQ","1,512.10","1,519.00","1,460.00","1,524.00","1,471.05","1,468.15","1,478.57","1,725.00","1,353.00",6134021,"9,069,579,092.75",263901
"04-Feb-2022","EQ","1,528.40","1,532.85","1,514.10","1,515.35","1,521.10","1,524.00","1,523.56","1,725.00","1,353.00",5789979,"8,821,362,879.95",168452
"03-Feb-2022","EQ","1,528.75","1,539.95","1,509.00","1,531.20","1,510.40","1,515.35","1,527.81","1,725.00","1,353.00",5282381,"8,070,475,923.25",280078
"02-Feb-2022","EQ","1,511.95","1,535.00","1,505.60","1,497.00","1,535.00","1,531.20","1,526.26","1,725.00","1,353.00",6984645,"10,660,387,041.25",182857
"01-Feb-2022","EQ","1,508.50","1,517.00","1,473.45","1,485.70","1,500.00","1,497.00","1,500.43","1,725.00","1,353.00",7369742,"11,057,783,148.00",209907
