"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","725.00","738.30","723.10","730.30","736.00","736.25","732.49","867.00","531.15",12658848,"9,272,488,843.50",227312
"31-Mar-2022","EQ","739.90","739.90","727.80","730.90","730.70","730.30","732.05","867.00","531.15",16046383,"11,746,834,413.35",215611
"30-Mar-2022","EQ","721.05","731.75","719.10","715.30","729.45","730.90","727.15","867.00","531.15",20154520,"14,655,314,533.20",441930
"29-Mar-2022","EQ","714.30","716.95","705.85","710.35","715.65","715.30","712.64","867.00","531.15",11489374,"8,187,779,164.40",262014
"28-Mar-2022","EQ","702.00","713.40","695.65","699.25","710.50","710.35","705.39","867.00","531.15",13806166,"9,738,669,255.85",240223
"25-Mar-2022","EQ","705.00","706.10","696.65","704.20","701.55","699.25","700.66","867.00","531.15",15263007,"10,694,150,314.20",229582
"24-Mar-2022","EQ","702.45","712.70","698.00","718.30","704.25","704.20","705.87","867.00","531.15",17727969,"12,513,564,218.40",267821
"23-Mar-2022","EQ","725.00","726.80","714.25","718.20","716.65","718.30","720.32","867.00","531.15",7140403,"5,143,376,628.80",113577
"22-Mar-2022","EQ","708.65","721.00","699.50","710.75","720.85","718.20","710.64","867.00","531.15",11761758,"8,358,321,103.95",224938
"21-Mar-2022","EQ","721.00","722.90","705.50","720.10","712.00","710.75","712.37","867.00","531.15",12866839,"9,165,920,656.90",227837
"17-Mar-2022","EQ","717.80","725.00","716.20","708.00","719.45","720.10","720.50","867.00","531.15",18329844,"13,206,739,944.50",201059
"16-Mar-2022","EQ","706.90","711.40","701.25","697.35","706.60","708.00","706.68","867.00","531.15",14621688,"10,332,920,737.30",227926
"15-Mar-2022","EQ","701.50","708.10","688.00","696.15","694.95","697.35","699.51","867.00","531.15",27714580,"19,386,668,042.95",392031
"14-Mar-2022","EQ","678.10","698.45","677.25","677.90","697.50","696.15","691.15","867.00","531.15",24648981,"17,036,263,738.70",294081
"11-Mar-2022","EQ","674.65","684.70","670.60","676.60","678.00","677.90","677.53","867.00","531.15",20546724,"13,921,089,798.65",258581
"10-Mar-2022","EQ","693.95","701.00","673.65","667.45","675.50","676.60","689.69","867.00","531.15",35959638,"24,801,024,786.35",410463
"09-Mar-2022","EQ","664.70","674.50","658.00","665.00","670.00","667.45","665.91","867.00","531.15",33728639,"22,460,304,690.60",350200
"08-Mar-2022","EQ","643.30","669.45","643.00","653.75","664.00","665.00","654.86","867.00","531.15",26716975,"17,495,827,759.85",436225
"07-Mar-2022","EQ","663.50","667.00","642.15","688.05","654.50","653.75","653.29","867.00","531.15",27799873,"18,161,314,302.85",487777
"04-Mar-2022","EQ","691.00","706.55","685.00","698.30","688.00","688.05","693.72","867.00","531.15",18697223,"12,970,601,369.60",326057
"03-Mar-2022","EQ","717.60","721.95","693.45","714.85","699.65","698.30","705.85","867.00","531.15",23190595,"16,369,189,921.85",444480
"02-Mar-2022","EQ","717.00","724.95","707.75","742.70","717.50","714.85","713.82","867.00","531.15",25252492,"18,025,808,291.30",450140
"28-Feb-2022","EQ","722.95","744.75","715.40","730.05","741.70","742.70","734.66","867.00","531.15",20547432,"15,095,290,265.85",204063
"25-Feb-2022","EQ","724.95","739.30","720.25","707.40","731.80","730.05","731.90","867.00","531.15",16935750,"12,395,343,765.70",258610
"24-Feb-2022","EQ","712.90","727.10","702.30","744.60","706.00","707.40","717.06","867.00","531.15",28023104,"20,094,236,747.75",378036
"23-Feb-2022","EQ","754.60","756.40","742.70","751.30","744.50","744.60","748.37","867.00","531.15",11624282,"8,699,303,346.60",225116
"22-Feb-2022","EQ","738.40","759.75","737.75","754.45","750.25","751.30","748.94","867.00","531.15",13156371,"9,853,383,430.50",203813
"21-Feb-2022","EQ","746.25","762.90","740.00","748.90","754.05","754.45","754.67","867.00","531.15",10967164,"8,276,543,734.40",164619
"18-Feb-2022","EQ","746.85","756.80","745.55","750.35","747.95","748.90","751.25","867.00","531.15",8945567,"6,720,317,163.35",160575
"17-Feb-2022","EQ","766.50","767.25","746.30","764.05","747.60","750.35","755.04","867.00","531.15",16683808,"12,596,960,313.50",206647
"16-Feb-2022","EQ","775.70","777.55","760.40","776.05","762.60","764.05","769.64","867.00","531.15",10549784,"8,119,582,235.00",184247
"15-Feb-2022","EQ","752.95","778.00","743.20","753.70","775.00","776.05","759.35","867.00","531.15",18880659,"14,337,091,356.50",290494
"14-Feb-2022","EQ","772.00","773.95","751.15","790.80","752.50","753.70","760.87","867.00","531.15",16170656,"12,303,770,681.05",364618
"11-Feb-2022","EQ","796.85","797.40","787.90","805.50","789.50","790.80","792.81","867.00","531.15",13138408,"10,416,294,335.75",206865
"10-Feb-2022","EQ","805.95","808.80","796.30","802.80","804.45","805.50","804.24","867.00","531.15",13159771,"10,583,671,275.75",248496
"09-Feb-2022","EQ","797.25","804.25","794.20","792.50","803.00","802.80","799.57","867.00","531.15",8855292,"7,080,458,432.50",194125
"08-Feb-2022","EQ","790.00","795.70","774.30","786.40","790.00","792.50","784.25","867.00","531.15",14642455,"11,483,335,931.30",296476
"07-Feb-2022","EQ","798.05","805.00","781.45","805.05","785.20","786.40","790.77","867.00","531.15",14659368,"11,592,237,165.85",332005
"04-Feb-2022","EQ","809.80","812.00","795.80","808.95","803.50","805.05","803.51","867.00","531.15",10314067,"8,287,450,807.00",233121
"03-Feb-2022","EQ","814.05","818.40","806.00","813.75","807.00","808.95","811.39","867.00","531.15",9755335,"7,915,363,352.70",225774
"02-Feb-2022","EQ","815.00","818.70","808.85","810.30","815.70","813.75","813.88","867.00","531.15",11214375,"9,127,153,471.45",262592
"01-Feb-2022","EQ","802.05","812.85","789.30","788.80","811.30","810.30","807.03","867.00","531.15",20031583,"16,166,004,973.85",298272
"31-Jan-2022","EQ","788.95","798.70","784.00","781.15","789.00","788.80","791.23","867.00","531.15",14824509,"11,729,532,549.20",307444
"28-Jan-2022","EQ","803.75","805.85","778.50","794.65","782.00","781.15","792.77","867.00","512.00",14072314,"11,156,041,081.65",250672
"27-Jan-2022","EQ","786.90","801.50","781.05","801.65","797.50","794.65","790.93","867.00","512.00",23984679,"18,970,171,408.70",345466
"25-Jan-2022","EQ","789.00","804.30","786.05","798.45","800.50","801.65","798.31","867.00","512.00",19513184,"15,577,635,109.65",330519
"24-Jan-2022","EQ","813.00","816.70","783.30","804.50","792.00","798.45","803.26","867.00","512.00",29612316,"23,786,340,972.40",424239
"21-Jan-2022","EQ","803.00","811.35","795.50","810.25","810.65","804.50","802.84","867.00","512.00",12078277,"9,696,933,532.80",218577
"20-Jan-2022","EQ","803.00","812.95","795.40","808.60","811.60","810.25","806.12","867.00","512.00",13567654,"10,937,112,632.00",177566
"19-Jan-2022","EQ","816.00","821.00","803.25","823.10","809.80","808.60","811.33","867.00","512.00",16416144,"13,318,915,834.85",224243
"18-Jan-2022","EQ","821.00","836.00","818.20","819.30","823.00","823.10","827.77","867.00","512.00",10835146,"8,968,989,845.80",208473
"17-Jan-2022","EQ","820.00","828.90","814.55","820.00","820.30","819.30","820.82","867.00","512.00",6722700,"5,518,147,261.30",156099
"14-Jan-2022","EQ","821.00","822.00","811.60","824.70","818.35","820.00","816.95","867.00","512.00",7552844,"6,170,324,363.20",137003
"13-Jan-2022","EQ","821.00","828.00","817.40","823.75","824.00","824.70","824.04","867.00","512.00",9372244,"7,723,100,104.05",210731
"12-Jan-2022","EQ","818.60","825.45","812.05","810.65","823.30","823.75","821.46","867.00","512.00",13034848,"10,707,618,220.85",197467
"11-Jan-2022","EQ","809.75","814.70","801.90","810.75","810.00","810.65","808.90","867.00","512.00",9982061,"8,074,488,825.20",196523
"10-Jan-2022","EQ","800.25","812.80","799.00","793.25","809.55","810.75","805.84","867.00","512.00",10905080,"8,787,751,845.50",207026
"07-Jan-2022","EQ","792.20","802.30","786.25","785.05","794.50","793.25","795.26","867.00","512.00",12250210,"9,742,137,042.85",191092
"06-Jan-2022","EQ","775.05","792.50","774.00","788.05","786.80","785.05","781.94","867.00","512.00",13018067,"10,179,410,575.90",216014
"05-Jan-2022","EQ","773.00","795.85","771.20","772.85","787.00","788.05","786.85","867.00","512.00",19741360,"15,533,584,419.45",328782
"04-Jan-2022","EQ","767.95","778.00","763.60","764.70","773.45","772.85","772.69","867.00","512.00",12114437,"9,360,694,598.65",249942
"03-Jan-2022","EQ","743.05","766.00","743.00","740.15","765.50","764.70","756.87","867.00","512.00",9653095,"7,306,129,276.45",245297
"31-Dec-2021","EQ","736.55","746.25","736.55","735.70","740.80","740.15","741.65","867.00","512.00",6973055,"5,171,551,586.05",170712
"30-Dec-2021","EQ","733.30","740.50","729.00","735.70","736.00","735.70","736.01","867.00","512.00",14326182,"10,544,252,583.85",173530
"29-Dec-2021","EQ","738.00","744.95","731.90","735.80","732.85","735.70","739.52","867.00","512.00",7143073,"5,282,469,404.85",119283
"28-Dec-2021","EQ","740.40","742.45","732.50","736.00","736.50","735.80","737.61","867.00","512.00",17833655,"13,154,200,658.05",149087
"27-Dec-2021","EQ","724.00","738.75","716.10","727.10","736.50","736.00","730.51","867.00","512.00",7955163,"5,811,333,268.75",157237
"24-Dec-2021","EQ","733.90","733.90","719.60","731.30","728.00","727.10","725.74","867.00","488.20",8800690,"6,387,037,609.75",201257
"23-Dec-2021","EQ","739.05","739.50","727.95","732.80","728.80","731.30","734.17","867.00","488.20",9994049,"7,337,357,874.40",173446
"22-Dec-2021","EQ","726.25","734.95","720.05","720.35","733.70","732.80","727.56","867.00","488.20",9843359,"7,161,672,551.70",152755
"21-Dec-2021","EQ","720.00","728.95","716.15","709.95","721.00","720.35","723.36","867.00","488.20",14563335,"10,534,552,281.40",190336
"20-Dec-2021","EQ","718.10","720.20","698.20","728.30","710.00","709.95","708.41","867.00","488.20",16900016,"11,972,204,502.90",377207
"17-Dec-2021","EQ","742.00","742.00","726.05","741.15","729.20","728.30","731.28","867.00","488.20",13227787,"9,673,196,333.25",202468
"16-Dec-2021","EQ","757.90","757.90","738.95","752.25","741.95","741.15","746.16","867.00","488.20",14123215,"10,538,128,058.50",209571
"15-Dec-2021","EQ","757.60","759.50","750.90","758.65","751.55","752.25","755.20","867.00","488.20",7358740,"5,557,341,088.65",145351
"14-Dec-2021","EQ","751.05","764.35","746.30","754.00","757.80","758.65","756.34","867.00","488.20",17488089,"13,227,025,251.80",236748
"13-Dec-2021","EQ","763.00","769.70","752.50","758.00","754.85","754.00","761.71","867.00","488.20",16855546,"12,838,969,674.65",229658
"10-Dec-2021","EQ","756.50","759.80","751.05","755.00","757.35","758.00","755.25","867.00","488.20",7627774,"5,760,908,575.50",117956
"09-Dec-2021","EQ","759.05","763.00","748.40","753.40","754.30","755.00","755.98","867.00","488.20",16007459,"12,101,308,616.85",220895
"08-Dec-2021","EQ","747.90","758.80","744.10","734.65","753.55","753.40","751.77","867.00","488.20",33432411,"25,133,481,383.80",362183
"07-Dec-2021","EQ","717.00","740.95","712.00","709.55","734.15","734.65","730.19","867.00","488.20",30513303,"22,280,542,268.70",379455
"06-Dec-2021","EQ","719.00","726.80","707.50","716.30","708.95","709.55","717.87","867.00","488.20",20129080,"14,450,100,739.90",350214
