"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,886.85","1,910.30","1,878.30","1,906.85","1,906.80","1,903.55","1,894.62","1,953.90","1,311.30",6171518,"11,692,698,941.50",154230
"31-Mar-2022","EQ","1,900.00","1,913.00","1,894.20","1,903.95","1,908.20","1,906.85","1,904.15","1,953.90","1,311.30",5399145,"10,280,780,471.25",131746
"30-Mar-2022","EQ","1,910.00","1,919.00","1,895.00","1,886.00","1,899.75","1,903.95","1,906.67","1,953.90","1,311.30",7795839,"14,864,126,250.15",178770
"29-Mar-2022","EQ","1,873.90","1,889.40","1,860.55","1,873.90","1,887.90","1,886.00","1,875.61","1,953.90","1,311.30",3917785,"7,348,234,593.90",115629
"28-Mar-2022","EQ","1,866.00","1,880.90","1,852.65","1,876.55","1,870.65","1,873.90","1,867.81","1,953.90","1,311.30",4008555,"7,487,212,706.70",131939
"25-Mar-2022","EQ","1,892.00","1,894.00","1,858.00","1,886.70","1,878.00","1,876.55","1,874.13","1,953.90","1,311.30",3438588,"6,444,362,804.25",130194
"24-Mar-2022","EQ","1,856.15","1,894.60","1,856.15","1,872.40","1,881.85","1,886.70","1,883.95","1,953.90","1,311.30",3784303,"7,129,425,933.50",114815
"23-Mar-2022","EQ","1,897.00","1,900.00","1,857.00","1,887.40","1,869.45","1,872.40","1,878.22","1,953.90","1,311.30",6192824,"11,631,503,049.55",161491
"22-Mar-2022","EQ","1,850.00","1,890.00","1,839.00","1,853.05","1,887.00","1,887.40","1,873.62","1,953.90","1,311.30",5709382,"10,697,206,780.60",202175
"21-Mar-2022","EQ","1,861.00","1,886.90","1,841.10","1,854.60","1,854.95","1,853.05","1,858.70","1,953.90","1,311.30",8362085,"15,542,599,265.70",171756
"17-Mar-2022","EQ","1,923.30","1,923.30","1,833.05","1,889.40","1,869.60","1,854.60","1,869.74","1,953.90","1,311.30",17731459,"33,153,300,056.80",251465
"16-Mar-2022","EQ","1,865.00","1,893.95","1,849.00","1,839.30","1,889.00","1,889.40","1,874.83","1,953.90","1,311.30",5233979,"9,812,820,161.45",154465
"15-Mar-2022","EQ","1,888.35","1,888.35","1,830.00","1,890.70","1,838.00","1,839.30","1,852.89","1,953.90","1,311.30",7140443,"13,230,484,534.10",224849
"14-Mar-2022","EQ","1,831.55","1,895.00","1,831.55","1,822.00","1,891.00","1,890.70","1,872.10","1,953.90","1,311.30",10289724,"19,263,377,771.20",271878
"11-Mar-2022","EQ","1,814.00","1,831.40","1,811.00","1,825.90","1,823.30","1,822.00","1,822.73","1,953.90","1,311.30",4758657,"8,673,758,339.50",148439
"10-Mar-2022","EQ","1,844.75","1,844.75","1,810.20","1,813.35","1,822.10","1,825.90","1,823.68","1,953.90","1,311.30",6547182,"11,939,977,607.05",195637
"09-Mar-2022","EQ","1,791.00","1,831.60","1,791.00","1,778.20","1,817.80","1,813.35","1,818.64","1,953.90","1,311.30",10193515,"18,538,320,340.55",290276
"08-Mar-2022","EQ","1,718.45","1,800.00","1,718.45","1,739.85","1,775.20","1,778.20","1,771.93","1,953.90","1,311.30",10984500,"19,463,755,936.50",320286
"07-Mar-2022","EQ","1,697.00","1,751.00","1,696.00","1,723.30","1,740.00","1,739.85","1,734.13","1,953.90","1,311.30",9742588,"16,894,926,797.50",317768
"04-Mar-2022","EQ","1,695.25","1,736.00","1,681.00","1,720.85","1,721.90","1,723.30","1,714.49","1,953.90","1,259.00",9074499,"15,558,102,517.75",317226
