"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","119.10","122.45","119.00","118.95","121.95","122.10","120.88","141.50","86.75",10701784,"1,293,665,756.30",54299
"31-Mar-2022","EQ","118.00","120.95","118.00","117.20","119.30","118.95","119.56","141.50","86.75",21134412,"2,526,847,729.00",89044
"30-Mar-2022","EQ","119.70","119.70","116.10","118.30","118.00","117.20","117.24","141.50","86.75",106426898,"12,477,430,404.60",134959
"29-Mar-2022","EQ","120.30","121.30","118.00","119.95","118.60","118.30","119.39","141.50","86.75",9751383,"1,164,249,633.25",62540
"28-Mar-2022","EQ","119.40","120.70","117.70","118.80","119.80","119.95","119.38","141.50","86.75",10228584,"1,221,094,612.40",57928
"25-Mar-2022","EQ","120.05","120.85","118.60","120.60","118.85","118.80","119.31","141.50","86.75",8158981,"973,445,890.00",55234
"24-Mar-2022","EQ","121.80","122.15","120.35","121.70","120.45","120.60","121.17","141.50","86.75",8251754,"999,836,695.50",51573
"23-Mar-2022","EQ","121.85","123.00","120.65","120.65","121.50","121.70","121.41","141.50","86.75",16847442,"2,045,446,522.45",74770
"22-Mar-2022","EQ","119.00","121.85","118.50","118.00","120.55","120.65","120.25","141.50","86.75",20619526,"2,479,467,944.90",137739
"21-Mar-2022","EQ","121.80","121.80","117.80","121.35","118.00","118.00","119.14","141.50","86.75",12111014,"1,442,942,697.75",79471
"17-Mar-2022","EQ","122.40","122.90","120.10","121.95","121.35","121.35","121.09","141.50","86.75",27800074,"3,366,403,239.60",89691
"16-Mar-2022","EQ","120.30","122.60","119.45","119.00","121.80","121.95","120.58","141.50","86.75",10117835,"1,220,001,987.20",62101
"15-Mar-2022","EQ","120.80","121.05","118.20","120.80","119.00","119.00","119.47","141.50","86.75",11001228,"1,314,345,005.20",68540
"14-Mar-2022","EQ","124.85","124.85","120.05","123.70","120.50","120.80","121.18","141.50","86.75",14878543,"1,802,944,625.80",92848
"11-Mar-2022","EQ","120.80","124.40","120.40","120.95","123.60","123.70","122.28","141.50","86.75",12398829,"1,516,098,018.35",78003
"10-Mar-2022","EQ","119.05","121.40","117.70","116.95","120.80","120.95","120.31","141.50","86.75",18394923,"2,213,044,833.05",106391
"09-Mar-2022","EQ","118.90","118.90","115.80","117.05","117.10","116.95","116.83","141.50","86.75",15650703,"1,828,494,673.40",100110
"08-Mar-2022","EQ","112.00","117.75","111.60","112.25","117.00","117.05","114.49","141.50","86.75",22322573,"2,555,700,287.95",129741
"07-Mar-2022","EQ","113.95","113.95","111.20","113.25","112.50","112.25","112.47","141.50","86.75",16928369,"1,904,002,417.30",134556
"04-Mar-2022","EQ","114.95","115.40","112.80","114.65","113.30","113.25","113.50","141.50","86.75",16670574,"1,892,145,644.15",99814
"03-Mar-2022","EQ","115.00","116.50","113.00","112.25","114.90","114.65","114.88","141.50","86.75",18861056,"2,166,829,164.15",144090
"02-Mar-2022","EQ","113.75","116.40","111.45","115.00","112.40","112.25","113.50","141.50","86.75",14926831,"1,694,174,061.45",102730
"28-Feb-2022","EQ","112.80","116.20","110.60","112.35","115.05","115.00","113.36","141.50","86.75",16521199,"1,872,906,045.70",88091
"25-Feb-2022","EQ","113.00","118.50","111.00","110.00","112.40","112.35","112.60","141.50","86.75",18699142,"2,105,488,033.25",119965
