"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,749.30","1,780.00","1,745.60","1,753.85","1,780.00","1,776.65","1,773.67","2,253.00","1,626.00",2373773,"4,210,290,912.15",63927
"31-Mar-2022","EQ","1,755.10","1,778.75","1,747.00","1,763.10","1,753.00","1,753.85","1,761.76","2,253.00","1,626.00",2848408,"5,018,207,887.90",118518
"30-Mar-2022","EQ","1,749.40","1,768.85","1,736.00","1,730.00","1,758.25","1,763.10","1,753.54","2,253.00","1,626.00",3358154,"5,888,645,882.95",114309
"29-Mar-2022","EQ","1,738.00","1,740.90","1,718.75","1,725.20","1,735.00","1,730.00","1,731.66","2,253.00","1,626.00",2585790,"4,477,721,306.30",104347
"28-Mar-2022","EQ","1,728.00","1,728.00","1,692.05","1,722.25","1,727.00","1,725.20","1,710.71","2,253.00","1,626.00",3070204,"5,252,241,455.70",108558
"25-Mar-2022","EQ","1,728.00","1,731.80","1,712.00","1,714.15","1,725.65","1,722.25","1,723.04","2,253.00","1,626.00",3039150,"5,236,564,197.05",98475
"24-Mar-2022","EQ","1,715.00","1,728.90","1,701.00","1,769.75","1,714.95","1,714.15","1,712.21","2,253.00","1,626.00",19710178,"33,747,889,226.70",345364
"23-Mar-2022","EQ","1,815.00","1,827.25","1,758.00","1,807.85","1,760.75","1,769.75","1,790.54","2,253.00","1,626.00",3226340,"5,776,896,408.85",90295
"22-Mar-2022","EQ","1,777.10","1,813.60","1,755.35","1,777.10","1,805.45","1,807.85","1,778.54","2,253.00","1,626.00",3397456,"6,042,513,343.40",117818
"21-Mar-2022","EQ","1,815.65","1,830.00","1,773.00","1,820.00","1,779.05","1,777.10","1,786.61","2,253.00","1,626.00",2397699,"4,283,759,575.65",90139
"17-Mar-2022","EQ","1,790.00","1,827.60","1,782.55","1,760.50","1,819.00","1,820.00","1,814.76","2,253.00","1,626.00",3359007,"6,095,794,581.90",114249
"16-Mar-2022","EQ","1,760.00","1,774.80","1,752.75","1,733.75","1,758.00","1,760.50","1,763.79","2,253.00","1,626.00",2927241,"5,163,026,645.55",86273
"15-Mar-2022","EQ","1,784.00","1,789.95","1,714.00","1,788.75","1,731.50","1,733.75","1,748.01","2,253.00","1,626.00",4807455,"8,403,478,311.95",163720
"14-Mar-2022","EQ","1,745.45","1,797.35","1,742.00","1,763.00","1,790.70","1,788.75","1,768.54","2,253.00","1,626.00",3316649,"5,865,624,770.40",80515
"11-Mar-2022","EQ","1,745.00","1,779.90","1,736.00","1,754.35","1,761.15","1,763.00","1,761.78","2,253.00","1,626.00",2506340,"4,415,617,349.70",88587
"10-Mar-2022","EQ","1,800.00","1,813.00","1,736.00","1,739.10","1,749.00","1,754.35","1,774.88","2,253.00","1,626.00",4188469,"7,434,024,650.60",131545
"09-Mar-2022","EQ","1,723.10","1,748.15","1,692.00","1,723.10","1,748.00","1,739.10","1,712.61","2,253.00","1,626.00",6919461,"11,850,362,302.05",155077
"08-Mar-2022","EQ","1,700.00","1,729.50","1,672.55","1,711.90","1,724.70","1,723.10","1,698.66","2,253.00","1,626.00",5436496,"9,234,773,899.45",215043
"07-Mar-2022","EQ","1,693.50","1,730.90","1,680.05","1,752.15","1,717.60","1,711.90","1,704.80","2,253.00","1,626.00",2697935,"4,599,436,524.45",146396
"04-Mar-2022","EQ","1,770.00","1,785.95","1,733.70","1,792.25","1,750.00","1,752.15","1,758.11","2,253.00","1,626.00",2549194,"4,481,765,712.95",131680
"03-Mar-2022","EQ","1,812.95","1,819.60","1,772.60","1,806.00","1,792.00","1,792.25","1,792.05","2,253.00","1,626.00",2962143,"5,308,299,465.30",132365
"02-Mar-2022","EQ","1,811.80","1,819.35","1,775.30","1,842.75","1,808.95","1,806.00","1,793.63","2,253.00","1,626.00",2830955,"5,077,680,252.45",143885
"28-Feb-2022","EQ","1,837.00","1,852.00","1,814.70","1,856.70","1,841.00","1,842.75","1,837.71","2,253.00","1,626.00",2712562,"4,984,893,509.50",123941
