"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","163.90","168.25","163.55","163.90","167.70","167.95","165.79","194.95","97.45",28335224,"4,697,596,343.80",114506
"31-Mar-2022","EQ","161.85","165.25","161.15","162.00","163.75","163.90","163.55","194.95","97.45",33523683,"5,482,689,591.20",113995
"30-Mar-2022","EQ","163.00","164.85","161.15","171.00","161.80","162.00","162.60","194.95","97.45",95239532,"15,486,302,818.55",199739
"29-Mar-2022","EQ","174.95","175.20","170.55","176.35","171.00","171.00","171.99","194.95","97.45",14210783,"2,444,152,995.30",115704
"28-Mar-2022","EQ","175.50","177.90","174.65","175.80","175.50","176.35","176.39","194.95","97.45",15253027,"2,690,456,279.95",65255
"25-Mar-2022","EQ","178.50","179.25","175.10","177.45","175.50","175.80","177.00","194.95","97.45",13608989,"2,408,796,337.85",81942
"24-Mar-2022","EQ","178.90","180.40","176.50","175.60","177.00","177.45","177.79","194.95","97.45",20332589,"3,615,001,987.15",87855
"23-Mar-2022","EQ","176.50","177.70","174.85","175.45","175.75","175.60","176.05","194.95","97.45",10994784,"1,935,685,831.20",65990
"22-Mar-2022","EQ","176.20","181.25","173.80","172.55","175.50","175.45","177.70","194.95","97.45",39742745,"7,062,273,832.60",195953
"21-Mar-2022","EQ","171.70","175.00","170.30","170.30","172.20","172.55","173.22","194.95","97.45",20614652,"3,570,775,881.90",127950
"17-Mar-2022","EQ","166.60","171.50","164.60","167.30","169.50","170.30","168.90","194.95","97.45",66314748,"11,200,412,874.10",149509
"16-Mar-2022","EQ","166.00","167.85","161.85","163.75","167.20","167.30","165.38","194.95","97.45",25545119,"4,224,551,408.05",113301
"15-Mar-2022","EQ","168.30","169.50","161.65","171.80","163.40","163.75","164.13","194.95","97.45",42333127,"6,948,111,278.95",187908
"14-Mar-2022","EQ","174.00","175.50","170.60","175.70","171.60","171.80","172.26","194.95","97.45",20214021,"3,481,982,573.05",116176
"11-Mar-2022","EQ","172.50","176.40","171.70","174.35","175.50","175.70","174.23","194.95","97.45",26187452,"4,562,620,044.40",129365
"10-Mar-2022","EQ","168.25","176.90","165.00","175.40","174.40","174.35","172.52","194.95","97.45",62112814,"10,715,620,112.10",288919
"09-Mar-2022","EQ","183.00","183.80","173.85","179.10","174.60","175.40","177.98","194.95","97.45",51977091,"9,251,005,855.90",318688
"08-Mar-2022","EQ","190.00","194.95","177.80","186.95","178.70","179.10","183.28","194.95","97.45",73127816,"13,402,710,611.60",405372
