"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,499.00","1,502.65","1,475.45","1,499.45","1,489.00","1,487.10","1,487.32","1,838.00","937.00",2537230,"3,773,671,785.75",85446
"31-Mar-2022","EQ","1,496.30","1,509.60","1,487.20","1,496.30","1,500.00","1,499.45","1,500.82","1,838.00","937.00",2036984,"3,057,153,109.05",71167
"30-Mar-2022","EQ","1,534.30","1,534.30","1,485.00","1,522.35","1,494.85","1,496.30","1,495.77","1,838.00","937.00",3792481,"5,672,670,088.05",133600
"29-Mar-2022","EQ","1,537.00","1,539.55","1,519.10","1,524.45","1,523.50","1,522.35","1,525.27","1,838.00","937.00",2311150,"3,525,127,910.65",52532
"28-Mar-2022","EQ","1,534.00","1,538.95","1,516.55","1,530.55","1,525.40","1,524.45","1,524.36","1,838.00","937.00",1928306,"2,939,432,282.40",59033
"25-Mar-2022","EQ","1,571.00","1,574.95","1,522.40","1,568.55","1,533.50","1,530.55","1,544.17","1,838.00","937.00",1755511,"2,710,810,524.20",69625
"24-Mar-2022","EQ","1,530.15","1,571.95","1,530.15","1,542.15","1,562.35","1,568.55","1,558.79","1,838.00","937.00",2085571,"3,250,969,837.75",61356
"23-Mar-2022","EQ","1,550.00","1,561.70","1,529.20","1,538.20","1,540.50","1,542.15","1,546.62","1,838.00","937.00",3741783,"5,787,125,581.20",100084
"22-Mar-2022","EQ","1,486.90","1,543.95","1,475.05","1,479.80","1,541.75","1,538.20","1,513.32","1,838.00","937.00",3030660,"4,586,370,892.70",109226
"21-Mar-2022","EQ","1,495.00","1,520.00","1,476.20","1,493.50","1,480.95","1,479.80","1,497.61","1,838.00","937.00",2110200,"3,160,266,316.95",80191
"17-Mar-2022","EQ","1,505.00","1,509.95","1,487.00","1,489.90","1,496.50","1,493.50","1,498.22","1,838.00","937.00",2346185,"3,515,090,161.50",86957
"16-Mar-2022","EQ","1,475.20","1,494.50","1,468.40","1,458.60","1,488.40","1,489.90","1,481.23","1,838.00","937.00",1453944,"2,153,632,678.85",60694
"15-Mar-2022","EQ","1,514.00","1,515.00","1,448.00","1,503.00","1,455.95","1,458.60","1,479.87","1,838.00","937.00",2188506,"3,238,704,369.25",99677
"14-Mar-2022","EQ","1,487.00","1,508.90","1,487.00","1,486.80","1,502.95","1,503.00","1,500.90","1,838.00","937.00",1372791,"2,060,428,526.75",63996
"11-Mar-2022","EQ","1,476.00","1,491.85","1,472.50","1,485.35","1,488.00","1,486.80","1,484.98","1,838.00","937.00",1116432,"1,657,878,971.00",58999
"10-Mar-2022","EQ","1,525.00","1,525.95","1,474.50","1,504.75","1,482.85","1,485.35","1,494.38","1,838.00","937.00",2835942,"4,237,981,522.80",110879
"09-Mar-2022","EQ","1,461.95","1,511.00","1,461.95","1,461.95","1,505.80","1,504.75","1,500.35","1,838.00","937.00",3667977,"5,503,236,928.85",132068
"08-Mar-2022","EQ","1,420.00","1,466.90","1,420.00","1,424.10","1,465.00","1,461.95","1,455.67","1,838.00","937.00",2365949,"3,444,035,425.70",114210
