"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","6,603.00","6,688.85","6,565.05","6,602.30","6,656.05","6,670.55","6,631.60","8,269.00","5,629.20",216837,"1,437,975,615.75",28437
"31-Mar-2022","EQ","6,660.00","6,699.00","6,581.00","6,642.70","6,601.00","6,602.30","6,625.43","8,269.00","5,629.20",399272,"2,645,348,373.90",50637
"30-Mar-2022","EQ","6,542.50","6,668.80","6,542.50","6,526.60","6,640.00","6,642.70","6,632.73","8,269.00","5,629.20",705385,"4,678,625,332.90",59800
"29-Mar-2022","EQ","6,377.00","6,548.00","6,376.00","6,359.95","6,532.90","6,526.60","6,506.23","8,269.00","5,629.20",671879,"4,371,399,458.60",76222
"28-Mar-2022","EQ","6,345.00","6,394.95","6,245.05","6,312.70","6,357.30","6,359.95","6,326.38","8,269.00","5,629.20",325668,"2,060,298,211.60",35671
"25-Mar-2022","EQ","6,385.00","6,390.65","6,284.05","6,351.85","6,319.00","6,312.70","6,339.43","8,269.00","5,629.20",321023,"2,035,103,103.60",30055
"24-Mar-2022","EQ","6,202.00","6,379.55","6,200.00","6,234.00","6,344.40","6,351.85","6,318.87","8,269.00","5,629.20",642226,"4,058,145,225.75",49036
"23-Mar-2022","EQ","6,312.50","6,312.50","6,195.05","6,211.60","6,220.00","6,234.00","6,247.05","8,269.00","5,629.20",664235,"4,149,508,093.75",56102
"22-Mar-2022","EQ","6,160.00","6,225.85","6,059.10","6,191.25","6,220.00","6,211.60","6,140.07","8,269.00","5,629.20",1073804,"6,593,229,641.20",70235
"21-Mar-2022","EQ","6,370.00","6,370.00","6,176.05","6,373.60","6,188.80","6,191.25","6,263.26","8,269.00","5,629.20",531422,"3,328,434,069.20",54702
"17-Mar-2022","EQ","6,380.35","6,469.50","6,340.00","6,305.90","6,378.00","6,373.60","6,420.04","8,269.00","5,629.20",979987,"6,291,554,228.90",81715
"16-Mar-2022","EQ","6,130.00","6,317.20","6,080.00","6,021.25","6,300.00","6,305.90","6,214.45","8,269.00","5,629.20",888929,"5,524,207,633.35",79005
"15-Mar-2022","EQ","6,095.85","6,172.00","5,972.05","6,035.90","6,016.00","6,021.25","6,102.40","8,269.00","5,629.20",819263,"4,999,467,662.45",74279
"14-Mar-2022","EQ","6,050.00","6,067.90","5,956.05","6,021.00","6,052.00","6,035.90","6,022.66","8,269.00","5,629.20",466938,"2,812,211,093.10",38952
"11-Mar-2022","EQ","6,043.00","6,119.95","5,980.00","6,052.55","6,020.00","6,021.00","6,039.22","8,269.00","5,629.20",533023,"3,219,044,987.85",48219
"10-Mar-2022","EQ","6,202.00","6,261.20","6,004.55","6,017.35","6,038.00","6,052.55","6,145.33","8,269.00","5,629.20",967482,"5,945,491,587.85",124903
"09-Mar-2022","EQ","5,890.00","6,058.75","5,821.20","5,833.45","6,025.00","6,017.35","5,949.66","8,269.00","5,629.20",813790,"4,841,771,457.55",83641
"08-Mar-2022","EQ","5,631.00","5,875.00","5,629.20","5,698.10","5,839.00","5,833.45","5,739.79","8,269.00","5,629.20",955847,"5,486,364,517.30",112360
"07-Mar-2022","EQ","5,929.30","5,929.30","5,684.65","6,050.30","5,689.90","5,698.10","5,755.44","8,269.00","5,684.65",1280108,"7,367,579,213.40",143200
"04-Mar-2022","EQ","5,949.75","6,170.00","5,850.80","5,980.70","6,041.90","6,050.30","6,004.28","8,269.00","5,850.80",1336552,"8,025,037,810.40",134801
"03-Mar-2022","EQ","6,416.00","6,437.15","5,964.85","6,399.35","5,970.00","5,980.70","6,145.20","8,269.00","5,964.85",2406110,"14,786,028,648.05",209691
"02-Mar-2022","EQ","6,539.00","6,539.00","6,342.00","6,567.90","6,414.95","6,399.35","6,401.57","8,269.00","5,970.20",686927,"4,397,408,879.35",108727
"28-Feb-2022","EQ","6,538.00","6,602.00","6,440.15","6,570.25","6,570.00","6,567.90","6,560.96","8,269.00","5,970.20",557289,"3,656,351,350.15",55003
"25-Feb-2022","EQ","6,550.00","6,656.65","6,520.00","6,418.45","6,560.00","6,570.25","6,583.16","8,269.00","5,970.20",376464,"2,478,321,236.05",51046
