"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","770.50","783.50","770.50","769.60","781.55","781.55","777.48","864.70","581.30",1467955,"1,141,300,756.80",37305
"31-Mar-2022","EQ","778.55","778.95","765.00","776.15","768.05","769.60","769.92","864.70","581.30",1874608,"1,443,295,431.70",46039
"30-Mar-2022","EQ","782.00","785.50","774.00","782.00","775.80","776.15","779.20","864.70","581.30",1113587,"867,705,282.95",34066
"29-Mar-2022","EQ","781.50","790.40","779.05","780.75","781.10","782.00","783.71","864.70","581.30",1636109,"1,282,239,014.65",50572
"28-Mar-2022","EQ","795.05","797.95","778.00","798.55","780.00","780.75","783.70","864.70","581.30",2207764,"1,730,226,610.80",58656
"25-Mar-2022","EQ","807.00","814.50","791.60","799.10","793.00","798.55","805.24","864.70","581.00",4762541,"3,834,989,203.20",75224
"24-Mar-2022","EQ","795.00","801.85","789.05","793.95","796.10","799.10","796.43","864.70","581.00",2117672,"1,686,581,699.00",55789
"23-Mar-2022","EQ","780.50","796.40","780.00","780.95","794.80","793.95","787.49","864.70","581.00",2365083,"1,862,488,778.75",48785
"22-Mar-2022","EQ","775.00","787.00","771.05","775.90","780.10","780.95","779.99","864.70","581.00",2788207,"2,174,759,804.15",65476
"21-Mar-2022","EQ","770.00","777.75","760.00","761.60","775.00","775.90","772.31","864.70","581.00",3221656,"2,488,110,112.75",60155
"17-Mar-2022","EQ","759.00","764.50","754.55","752.45","762.50","761.60","759.89","864.70","581.00",2297497,"1,745,839,562.75",55775
"16-Mar-2022","EQ","749.95","756.65","743.90","741.00","750.50","752.45","750.06","864.70","581.00",2879590,"2,159,868,488.60",54470
"15-Mar-2022","EQ","730.00","746.00","728.55","730.75","739.15","741.00","739.61","864.70","581.00",4051465,"2,996,495,710.30",95313
"14-Mar-2022","EQ","728.00","733.55","720.10","725.45","730.10","730.75","729.36","864.70","581.00",2845328,"2,075,267,486.25",64175
"11-Mar-2022","EQ","723.85","729.00","716.20","724.20","724.40","725.45","722.92","864.70","581.00",2559363,"1,850,223,105.95",80043
"10-Mar-2022","EQ","731.55","742.40","720.00","725.20","721.00","724.20","731.48","864.70","581.00",4218131,"3,085,491,421.00",116618
"09-Mar-2022","EQ","732.50","734.80","712.70","724.20","725.00","725.20","722.69","864.70","581.00",2888800,"2,087,715,461.65",88482
"08-Mar-2022","EQ","730.40","740.95","707.60","731.90","725.05","724.20","722.29","864.70","581.00",4117923,"2,974,344,971.75",113466
"07-Mar-2022","EQ","710.05","735.00","685.75","713.75","730.35","731.90","719.12","864.70","581.00",6969575,"5,011,984,891.70",109935
"04-Mar-2022","EQ","712.00","735.90","704.80","713.75","713.55","713.75","724.01","864.70","570.00",10189495,"7,377,274,290.80",199689
"03-Mar-2022","EQ","707.90","724.60","688.95","689.55","720.35","713.75","701.22","864.70","570.00",9676442,"6,785,322,884.15",172477
"02-Mar-2022","EQ","663.65","697.00","659.50","665.45","689.75","689.55","684.64","864.70","570.00",8499711,"5,819,277,849.10",139116
"28-Feb-2022","EQ","651.00","668.95","644.10","654.70","665.60","665.45","657.36","864.70","570.00",3060915,"2,012,114,942.20",67782
"25-Feb-2022","EQ","656.20","663.85","644.65","632.30","654.00","654.70","654.14","864.70","514.05",3890925,"2,545,218,242.60",96168
"24-Feb-2022","EQ","673.00","674.75","622.00","688.00","631.00","632.30","647.08","864.70","514.05",5453651,"3,528,940,539.50",132743
"23-Feb-2022","EQ","700.05","702.65","684.85","693.35","686.35","688.00","694.04","864.70","514.05",2713053,"1,882,980,206.55",65754
"22-Feb-2022","EQ","689.00","695.70","676.25","704.15","695.20","693.35","685.37","864.70","514.05",2841052,"1,947,163,040.75",85340
"21-Feb-2022","EQ","724.90","724.90","701.85","724.95","704.35","704.15","707.67","864.70","514.05",2577455,"1,823,991,172.80",48304
"18-Feb-2022","EQ","728.00","736.20","719.00","727.05","725.00","724.95","727.82","864.70","514.05",1973922,"1,436,650,302.45",42634
"17-Feb-2022","EQ","737.00","742.70","725.75","735.80","726.50","727.05","731.66","864.70","514.05",1174134,"859,064,458.10",31361
"16-Feb-2022","EQ","750.00","750.00","732.30","744.70","734.95","735.80","742.07","864.70","514.05",1398493,"1,037,772,959.60",39638
"15-Feb-2022","EQ","725.10","746.95","716.15","721.70","745.55","744.70","729.54","864.70","514.05",1467359,"1,070,499,376.65",58514
"14-Feb-2022","EQ","744.30","749.05","716.00","753.20","716.00","721.70","736.50","864.70","514.05",1950243,"1,436,353,148.30",54288
"11-Feb-2022","EQ","765.85","766.95","750.00","770.10","751.35","753.20","756.76","864.70","514.05",1621795,"1,227,311,930.40",53454
"10-Feb-2022","EQ","775.00","778.95","767.95","770.50","769.10","770.10","772.69","864.70","514.05",2561635,"1,979,359,485.55",59463
"09-Feb-2022","EQ","764.50","772.45","760.00","758.65","772.00","770.50","767.47","864.70","514.05",1342782,"1,030,542,707.35",40319
"08-Feb-2022","EQ","757.00","763.95","744.10","756.60","758.00","758.65","755.08","864.70","514.05",2063533,"1,558,131,110.90",61970
"07-Feb-2022","EQ","764.20","774.90","750.25","767.20","756.95","756.60","761.12","864.70","514.05",1255955,"955,935,298.20",38720
"04-Feb-2022","EQ","773.60","776.80","765.00","773.50","766.15","767.20","770.62","864.70","510.00",992052,"764,496,160.15",38325
"03-Feb-2022","EQ","788.95","791.00","771.00","785.95","771.95","773.50","778.54","864.70","510.00",1493402,"1,162,670,543.75",49491
"02-Feb-2022","EQ","786.60","799.60","782.00","785.00","786.25","785.95","790.39","864.70","510.00",1771793,"1,400,400,253.40",56070
"01-Feb-2022","EQ","785.00","795.60","766.90","776.50","786.00","785.00","782.59","864.70","510.00",3693825,"2,890,763,366.50",80797
"31-Jan-2022","EQ","803.75","812.70","775.00","790.25","780.10","776.50","794.13","864.70","510.00",5138792,"4,080,893,326.50",118956
