"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","405.30","410.90","403.20","403.35","405.90","405.80","406.90","417.85","209.75",8522750,"3,467,936,223.00",55063
"31-Mar-2022","EQ","399.25","410.85","399.25","398.70","403.75","403.35","405.10","417.85","209.75",9571444,"3,877,419,450.15",68347
"30-Mar-2022","EQ","410.00","410.30","396.55","410.35","398.90","398.70","400.40","417.85","209.75",8216568,"3,289,873,491.90",81712
"29-Mar-2022","EQ","414.90","415.70","407.55","413.40","409.90","410.35","411.13","417.85","209.75",6273174,"2,579,113,516.10",52650
"28-Mar-2022","EQ","408.00","417.85","406.00","410.55","412.80","413.40","413.35","417.85","209.75",8658384,"3,578,920,163.60",73846
"25-Mar-2022","EQ","413.90","415.30","406.25","411.15","410.40","410.55","411.64","417.45","209.75",8213490,"3,381,035,202.95",64760
"24-Mar-2022","EQ","407.80","417.45","407.00","408.65","410.45","411.15","412.73","417.45","209.75",11816201,"4,876,903,966.25",87091
"23-Mar-2022","EQ","407.65","411.75","398.00","404.05","407.85","408.65","405.46","416.00","209.75",12118980,"4,913,771,874.65",103610
"22-Mar-2022","EQ","404.70","416.00","402.00","400.05","404.40","404.05","408.41","416.00","209.75",22136086,"9,040,580,110.80",185678
"21-Mar-2022","EQ","383.00","407.45","380.55","378.45","399.00","400.05","397.77","407.45","209.75",26819133,"10,667,741,645.55",219666
"17-Mar-2022","EQ","374.90","382.50","373.50","373.35","378.50","378.45","378.20","401.00","209.75",10989483,"4,156,193,165.00",83401
"16-Mar-2022","EQ","362.00","375.50","359.30","357.70","372.65","373.35","369.65","401.00","209.75",9118574,"3,370,688,482.60",74763
"15-Mar-2022","EQ","370.90","371.40","353.80","375.80","357.00","357.70","362.40","401.00","209.75",8197001,"2,970,615,231.75",76836
"14-Mar-2022","EQ","378.20","380.00","371.65","378.20","375.10","375.80","375.27","401.00","209.75",5116985,"1,920,237,385.95",49406
"11-Mar-2022","EQ","377.80","385.00","376.20","378.25","378.20","378.20","380.59","401.00","209.75",9045446,"3,442,585,746.95",84499
"10-Mar-2022","EQ","371.50","379.50","363.45","371.25","378.40","378.25","372.09","401.00","209.75",12346925,"4,594,214,543.25",95432
"09-Mar-2022","EQ","369.95","375.00","365.45","381.35","370.65","371.25","370.63","401.00","209.75",10587981,"3,924,274,821.80",96909
"08-Mar-2022","EQ","396.40","396.40","372.50","387.40","380.40","381.35","381.03","401.00","209.75",19093725,"7,275,220,470.00",161486
"07-Mar-2022","EQ","374.00","389.20","373.45","373.40","387.45","387.40","382.23","401.00","209.75",17901437,"6,842,480,009.75",132524
"04-Mar-2022","EQ","393.40","398.75","370.50","395.95","375.70","373.40","385.56","401.00","205.15",19180902,"7,395,469,583.30",153808
"03-Mar-2022","EQ","400.00","401.00","383.30","387.30","395.35","395.95","391.81","401.00","205.15",59451460,"23,293,567,426.55",242692
"02-Mar-2022","EQ","384.00","396.00","382.00","380.30","386.40","387.30","390.17","396.00","205.15",15610682,"6,090,840,769.20",149896
"28-Feb-2022","EQ","360.90","381.40","356.75","362.60","380.00","380.30","373.17","385.90","205.15",13822663,"5,158,171,603.85",104566
"25-Feb-2022","EQ","345.90","365.55","345.50","338.05","361.75","362.60","358.30","385.90","192.70",12293768,"4,404,824,809.35",91923
"24-Feb-2022","EQ","342.00","351.45","335.70","352.20","341.20","338.05","342.47","385.90","192.70",13040748,"4,466,050,943.90",107831
"23-Feb-2022","EQ","352.20","355.90","348.10","350.10","351.00","352.20","352.17","385.90","192.70",9341304,"3,289,769,936.70",60963
"22-Feb-2022","EQ","346.00","352.45","339.35","353.95","349.60","350.10","345.71","385.90","192.70",9895715,"3,421,038,540.60",80986
"21-Feb-2022","EQ","363.50","365.60","353.10","364.00","353.45","353.95","357.95","385.90","192.70",5793689,"2,073,866,158.55",44036
"18-Feb-2022","EQ","368.00","371.60","362.50","368.95","364.60","364.00","367.63","385.90","182.20",4497068,"1,653,256,432.85",39107
"17-Feb-2022","EQ","369.85","373.35","365.60","367.10","368.35","368.95","369.67","385.90","182.20",7177358,"2,653,228,569.40",54413
"16-Feb-2022","EQ","375.00","375.00","362.05","371.95","366.35","367.10","367.64","385.90","182.20",9223294,"3,390,880,241.95",76122
"15-Feb-2022","EQ","369.00","374.30","355.45","361.50","371.70","371.95","364.38","385.90","182.20",12010968,"4,376,590,302.30",101725
"14-Feb-2022","EQ","370.05","374.85","359.60","378.05","361.40","361.50","367.85","385.90","182.20",11817623,"4,347,092,509.75",88123
