"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","591.70","603.40","589.30","591.90","602.75","601.80","596.88","739.85","405.00",4283997,"2,557,012,610.60",93484
"31-Mar-2022","EQ","600.00","603.30","590.20","600.80","593.50","591.90","594.86","739.85","405.00",7238089,"4,305,652,344.85",162527
"30-Mar-2022","EQ","605.10","609.30","599.50","602.50","600.10","600.80","604.10","739.85","405.00",7744382,"4,678,373,317.15",116562
"29-Mar-2022","EQ","603.00","605.35","599.15","600.20","603.90","602.50","602.19","739.85","405.00",4701003,"2,830,880,767.40",73506
"28-Mar-2022","EQ","608.00","609.00","597.10","603.35","600.00","600.20","601.36","739.85","405.00",5738405,"3,450,847,646.85",87595
"25-Mar-2022","EQ","611.00","614.00","597.25","610.55","604.45","603.35","605.05","739.85","397.75",5993097,"3,626,115,210.65",122975
"24-Mar-2022","EQ","607.00","613.80","605.80","611.20","611.10","610.55","610.70","739.85","397.75",3875745,"2,366,936,828.25",78824
"23-Mar-2022","EQ","613.95","615.00","607.70","610.05","610.60","611.20","610.96","739.85","397.75",5696918,"3,480,576,433.10",109171
"22-Mar-2022","EQ","603.40","611.00","596.15","600.00","610.50","610.05","604.33","739.85","397.75",7790250,"4,707,899,108.05",110911
"21-Mar-2022","EQ","605.10","616.00","598.00","601.20","600.50","600.00","606.59","739.85","397.75",7796476,"4,729,227,901.70",123204
"17-Mar-2022","EQ","605.00","611.00","599.00","598.25","602.95","601.20","605.00","739.85","397.75",8440645,"5,106,630,935.30",124518
"16-Mar-2022","EQ","595.25","599.45","592.50","587.70","598.60","598.25","596.28","739.85","397.75",5575148,"3,324,368,756.95",94616
"15-Mar-2022","EQ","603.70","603.70","584.30","598.15","587.40","587.70","593.02","739.85","397.75",6926622,"4,107,649,657.15",115955
"14-Mar-2022","EQ","586.40","600.80","586.00","586.20","597.70","598.15","596.30","739.85","397.75",7503221,"4,474,192,625.10",134598
"11-Mar-2022","EQ","587.00","590.00","582.40","588.25","586.10","586.20","586.57","739.85","397.75",4963594,"2,911,514,942.10",95181
"10-Mar-2022","EQ","595.00","596.50","584.60","585.50","587.45","588.25","589.55","739.85","397.75",8080983,"4,764,121,467.25",155438
"09-Mar-2022","EQ","588.00","596.40","582.15","587.45","587.70","585.50","591.12","739.85","397.75",11763616,"6,953,723,022.40",233075
"08-Mar-2022","EQ","572.00","590.75","572.00","571.85","587.25","587.45","580.96","739.85","397.75",11019999,"6,402,231,935.55",195154
"07-Mar-2022","EQ","563.00","579.65","562.25","575.30","572.00","571.85","573.14","739.85","397.75",10556167,"6,050,204,622.85",186568
"04-Mar-2022","EQ","561.00","580.00","554.05","569.55","573.55","575.30","569.46","739.85","397.75",13474186,"7,673,070,742.40",186880
"03-Mar-2022","EQ","563.00","575.95","560.35","555.20","570.45","569.55","571.02","739.85","397.75",12955663,"7,397,906,511.30",184234
"02-Mar-2022","EQ","555.00","558.30","550.40","555.80","557.10","555.20","554.96","739.85","397.75",8177055,"4,537,934,615.45",145582
"28-Feb-2022","EQ","551.00","560.10","544.10","555.25","556.30","555.80","554.54","739.85","397.75",9158437,"5,078,706,365.25",114738
"25-Feb-2022","EQ","548.00","558.75","547.50","537.15","556.00","555.25","554.50","739.85","397.75",7961312,"4,414,578,976.70",135467
"24-Feb-2022","EQ","548.00","556.90","531.15","567.10","538.30","537.15","544.12","739.85","397.75",13476944,"7,333,030,977.60",245211
"23-Feb-2022","EQ","569.20","570.90","562.65","564.15","566.00","567.10","566.59","739.85","397.75",7204256,"4,081,857,513.15",109133
"22-Feb-2022","EQ","556.25","569.00","556.10","570.80","562.20","564.15","563.96","739.85","397.75",10745062,"6,059,738,465.30",148389
"21-Feb-2022","EQ","555.75","572.70","555.40","562.45","571.90","570.80","566.29","739.85","397.75",8767001,"4,964,677,275.10",144477
"18-Feb-2022","EQ","559.00","565.70","555.35","564.90","562.50","562.45","560.97","739.85","397.75",6705919,"3,761,846,880.05",112569
"17-Feb-2022","EQ","572.00","572.40","561.15","563.90","563.95","564.90","566.54","739.85","397.75",7114420,"4,030,613,862.75",127323
"16-Feb-2022","EQ","565.15","570.30","557.55","563.35","561.50","563.90","563.44","739.85","397.75",7303911,"4,115,310,264.70",119985
"15-Feb-2022","EQ","545.60","565.25","543.25","541.70","565.00","563.35","554.34","739.85","397.75",6838496,"3,790,829,514.75",152740
"14-Feb-2022","EQ","550.00","557.15","540.00","561.45","542.45","541.70","549.39","739.85","397.75",8120773,"4,461,505,135.35",190993
"11-Feb-2022","EQ","566.00","566.00","557.10","573.65","561.25","561.45","560.79","739.85","397.75",7721229,"4,329,993,161.55",159312
"10-Feb-2022","EQ","572.40","574.75","566.20","568.95","573.90","573.65","570.83","739.85","397.75",5801912,"3,311,918,818.10",131663
"09-Feb-2022","EQ","564.40","570.75","563.30","560.25","569.50","568.95","568.38","739.85","397.75",5103738,"2,900,883,008.30",97434
"08-Feb-2022","EQ","561.40","565.80","554.45","557.00","559.90","560.25","560.20","739.85","397.75",6976907,"3,908,437,097.95",127178
"07-Feb-2022","EQ","571.90","573.80","555.60","571.75","557.80","557.00","561.96","739.85","397.75",7545679,"4,240,361,819.80",180732
"04-Feb-2022","EQ","577.00","577.80","568.05","578.25","573.00","571.75","573.73","739.85","397.75",6816779,"3,910,992,144.50",138822
"03-Feb-2022","EQ","584.70","588.80","576.15","588.00","577.80","578.25","582.86","739.85","397.75",7041390,"4,104,124,109.35",129088
"02-Feb-2022","EQ","582.00","590.00","575.00","576.65","589.40","588.00","585.60","739.85","397.75",8184413,"4,792,799,141.25",150980
"01-Feb-2022","EQ","579.90","582.40","566.45","572.60","577.50","576.65","575.24","739.85","397.75",10460101,"6,017,065,488.85",208035
"31-Jan-2022","EQ","569.00","574.40","562.55","552.15","573.00","572.60","569.95","739.85","397.75",13126087,"7,481,206,036.45",239165
"28-Jan-2022","EQ","550.10","564.95","546.65","544.75","552.00","552.15","557.50","739.85","397.75",14949890,"8,334,594,506.35",318562
"27-Jan-2022","EQ","555.00","556.90","537.20","562.70","545.30","544.75","544.98","739.85","397.75",15675872,"8,543,041,599.75",364388
"25-Jan-2022","EQ","562.50","572.00","550.70","572.75","563.50","562.70","562.21","739.85","397.75",17356185,"9,757,763,136.60",387154
"24-Jan-2022","EQ","605.50","605.50","568.45","605.05","572.00","572.75","580.89","739.85","397.75",13075358,"7,595,394,133.15",358789
"21-Jan-2022","EQ","610.00","611.00","600.80","615.20","605.50","605.05","605.79","739.85","397.75",9823347,"5,950,865,121.35",271103
"20-Jan-2022","EQ","620.65","622.40","610.50","621.15","616.00","615.20","615.09","739.85","397.75",8413562,"5,175,070,110.25",236580
"19-Jan-2022","EQ","631.00","631.65","619.00","633.30","623.00","621.15","622.39","739.85","397.75",8691383,"5,409,466,617.85",260851
"18-Jan-2022","EQ","648.90","650.00","631.15","646.65","634.90","633.30","640.09","739.85","397.75",7164990,"4,586,253,613.25",208075
"17-Jan-2022","EQ","639.50","651.65","633.05","639.80","646.20","646.65","644.69","739.85","397.75",10228938,"6,594,447,611.45",214235
"14-Jan-2022","EQ","649.25","649.25","636.50","649.75","640.25","639.80","640.71","739.85","397.75",13257274,"8,494,094,446.50",295017
"13-Jan-2022","EQ","663.20","666.00","648.00","691.35","650.05","649.75","653.90","739.85","397.75",30752967,"20,109,385,971.10",549500
"12-Jan-2022","EQ","700.00","701.75","683.20","694.15","691.00","691.35","689.99","739.85","397.75",11730341,"8,093,849,938.85",231777
"11-Jan-2022","EQ","695.00","698.45","689.00","693.50","694.75","694.15","693.99","739.85","397.75",7743729,"5,374,054,807.25",162859
