"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","288.00","301.90","285.15","288.35","299.45","299.80","295.38","378.70","166.80",13698030,"4,046,162,509.00",82737
"31-Mar-2022","EQ","295.50","295.50","286.95","294.00","288.30","288.35","290.40","378.70","166.80",7805589,"2,266,712,024.65",53098
"30-Mar-2022","EQ","286.85","298.50","284.00","284.70","292.65","294.00","292.30","378.70","166.80",19227857,"5,620,346,917.55",123769
"29-Mar-2022","EQ","295.00","296.00","281.35","289.90","282.80","284.70","288.18","378.70","166.80",18848071,"5,431,667,094.40",86623
"28-Mar-2022","EQ","295.50","297.55","288.35","295.10","289.50","289.90","290.93","378.70","166.80",14722885,"4,283,356,190.65",76492
"25-Mar-2022","EQ","303.00","303.75","293.00","298.90","295.60","295.10","297.08","378.70","166.80",30465535,"9,050,790,665.85",169051
"24-Mar-2022","EQ","281.65","307.25","281.65","256.05","299.30","298.90","298.08","378.70","166.80",86772872,"25,865,235,901.85",422852
"23-Mar-2022","EQ","251.00","260.90","244.20","248.55","253.75","256.05","253.75","378.70","166.80",18175302,"4,612,005,651.95",113619
"22-Mar-2022","EQ","257.00","258.70","243.05","256.80","248.20","248.55","248.78","378.70","166.80",14965332,"3,723,126,264.65",79729
"21-Mar-2022","EQ","258.95","263.30","256.10","258.80","256.45","256.80","259.49","378.70","166.80",8909916,"2,312,030,278.30",46358
"17-Mar-2022","EQ","259.80","261.75","255.80","254.15","257.80","258.80","259.29","378.70","166.80",9120713,"2,364,924,960.20",57782
"16-Mar-2022","EQ","259.00","259.00","253.00","253.95","254.60","254.15","254.88","378.70","166.80",8512767,"2,169,701,680.10",41218
"15-Mar-2022","EQ","260.00","263.95","252.60","259.20","253.40","253.95","258.39","378.70","166.80",15453515,"3,993,031,247.65",85285
"14-Mar-2022","EQ","244.90","262.80","244.10","242.45","258.50","259.20","256.82","378.70","166.80",27764946,"7,130,723,684.40",152710
"11-Mar-2022","EQ","247.10","253.50","241.00","246.80","241.75","242.45","246.66","378.70","166.80",15568427,"3,840,114,788.25",82820
"10-Mar-2022","EQ","258.00","258.00","245.00","250.60","246.50","246.80","250.49","378.70","166.80",12616988,"3,160,413,387.90",70184
"09-Mar-2022","EQ","238.00","252.30","235.60","236.70","250.40","250.60","247.01","378.70","166.80",18640774,"4,604,515,083.35",117324
"08-Mar-2022","EQ","236.25","240.10","228.75","238.00","234.80","236.70","235.01","378.70","166.80",13268000,"3,118,080,560.60",79433
"07-Mar-2022","EQ","219.40","239.80","215.35","224.15","238.00","238.00","228.65","378.70","166.80",19826821,"4,533,468,317.85",110283
"04-Mar-2022","EQ","236.00","238.60","221.10","238.00","224.75","224.15","230.88","378.70","166.80",13748778,"3,174,276,720.85",80675
"03-Mar-2022","EQ","241.50","244.00","235.60","237.85","237.70","238.00","239.45","378.70","166.80",10838206,"2,595,228,901.15",66508
"02-Mar-2022","EQ","229.25","241.25","227.20","229.25","238.55","237.85","236.01","378.70","166.80",17541419,"4,139,937,430.75",94900
"28-Feb-2022","EQ","226.80","233.00","219.50","231.35","232.40","229.25","223.73","378.70","166.80",27664374,"6,189,282,057.80",127463
"25-Feb-2022","EQ","230.95","239.05","227.15","221.20","232.55","231.35","233.04","378.70","166.80",16615490,"3,872,109,168.00",120207
"24-Feb-2022","EQ","230.00","233.90","218.85","240.20","222.55","221.20","226.16","378.70","166.80",21321440,"4,822,125,151.20",124717
"23-Feb-2022","EQ","244.75","246.00","239.20","240.45","240.80","240.20","242.35","378.70","166.80",10738414,"2,602,446,508.35",70297
"22-Feb-2022","EQ","245.00","250.95","237.10","254.35","240.75","240.45","243.36","378.70","166.80",14021583,"3,412,313,735.20",100222
"21-Feb-2022","EQ","258.00","261.85","252.80","261.40","253.35","254.35","256.85","378.70","166.80",9746915,"2,503,528,652.70",52681
"18-Feb-2022","EQ","262.50","267.90","260.10","263.00","261.50","261.40","264.07","378.70","166.80",7291926,"1,925,553,068.40",45881
"17-Feb-2022","EQ","268.05","269.00","261.85","267.65","263.00","263.00","265.72","378.70","166.80",5741013,"1,525,476,457.10",42711
"16-Feb-2022","EQ","269.00","272.50","266.00","267.55","266.40","267.65","268.63","378.70","166.80",11455108,"3,077,186,573.55",71787
"15-Feb-2022","EQ","252.00","268.90","251.60","249.35","267.55","267.55","261.88","378.70","166.80",20413908,"5,345,999,240.05",125440
"14-Feb-2022","EQ","257.00","260.05","248.05","261.90","249.05","249.35","253.21","378.70","166.80",11162019,"2,826,371,269.30",103087
"11-Feb-2022","EQ","263.50","267.50","260.70","263.80","261.65","261.90","264.26","378.70","166.80",11096932,"2,932,459,845.40",94283
"10-Feb-2022","EQ","269.90","270.60","263.00","268.10","263.15","263.80","265.89","378.70","166.80",12375550,"3,290,486,407.70",110776
"09-Feb-2022","EQ","273.00","276.30","267.10","270.80","268.15","268.10","270.22","378.70","166.80",8165778,"2,206,524,356.20",65224
"08-Feb-2022","EQ","276.05","278.00","267.30","275.50","270.10","270.80","272.20","378.70","166.80",6048793,"1,646,488,665.30",53013
"07-Feb-2022","EQ","276.00","280.65","273.85","278.30","274.45","275.50","277.61","378.70","166.80",5716433,"1,586,910,689.15",70999
"04-Feb-2022","EQ","287.70","288.75","276.60","287.50","278.65","278.30","280.54","378.70","166.80",10466445,"2,936,210,527.10",81965
"03-Feb-2022","EQ","284.30","292.00","278.60","292.55","286.65","287.50","287.65","378.70","166.80",12970686,"3,731,055,229.40",78764
"02-Feb-2022","EQ","293.10","296.00","290.60","289.60","292.25","292.55","293.63","378.70","166.80",6392749,"1,877,104,982.10",48102
"01-Feb-2022","EQ","293.10","293.35","285.00","289.55","290.95","289.60","288.69","378.70","166.80",7873540,"2,273,013,254.95",59952
"31-Jan-2022","EQ","290.00","294.55","288.70","285.50","289.45","289.55","290.96","378.70","166.80",8827496,"2,568,433,642.95",71359
"28-Jan-2022","EQ","285.40","292.70","284.00","283.20","285.75","285.50","288.01","378.70","166.80",9119101,"2,626,420,932.75",62838
"27-Jan-2022","EQ","284.00","286.55","278.55","288.80","283.80","283.20","282.95","378.70","166.80",10806939,"3,057,845,833.20",78076
"25-Jan-2022","EQ","266.90","289.75","264.25","268.10","287.10","288.80","281.96","378.70","166.80",19734730,"5,564,460,993.25",151607
"24-Jan-2022","EQ","290.45","290.70","262.50","289.35","266.25","268.10","271.33","378.70","166.80",28800291,"7,814,322,517.70",202969
"21-Jan-2022","EQ","308.50","308.50","286.10","308.45","291.40","289.35","296.28","378.70","166.80",14111047,"4,180,821,304.60",117892
