"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","538.00","551.40","536.40","538.20","551.10","550.35","547.23","775.65","497.05",3675121,"2,011,121,722.30",54955
"31-Mar-2022","EQ","542.95","550.25","533.90","542.30","537.20","538.20","541.14","775.65","497.05",5976662,"3,234,182,218.25",90812
"30-Mar-2022","EQ","526.00","543.35","526.00","523.00","541.30","542.30","535.93","775.65","497.05",6695548,"3,588,364,974.00",109045
"29-Mar-2022","EQ","517.00","525.70","514.40","512.60","524.00","523.00","520.17","775.65","497.05",3428962,"1,783,628,532.70",55176
"28-Mar-2022","EQ","516.10","520.70","505.10","519.55","512.05","512.60","511.91","775.65","497.05",4968964,"2,543,653,746.40",87839
"25-Mar-2022","EQ","524.10","528.00","517.85","522.35","520.20","519.55","522.21","775.65","497.05",2874297,"1,500,994,027.50",50124
"24-Mar-2022","EQ","524.00","526.00","519.00","525.85","522.00","522.35","523.40","775.65","497.05",3192575,"1,671,008,036.75",53459
"23-Mar-2022","EQ","531.90","534.00","524.15","529.30","525.80","525.85","529.15","775.65","497.05",2654149,"1,404,441,276.35",49517
"22-Mar-2022","EQ","523.50","530.50","516.50","522.35","528.75","529.30","523.62","775.65","497.05",3457606,"1,810,478,546.65",71819
"21-Mar-2022","EQ","532.80","534.30","520.25","530.15","523.50","522.35","526.77","775.65","497.05",4064003,"2,140,778,564.65",64785
"17-Mar-2022","EQ","523.00","532.90","520.50","517.30","529.10","530.15","526.31","775.65","497.05",11303983,"5,949,359,689.50",133027
"16-Mar-2022","EQ","507.05","521.35","507.05","504.70","517.50","517.30","515.08","775.65","497.05",6339842,"3,265,550,755.05",119666
"15-Mar-2022","EQ","512.45","519.80","502.75","512.45","503.80","504.70","511.20","775.65","497.05",4513513,"2,307,306,525.40",89309
"14-Mar-2022","EQ","520.00","521.15","510.05","518.80","512.75","512.45","512.39","775.65","497.05",4517379,"2,314,638,896.30",98981
"11-Mar-2022","EQ","518.55","524.20","514.75","521.30","518.50","518.80","518.88","775.65","497.05",2924919,"1,517,682,596.20",51523
"10-Mar-2022","EQ","524.00","529.75","515.85","514.70","519.65","521.30","523.55","775.65","497.05",5059007,"2,648,620,559.00",98084
"09-Mar-2022","EQ","517.00","523.00","508.00","513.05","515.30","514.70","515.72","775.65","497.05",4515965,"2,328,963,727.10",98115
"08-Mar-2022","EQ","500.00","514.95","497.05","503.50","511.65","513.05","504.92","775.65","497.05",7443036,"3,758,125,873.75",134292
"07-Mar-2022","EQ","505.00","520.00","498.00","521.50","503.55","503.50","504.89","775.65","498.00",9156126,"4,622,823,622.30",117942
"04-Mar-2022","EQ","528.90","528.90","514.25","531.75","522.00","521.50","522.34","775.65","509.05",4687979,"2,448,717,859.80",121630
"03-Mar-2022","EQ","560.75","563.50","530.25","560.80","532.60","531.75","542.25","775.65","509.05",5811568,"3,151,326,936.35",129294
"02-Mar-2022","EQ","518.00","563.00","509.05","523.20","560.00","560.80","525.44","775.65","509.05",41081069,"21,585,789,544.30",284066
"28-Feb-2022","EQ","532.00","532.50","520.25","538.90","523.00","523.20","523.68","775.65","520.25",10669560,"5,587,451,632.60",134894
"25-Feb-2022","EQ","540.00","545.55","533.85","532.95","539.00","538.90","539.59","775.65","529.05",5087685,"2,745,263,480.65",125003
"24-Feb-2022","EQ","559.00","560.00","529.05","569.05","535.00","532.95","542.57","775.65","529.05",5515851,"2,992,754,591.65",139046
"23-Feb-2022","EQ","572.75","578.00","565.50","572.75","570.95","569.05","571.80","775.65","551.60",1929381,"1,103,217,238.75",59311
"22-Feb-2022","EQ","577.00","577.00","565.00","582.00","571.95","572.75","571.29","775.65","551.60",2952243,"1,686,588,446.35",80585
"21-Feb-2022","EQ","583.55","589.40","576.55","590.95","582.15","582.00","583.17","775.65","551.60",2415405,"1,408,596,272.00",54607
"18-Feb-2022","EQ","590.00","597.50","587.45","592.60","589.75","590.95","593.78","775.65","551.60",2613689,"1,551,965,693.25",56437
"17-Feb-2022","EQ","586.10","595.40","581.25","586.35","590.70","592.60","590.37","775.65","551.60",3542326,"2,091,279,957.75",82488
"16-Feb-2022","EQ","577.00","592.90","576.30","573.60","584.00","586.35","585.62","775.65","551.60",6991082,"4,094,091,392.75",103733
"15-Feb-2022","EQ","564.00","574.50","551.60","557.30","573.50","573.60","563.68","775.65","551.60",4282324,"2,413,848,248.45",116273
"14-Feb-2022","EQ","588.00","589.80","555.00","595.35","557.50","557.30","565.39","775.65","555.00",7168038,"4,052,768,307.90",205515
"11-Feb-2022","EQ","600.70","601.50","593.00","606.25","594.40","595.35","596.80","775.65","590.45",2557745,"1,526,474,791.50",63303
"10-Feb-2022","EQ","600.20","611.50","590.45","600.20","604.85","606.25","599.75","775.65","590.45",6231536,"3,737,389,483.05",129569
"09-Feb-2022","EQ","606.75","606.75","596.10","600.45","599.90","600.20","599.80","775.65","594.00",2644690,"1,586,275,465.80",69386
"08-Feb-2022","EQ","606.40","607.85","594.00","603.25","600.10","600.45","600.63","775.65","594.00",1954492,"1,173,932,813.45",64626
"07-Feb-2022","EQ","620.10","623.70","600.00","624.35","603.35","603.25","607.56","775.65","600.00",3030728,"1,841,345,580.55",103252
"04-Feb-2022","EQ","637.00","637.00","622.10","634.40","624.95","624.35","626.88","775.65","615.45",1909456,"1,197,004,209.00",57560
"03-Feb-2022","EQ","646.05","647.30","631.05","644.15","633.15","634.40","639.01","775.65","615.45",2076930,"1,327,169,411.70",47989
"02-Feb-2022","EQ","624.10","645.80","624.10","623.90","644.00","644.15","638.34","775.65","615.45",2989002,"1,908,012,310.40",75500
"01-Feb-2022","EQ","626.25","638.55","617.60","622.45","625.75","623.90","630.08","775.65","615.45",4159628,"2,620,877,792.85",99344
"31-Jan-2022","EQ","625.50","627.50","615.45","620.45","623.10","622.45","621.80","775.65","615.45",4374943,"2,720,350,612.90",88099
"28-Jan-2022","EQ","621.35","632.90","619.05","621.50","621.40","620.45","626.53","775.65","617.00",1317526,"825,463,272.20",41582
"27-Jan-2022","EQ","625.80","625.90","617.15","630.80","620.65","621.50","621.42","775.65","617.00",1914985,"1,190,009,905.25",70211
"25-Jan-2022","EQ","627.20","633.50","617.00","627.60","630.00","630.80","627.80","775.65","617.00",1827902,"1,147,563,906.40",88927
"24-Jan-2022","EQ","639.85","639.85","619.10","641.45","628.50","627.60","626.82","775.65","619.10",2628472,"1,647,587,043.15",98503
"21-Jan-2022","EQ","645.00","646.95","633.35","649.45","643.25","641.45","638.82","775.65","627.00",2963518,"1,893,167,474.55",76226
"20-Jan-2022","EQ","654.60","660.60","647.55","656.05","649.45","649.45","652.48","775.65","627.00",1429228,"932,540,320.40",65301
"19-Jan-2022","EQ","665.00","667.40","652.25","669.10","656.40","656.05","657.43","775.65","627.00",1945857,"1,279,255,495.75",59771
